family,M,method,models,median_prep_seconds,source_max_coefficient,max_exported_coefficient,median_exported_coefficient,min_rows,max_rows,min_nnz,max_nnz
original,1000000000000,Rounded-direction,4,0.010658109000360051,4000000000007.0,74.0,74.0,25,25,212,216
original,1000000000000,Rational-direction,4,0.01271756499954785,4000000000007.0,74.0,74.0,25,25,212,216
original,1000000000,Rounded-direction,4,0.0105238555024698,4000000007.0,74.0,74.0,25,25,212,216
original,1000000000,Rational-direction,4,0.01257358350085265,4000000007.0,74.0,74.0,25,25,212,216
original,1000000,Rounded-direction,4,0.0098042959998565,4000007.0,74.0,74.0,25,25,212,216
original,1000000,Rational-direction,4,0.01189689149941835,4000007.0,74.0,74.0,25,25,212,216
multilevel,1000,Base,4,1.5210007404675707e-06,115370.0,115370.0,115364.5,25,25,319,320
multilevel,1000,GCD-floor,4,0.0054140359989105005,115370.0,115370.0,115364.5,25,25,319,320
multilevel,1000,Single-coefficient,4,0.00998860599975155,115370.0,115370.0,115364.5,25,25,319,320
multilevel,1000,Dyadic-GM,4,0.009217486000125001,115370.0,450.625,405.580078125,25,25,319,320
multilevel,1000,Rounded-direction,4,0.0015412644988827499,115370.0,115370.0,115364.5,25,25,319,320
multilevel,1000,Rational-direction,4,0.0015161305000219501,115370.0,115370.0,115364.5,25,25,319,320
multilevel,1000,Oracle-direction,4,0.0063188049989548,115370.0,456.0,427.5,25,25,319,320
multilevel,1000000,Base,4,1.6214999050134793e-06,115000370.0,115000370.0,115000364.5,25,25,319,320
multilevel,1000000,GCD-floor,4,0.00536495350024775,115000370.0,115000370.0,115000364.5,25,25,319,320
multilevel,1000000,Single-coefficient,4,0.0099813189972337,115000370.0,115000370.0,115000364.5,25,25,319,320
multilevel,1000000,Dyadic-GM,4,0.0092797630004497,115000370.0,14038.1298828125,12634.317443847656,25,25,319,320
multilevel,1000000,Rounded-direction,4,0.010331043000405701,115000370.0,115000370.0,115000364.5,25,25,319,320
multilevel,1000000,Rational-direction,4,0.0175158794972958,115000370.0,441.0,359.5,25,25,318,319
multilevel,1000000,Oracle-direction,4,0.0062734990005992,115000370.0,456.0,427.5,25,25,319,320
multilevel,1000000000,Base,4,1.6115009202621877e-06,115000000370.0,115000000370.0,115000000364.5,25,25,319,320
multilevel,1000000000,GCD-floor,4,0.00537235950105235,115000000370.0,115000000370.0,115000000364.5,25,25,319,320
multilevel,1000000000,Single-coefficient,4,0.00997812750028965,115000000370.0,115000000370.0,115000000364.5,25,25,319,320
multilevel,1000000000,Dyadic-GM,4,0.0093726369996147,115000000370.0,438690.186920166,394821.16824531555,25,25,319,320
multilevel,1000000000,Rounded-direction,4,0.01100618200143795,115000000370.0,115000000370.0,115000000364.5,25,25,319,320
multilevel,1000000000,Rational-direction,4,0.018359263500315103,115000000370.0,441.0,359.5,25,25,318,319
multilevel,1000000000,Oracle-direction,4,0.0062719785000808,115000000370.0,456.0,427.5,25,25,319,320
multilevel,1000000000,Rounded-all,4,0.0413917474979825,115000000370.0,441.0,359.5,25,25,318,319
multilevel,1000000,Rounded-all,4,0.038355800999852294,115000370.0,441.0,359.5,25,25,318,319
multilevel,1000,Rounded-all,4,0.0015056414995341999,115370.0,115370.0,115364.5,25,25,319,320
