family,method,solver,configurations,solver_reported_optimal,exactly_feasible_after_rounding,exactly_optimal_after_rounding,within_integrality_tolerance,integer_gap_certificate_reported
original,Rounded-direction,highs,24,24,24,24,24,24
original,Rounded-direction,gurobi,24,24,24,24,24,24
original,Rational-direction,highs,24,24,24,24,24,24
original,Rational-direction,gurobi,24,24,24,24,24,24
multilevel,Base,highs,24,24,21,16,24,0
multilevel,Base,gurobi,24,24,23,23,24,0
multilevel,GCD-floor,highs,24,24,21,16,24,8
multilevel,GCD-floor,gurobi,24,24,23,23,24,8
multilevel,Single-coefficient,highs,24,24,21,16,24,8
multilevel,Single-coefficient,gurobi,24,24,23,23,24,8
multilevel,Dyadic-GM,highs,24,24,15,15,24,0
multilevel,Dyadic-GM,gurobi,24,24,16,16,24,0
multilevel,Rounded-direction,highs,24,24,24,18,24,8
multilevel,Rounded-direction,gurobi,24,24,23,23,24,8
multilevel,Rational-direction,highs,24,24,24,24,24,24
multilevel,Rational-direction,gurobi,24,24,24,24,24,24
multilevel,Oracle-direction,highs,24,24,24,24,24,24
multilevel,Oracle-direction,gurobi,24,24,24,24,24,24
multilevel,Rounded-all,highs,24,24,24,24,24,24
multilevel,Rounded-all,gurobi,24,24,24,24,24,24
