family,M,method,solver,presolve,configurations,solver_reported_optimal,exactly_feasible_after_rounding,exactly_optimal_after_rounding,within_integrality_tolerance,integer_gap_certificate_reported
original,1000000000000,Rounded-direction,highs,False,4,4,4,4,4,4
original,1000000000000,Rounded-direction,gurobi,False,4,4,4,4,4,4
original,1000000000000,Rounded-direction,highs,True,4,4,4,4,4,4
original,1000000000000,Rounded-direction,gurobi,True,4,4,4,4,4,4
original,1000000000000,Rational-direction,highs,False,4,4,4,4,4,4
original,1000000000000,Rational-direction,gurobi,False,4,4,4,4,4,4
original,1000000000000,Rational-direction,highs,True,4,4,4,4,4,4
original,1000000000000,Rational-direction,gurobi,True,4,4,4,4,4,4
original,1000000000,Rounded-direction,highs,False,4,4,4,4,4,4
original,1000000000,Rounded-direction,gurobi,False,4,4,4,4,4,4
original,1000000000,Rounded-direction,highs,True,4,4,4,4,4,4
original,1000000000,Rounded-direction,gurobi,True,4,4,4,4,4,4
original,1000000000,Rational-direction,highs,False,4,4,4,4,4,4
original,1000000000,Rational-direction,gurobi,False,4,4,4,4,4,4
original,1000000000,Rational-direction,highs,True,4,4,4,4,4,4
original,1000000000,Rational-direction,gurobi,True,4,4,4,4,4,4
original,1000000,Rounded-direction,highs,False,4,4,4,4,4,4
original,1000000,Rounded-direction,gurobi,False,4,4,4,4,4,4
original,1000000,Rounded-direction,highs,True,4,4,4,4,4,4
original,1000000,Rounded-direction,gurobi,True,4,4,4,4,4,4
original,1000000,Rational-direction,highs,False,4,4,4,4,4,4
original,1000000,Rational-direction,gurobi,False,4,4,4,4,4,4
original,1000000,Rational-direction,highs,True,4,4,4,4,4,4
original,1000000,Rational-direction,gurobi,True,4,4,4,4,4,4
multilevel,1000,Base,highs,False,4,4,4,4,4,0
multilevel,1000,Base,gurobi,False,4,4,4,4,4,0
multilevel,1000,Base,highs,True,4,4,4,4,4,0
multilevel,1000,Base,gurobi,True,4,4,4,4,4,0
multilevel,1000,GCD-floor,highs,False,4,4,4,4,4,4
multilevel,1000,GCD-floor,gurobi,False,4,4,4,4,4,4
multilevel,1000,GCD-floor,highs,True,4,4,4,4,4,4
multilevel,1000,GCD-floor,gurobi,True,4,4,4,4,4,4
multilevel,1000,Single-coefficient,highs,False,4,4,4,4,4,4
multilevel,1000,Single-coefficient,gurobi,False,4,4,4,4,4,4
multilevel,1000,Single-coefficient,highs,True,4,4,4,4,4,4
multilevel,1000,Single-coefficient,gurobi,True,4,4,4,4,4,4
multilevel,1000,Dyadic-GM,highs,False,4,4,4,4,4,0
multilevel,1000,Dyadic-GM,gurobi,False,4,4,4,4,4,0
multilevel,1000,Dyadic-GM,highs,True,4,4,4,4,4,0
multilevel,1000,Dyadic-GM,gurobi,True,4,4,4,4,4,0
multilevel,1000,Rounded-direction,highs,False,4,4,4,4,4,4
multilevel,1000,Rounded-direction,gurobi,False,4,4,4,4,4,4
multilevel,1000,Rounded-direction,highs,True,4,4,4,4,4,4
multilevel,1000,Rounded-direction,gurobi,True,4,4,4,4,4,4
multilevel,1000,Rational-direction,highs,False,4,4,4,4,4,4
multilevel,1000,Rational-direction,gurobi,False,4,4,4,4,4,4
multilevel,1000,Rational-direction,highs,True,4,4,4,4,4,4
multilevel,1000,Rational-direction,gurobi,True,4,4,4,4,4,4
multilevel,1000,Oracle-direction,highs,False,4,4,4,4,4,4
multilevel,1000,Oracle-direction,gurobi,False,4,4,4,4,4,4
multilevel,1000,Oracle-direction,highs,True,4,4,4,4,4,4
multilevel,1000,Oracle-direction,gurobi,True,4,4,4,4,4,4
multilevel,1000000,Base,highs,False,4,4,4,4,4,0
multilevel,1000000,Base,gurobi,False,4,4,4,4,4,0
multilevel,1000000,Base,highs,True,4,4,4,4,4,0
multilevel,1000000,Base,gurobi,True,4,4,4,4,4,0
multilevel,1000000,GCD-floor,highs,False,4,4,4,4,4,0
multilevel,1000000,GCD-floor,gurobi,False,4,4,4,4,4,0
multilevel,1000000,GCD-floor,highs,True,4,4,4,4,4,0
multilevel,1000000,GCD-floor,gurobi,True,4,4,4,4,4,0
multilevel,1000000,Single-coefficient,highs,False,4,4,4,4,4,0
multilevel,1000000,Single-coefficient,gurobi,False,4,4,4,4,4,0
multilevel,1000000,Single-coefficient,highs,True,4,4,4,4,4,0
multilevel,1000000,Single-coefficient,gurobi,True,4,4,4,4,4,0
multilevel,1000000,Dyadic-GM,highs,False,4,4,3,3,4,0
multilevel,1000000,Dyadic-GM,gurobi,False,4,4,3,3,4,0
multilevel,1000000,Dyadic-GM,highs,True,4,4,3,3,4,0
multilevel,1000000,Dyadic-GM,gurobi,True,4,4,3,3,4,0
multilevel,1000000,Rounded-direction,highs,False,4,4,4,4,4,0
multilevel,1000000,Rounded-direction,gurobi,False,4,4,4,4,4,0
multilevel,1000000,Rounded-direction,highs,True,4,4,4,4,4,0
multilevel,1000000,Rounded-direction,gurobi,True,4,4,4,4,4,0
multilevel,1000000,Rational-direction,highs,False,4,4,4,4,4,4
multilevel,1000000,Rational-direction,gurobi,False,4,4,4,4,4,4
multilevel,1000000,Rational-direction,highs,True,4,4,4,4,4,4
multilevel,1000000,Rational-direction,gurobi,True,4,4,4,4,4,4
multilevel,1000000,Oracle-direction,highs,False,4,4,4,4,4,4
multilevel,1000000,Oracle-direction,gurobi,False,4,4,4,4,4,4
multilevel,1000000,Oracle-direction,highs,True,4,4,4,4,4,4
multilevel,1000000,Oracle-direction,gurobi,True,4,4,4,4,4,4
multilevel,1000000000,Base,highs,False,4,4,3,0,4,0
multilevel,1000000000,Base,gurobi,False,4,4,3,3,4,0
multilevel,1000000000,Base,highs,True,4,4,2,0,4,0
multilevel,1000000000,Base,gurobi,True,4,4,4,4,4,0
multilevel,1000000000,GCD-floor,highs,False,4,4,3,0,4,0
multilevel,1000000000,GCD-floor,gurobi,False,4,4,3,3,4,0
multilevel,1000000000,GCD-floor,highs,True,4,4,2,0,4,0
multilevel,1000000000,GCD-floor,gurobi,True,4,4,4,4,4,0
multilevel,1000000000,Single-coefficient,highs,False,4,4,3,0,4,0
multilevel,1000000000,Single-coefficient,gurobi,False,4,4,3,3,4,0
multilevel,1000000000,Single-coefficient,highs,True,4,4,2,0,4,0
multilevel,1000000000,Single-coefficient,gurobi,True,4,4,4,4,4,0
multilevel,1000000000,Dyadic-GM,highs,False,4,4,1,1,4,0
multilevel,1000000000,Dyadic-GM,gurobi,False,4,4,2,2,4,0
multilevel,1000000000,Dyadic-GM,highs,True,4,4,0,0,4,0
multilevel,1000000000,Dyadic-GM,gurobi,True,4,4,0,0,4,0
multilevel,1000000000,Rounded-direction,highs,False,4,4,4,1,4,0
multilevel,1000000000,Rounded-direction,gurobi,False,4,4,3,3,4,0
multilevel,1000000000,Rounded-direction,highs,True,4,4,4,1,4,0
multilevel,1000000000,Rounded-direction,gurobi,True,4,4,4,4,4,0
multilevel,1000000000,Rational-direction,highs,False,4,4,4,4,4,4
multilevel,1000000000,Rational-direction,gurobi,False,4,4,4,4,4,4
