family,M,method,solver,configurations,solver_reported_optimal,exactly_feasible_after_rounding,exactly_optimal_after_rounding,within_integrality_tolerance,integer_gap_certificate_reported
original,1000000000000,Rounded-direction,highs,8,8,8,8,8,8
original,1000000000000,Rounded-direction,gurobi,8,8,8,8,8,8
original,1000000000000,Rational-direction,highs,8,8,8,8,8,8
original,1000000000000,Rational-direction,gurobi,8,8,8,8,8,8
original,1000000000,Rounded-direction,highs,8,8,8,8,8,8
original,1000000000,Rounded-direction,gurobi,8,8,8,8,8,8
original,1000000000,Rational-direction,highs,8,8,8,8,8,8
original,1000000000,Rational-direction,gurobi,8,8,8,8,8,8
original,1000000,Rounded-direction,highs,8,8,8,8,8,8
original,1000000,Rounded-direction,gurobi,8,8,8,8,8,8
original,1000000,Rational-direction,highs,8,8,8,8,8,8
original,1000000,Rational-direction,gurobi,8,8,8,8,8,8
multilevel,1000,Base,highs,8,8,8,8,8,0
multilevel,1000,Base,gurobi,8,8,8,8,8,0
multilevel,1000,GCD-floor,highs,8,8,8,8,8,8
multilevel,1000,GCD-floor,gurobi,8,8,8,8,8,8
multilevel,1000,Single-coefficient,highs,8,8,8,8,8,8
multilevel,1000,Single-coefficient,gurobi,8,8,8,8,8,8
multilevel,1000,Dyadic-GM,highs,8,8,8,8,8,0
multilevel,1000,Dyadic-GM,gurobi,8,8,8,8,8,0
multilevel,1000,Rounded-direction,highs,8,8,8,8,8,8
multilevel,1000,Rounded-direction,gurobi,8,8,8,8,8,8
multilevel,1000,Rational-direction,highs,8,8,8,8,8,8
multilevel,1000,Rational-direction,gurobi,8,8,8,8,8,8
multilevel,1000,Oracle-direction,highs,8,8,8,8,8,8
multilevel,1000,Oracle-direction,gurobi,8,8,8,8,8,8
multilevel,1000000,Base,highs,8,8,8,8,8,0
multilevel,1000000,Base,gurobi,8,8,8,8,8,0
multilevel,1000000,GCD-floor,highs,8,8,8,8,8,0
multilevel,1000000,GCD-floor,gurobi,8,8,8,8,8,0
multilevel,1000000,Single-coefficient,highs,8,8,8,8,8,0
multilevel,1000000,Single-coefficient,gurobi,8,8,8,8,8,0
multilevel,1000000,Dyadic-GM,highs,8,8,6,6,8,0
multilevel,1000000,Dyadic-GM,gurobi,8,8,6,6,8,0
multilevel,1000000,Rounded-direction,highs,8,8,8,8,8,0
multilevel,1000000,Rounded-direction,gurobi,8,8,8,8,8,0
multilevel,1000000,Rational-direction,highs,8,8,8,8,8,8
multilevel,1000000,Rational-direction,gurobi,8,8,8,8,8,8
multilevel,1000000,Oracle-direction,highs,8,8,8,8,8,8
multilevel,1000000,Oracle-direction,gurobi,8,8,8,8,8,8
multilevel,1000000000,Base,highs,8,8,5,0,8,0
multilevel,1000000000,Base,gurobi,8,8,7,7,8,0
multilevel,1000000000,GCD-floor,highs,8,8,5,0,8,0
multilevel,1000000000,GCD-floor,gurobi,8,8,7,7,8,0
multilevel,1000000000,Single-coefficient,highs,8,8,5,0,8,0
multilevel,1000000000,Single-coefficient,gurobi,8,8,7,7,8,0
multilevel,1000000000,Dyadic-GM,highs,8,8,1,1,8,0
multilevel,1000000000,Dyadic-GM,gurobi,8,8,2,2,8,0
multilevel,1000000000,Rounded-direction,highs,8,8,8,2,8,0
multilevel,1000000000,Rounded-direction,gurobi,8,8,7,7,8,0
multilevel,1000000000,Rational-direction,highs,8,8,8,8,8,8
multilevel,1000000000,Rational-direction,gurobi,8,8,8,8,8,8
multilevel,1000000000,Oracle-direction,highs,8,8,8,8,8,8
multilevel,1000000000,Oracle-direction,gurobi,8,8,8,8,8,8
multilevel,1000000000,Rounded-all,highs,8,8,8,8,8,8
multilevel,1000000000,Rounded-all,gurobi,8,8,8,8,8,8
multilevel,1000000,Rounded-all,highs,8,8,8,8,8,8
multilevel,1000000,Rounded-all,gurobi,8,8,8,8,8,8
multilevel,1000,Rounded-all,highs,8,8,8,8,8,8
multilevel,1000,Rounded-all,gurobi,8,8,8,8,8,8
