family,campaign,M,seed,method,posthoc_control,prep_seconds,source_variables,source_rows,rows,nnz,source_max_coefficient,max_coefficient
original,original-100,1000000000000,100,Rounded-direction,False,0.0102174860003287,72,25,25,215,4000000000007.0,74.0
original,original-100,1000000000000,100,Rational-direction,False,0.012765285999194,72,25,25,215,4000000000007.0,74.0
original,original-100,1000000000000,101,Rounded-direction,False,0.0096807459995034,72,25,25,212,4000000000007.0,70.0
original,original-100,1000000000000,101,Rational-direction,False,0.0125005400004738,72,25,25,212,4000000000007.0,70.0
original,original-100,1000000000000,102,Rounded-direction,False,0.0110987320003914,72,25,25,216,4000000000007.0,74.0
original,original-100,1000000000000,102,Rational-direction,False,0.0127361929990001,72,25,25,216,4000000000007.0,74.0
original,original-100,1000000000000,103,Rounded-direction,False,0.0114780889998655,72,25,25,215,4000000000007.0,74.0
original,original-100,1000000000000,103,Rational-direction,False,0.0126989370000956,72,25,25,215,4000000000007.0,74.0
original,original-100,1000000000,100,Rounded-direction,False,0.0106334610027261,72,25,25,215,4000000007.0,74.0
original,original-100,1000000000,100,Rational-direction,False,0.0126950929989106,72,25,25,215,4000000007.0,74.0
original,original-100,1000000000,101,Rounded-direction,False,0.0095665540029585,72,25,25,212,4000000007.0,70.0
original,original-100,1000000000,101,Rational-direction,False,0.0122210910012654,72,25,25,212,4000000007.0,70.0
original,original-100,1000000000,102,Rounded-direction,False,0.0109557700016011,72,25,25,216,4000000007.0,74.0
original,original-100,1000000000,102,Rational-direction,False,0.0124920490015938,72,25,25,216,4000000007.0,74.0
original,original-100,1000000000,103,Rounded-direction,False,0.0104142500022135,72,25,25,215,4000000007.0,74.0
original,original-100,1000000000,103,Rational-direction,False,0.0126551180001115,72,25,25,215,4000000007.0,74.0
original,original-100,1000000,100,Rounded-direction,False,0.0095305610011564,72,25,25,215,4000007.0,74.0
original,original-100,1000000,100,Rational-direction,False,0.012019773999782,72,25,25,215,4000007.0,74.0
original,original-100,1000000,101,Rounded-direction,False,0.0099318950015003,72,25,25,212,4000007.0,70.0
original,original-100,1000000,101,Rational-direction,False,0.0116780470016237,72,25,25,212,4000007.0,70.0
original,original-100,1000000,102,Rounded-direction,False,0.0096766969982127,72,25,25,216,4000007.0,74.0
original,original-100,1000000,102,Rational-direction,False,0.0117740089990547,72,25,25,216,4000007.0,74.0
original,original-100,1000000,103,Rounded-direction,False,0.0103563089978706,72,25,25,215,4000007.0,74.0
original,original-100,1000000,103,Rational-direction,False,0.0121205739997094,72,25,25,215,4000007.0,74.0
multilevel,multilevel-200,1000,200,Base,False,1.0569965525064615e-06,80,25,25,320,115370.0,115370.0
multilevel,multilevel-200,1000,200,GCD-floor,False,0.0056017589995462,80,25,25,320,115370.0,115370.0
multilevel,multilevel-200,1000,200,Single-coefficient,False,0.0099511129992606,80,25,25,320,115370.0,115370.0
multilevel,multilevel-200,1000,200,Dyadic-GM,False,0.0092078199995739,80,25,25,320,115370.0,332.61328125
multilevel,multilevel-200,1000,200,Rounded-direction,False,0.0015525169983447,80,25,25,320,115370.0,115370.0
multilevel,multilevel-200,1000,200,Rational-direction,False,0.0015094800000952,80,25,25,320,115370.0,115370.0
multilevel,multilevel-200,1000,200,Oracle-direction,False,0.0064021420002973,80,25,25,319,115370.0,435.0
multilevel,multilevel-200,1000,201,Base,False,1.582000550115481e-06,80,25,25,319,115362.0,115362.0
multilevel,multilevel-200,1000,201,GCD-floor,False,0.0054214550000324,80,25,25,319,115362.0,115362.0
multilevel,multilevel-200,1000,201,Single-coefficient,False,0.0099465969979064,80,25,25,319,115362.0,115362.0
multilevel,multilevel-200,1000,201,Dyadic-GM,False,0.0092766199995821,80,25,25,319,115362.0,360.5390625
multilevel,multilevel-200,1000,201,Rounded-direction,False,0.0015135779976844,80,25,25,319,115362.0,115362.0
multilevel,multilevel-200,1000,201,Rational-direction,False,0.0015227809999487,80,25,25,319,115362.0,115362.0
multilevel,multilevel-200,1000,201,Oracle-direction,False,0.0063133509975159,80,25,25,319,115362.0,420.0
multilevel,multilevel-200,1000,202,Base,False,1.4600009308196604e-06,80,25,25,320,115360.0,115360.0
multilevel,multilevel-200,1000,202,GCD-floor,False,0.0053859899999224,80,25,25,320,115360.0,115360.0
multilevel,multilevel-200,1000,202,Single-coefficient,False,0.0103183789979084,80,25,25,320,115360.0,115360.0
multilevel,multilevel-200,1000,202,Dyadic-GM,False,0.0092271520006761,80,25,25,320,115360.0,450.625
multilevel,multilevel-200,1000,202,Rounded-direction,False,0.0015300119994208,80,25,25,320,115360.0,115360.0
multilevel,multilevel-200,1000,202,Rational-direction,False,0.0015039399986562,80,25,25,320,115360.0,115360.0
multilevel,multilevel-200,1000,202,Oracle-direction,False,0.0063242590003937,80,25,25,320,115360.0,363.0
multilevel,multilevel-200,1000,203,Base,False,1.724998583085835e-06,80,25,25,320,115367.0,115367.0
multilevel,multilevel-200,1000,203,GCD-floor,False,0.0054066169977886,80,25,25,320,115367.0,115367.0
multilevel,multilevel-200,1000,203,Single-coefficient,False,0.0100260990002425,80,25,25,320,115367.0,115367.0
multilevel,multilevel-200,1000,203,Dyadic-GM,False,0.0091607899994414,80,25,25,320,115367.0,450.62109375
multilevel,multilevel-200,1000,203,Rounded-direction,False,0.0016741060026106,80,25,25,320,115367.0,115367.0
multilevel,multilevel-200,1000,203,Rational-direction,False,0.0015646510000806,80,25,25,320,115367.0,115367.0
multilevel,multilevel-200,1000,203,Oracle-direction,False,0.0062929009982326,80,25,25,320,115367.0,456.0
multilevel,multilevel-200,1000000,200,Base,False,1.6260019037872553e-06,80,25,25,320,115000370.0,115000370.0
multilevel,multilevel-200,1000000,200,GCD-floor,False,0.0053923570012557,80,25,25,320,115000370.0,115000370.0
multilevel,multilevel-200,1000000,200,Single-coefficient,False,0.0100137329973222,80,25,25,320,115000370.0,115000370.0
multilevel,multilevel-200,1000000,200,Dyadic-GM,False,0.0092378440022002,80,25,25,320,115000370.0,10375.994750976562
multilevel,multilevel-200,1000000,200,Rounded-direction,False,0.0102962420023686,80,25,25,320,115000370.0,115000370.0
multilevel,multilevel-200,1000000,200,Rational-direction,False,0.0177380719978828,80,25,25,318,115000370.0,311.0
multilevel,multilevel-200,1000000,200,Oracle-direction,False,0.0062952340012998,80,25,25,319,115000370.0,435.0
