family,method,solver,configurations,median_optimize_seconds,q25_optimize_seconds,q75_optimize_seconds,min_optimize_seconds,max_optimize_seconds,median_prep_plus_optimize_seconds
original,Rounded-direction,highs,24,0.0119798439991427,0.0100060312497589,0.013129169500643825,0.0040350529998249,0.0228658340020047,0.0222440969992021
original,Rounded-direction,gurobi,24,0.00475705700046085,0.0028092532493246497,0.0060888162497576,0.0018573630004539,0.029267912999785,0.0147647270005108
original,Rational-direction,highs,24,0.012314614999922851,0.00997525375260005,0.013946242000201826,0.0041712140009622,0.0240437809989089,0.024767098500888
original,Rational-direction,gurobi,24,0.0044153585022286,0.002827532999617675,0.005361725250622825,0.0018525599989516,0.0135889009980019,0.016827599001771852
multilevel,Base,highs,24,0.0139805640010308,0.0110852854995755,0.021269424750244025,0.0053077709999342,0.0319083410031453,0.01398202400196162
multilevel,Base,gurobi,24,0.00343107150001735,0.0032856944999366,0.0047903967497404006,0.0020741309999721,0.0080621059969416,0.003432634499404156
multilevel,GCD-floor,highs,24,0.01386117449874285,0.01107542774934695,0.02098933775050675,0.0052392329998838,0.0318931270012399,0.019247164498665252
multilevel,GCD-floor,gurobi,24,0.00334505100181555,0.0031371972490886997,0.004498351749134525,0.0021041280015197,0.0057488729980832,0.00873192850121985
multilevel,Single-coefficient,highs,24,0.0139535200014506,0.011062863000915926,0.021148292247744352,0.0053323710017139,0.0318591899995226,0.024271898999359
multilevel,Single-coefficient,gurobi,24,0.0033930814988707,0.0031804852505956,0.00454044824982695,0.0021076800003356,0.0055655510004726,0.01363992349797615
multilevel,Dyadic-GM,highs,24,0.0109381259990186,0.0100446262504192,0.01840794800136785,0.0047093629982555,0.0280150500002491,0.0206572314982622
multilevel,Dyadic-GM,gurobi,24,0.0044180225013405496,0.003399582000383775,0.005098004749015599,0.0021329330011212,0.0128170900024997,0.01383196500319165
multilevel,Rounded-direction,highs,24,0.013785132499833649,0.010959880499285625,0.019678159500472178,0.0052465490007307,0.0310976690016104,0.0223474749964225
multilevel,Rounded-direction,gurobi,24,0.00342400599947715,0.0027265424996585,0.00456268700054345,0.0019025180008611,0.0056428690004395,0.0134915224971336
multilevel,Rational-direction,highs,24,0.0104919100012921,0.0100189287495595,0.011067059251217825,0.0045111990002624,0.014223802001652,0.0276080249968799
multilevel,Rational-direction,gurobi,24,0.00330564399882855,0.00270085375177585,0.003899550751157175,0.0020699759988929,0.0054562939985771,0.0205348575000243
multilevel,Oracle-direction,highs,24,0.01093680850135565,0.0100231269989308,0.012874801748694126,0.0044080990010115,0.0179695789993274,0.0172204229984344
multilevel,Oracle-direction,gurobi,24,0.0032892099989112,0.002338405251066425,0.00412702524954505,0.0020848140011366,0.0045273169998836,0.00959656800114305
multilevel,Rounded-all,highs,24,0.0107743424996442,0.0100563124997279,0.011041091249353424,0.0045385239973256,0.0141891210005269,0.048440724998726994
multilevel,Rounded-all,gurobi,24,0.0033108429997809503,0.002641768999637775,0.00402115200176915,0.0020729300013044,0.7390089520013134,0.0414523644994914
