M,seed,method,presolve,solver,status,rounded_optimal,rounded_optimal_within_eta,integer_error,objective_rounded,true_optimum,prep_seconds,solver_seconds,exported_rows,nnz,max_exported_violation,x,independent_rounded_feasible,independent_rounded_optimal,rounded_feasible,within_eta,equivalence_and_dp_seconds,nodes,max_abs_coefficient,total_seconds,abstain
1000000,100,Base,False,highs,kOptimal,True,True,0.0,534.0,534,1.7000002117129045e-06,0.0669364559998939,25.0,216.0,0.0,"[1.0, 1.0, -0.0, 0.0, 0.0, -0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, -0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",True,True,,,,,,0.06693815600010561,False
1000000,100,Base,False,gurobi,2,False,False,7.499996252330181e-07,597.0,534,1.7000002117129045e-06,0.0120886000004247,25.0,216.0,2.999992499992949e-06,"[1.0, 1.0, -0.0, -0.0, -0.0, 0.0, 1.0, -0.0, 1.0, 1.0, 1.0, 2.499993750015625e-07, 1.0, 1.0, -0.0, -0.0, -0.0, 0.0, 1.0, 0.0, 1.0, -0.0, -0.0, 1.0, 1.0, 1.0, 0.0, 0.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, 0.0, -0.0, 0.0, 1.0, 1.0, -0.0, 1.6666675005094804e-07, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, -0.0, 7.499996252330181e-07, 1.0, 1.0, 1.0, -0.0, -0.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 1.0, 1.0, -0.0, 0.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0]",False,False,,,,,,0.012090300000636413,False
1000000,100,Base,True,highs,kOptimal,True,True,0.0,534.0,534,1.7000002117129045e-06,0.0042506549998506,25.0,216.0,0.0,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",True,True,,,,,,0.004252355000062313,False
1000000,100,Base,True,gurobi,2,True,True,0.0,534.0,534,1.7000002117129045e-06,0.0027572250000957,25.0,216.0,0.0,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 0.0, 1.0, 1.0, 0.0, 0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, 1.0, 0.0, -0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, -0.0, 1.0, 1.0, 0.0, 0.0, 0.0, -0.0]",True,True,,,,,,0.0027589250003074127,False
1000000,100,GCD-floor,False,highs,kOptimal,True,True,1.2212453270876722e-15,534.0,534,0.0002212350000263,0.0849146720001954,25.0,216.0,0.0,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, -0.0, -1.1641555465804412e-16, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.9999999999999988, 1.0, 1.0, 0.0, -0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",True,True,,,,,,0.0851359070002217,False
1000000,100,GCD-floor,False,gurobi,2,False,False,9.999969999840983e-07,543.0,534,0.0002212350000263,0.0068063830003666,25.0,216.0,4.9400246970294186e-11,"[1.0, 1.0, 0.0, 0.0, -0.0, 0.0, 1.0, -0.0, 0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.999999000003, 1.0, -0.0, -0.0, 9.999969999718492e-07, 1.0, 1.0, 0.0, 0.0, -0.0, -0.0, 1.0, 1.0, 0.0, -0.0, 0.0, -0.0, 0.0, 1.0, 1.0, 0.0, -0.0, 1.2500023447309333e-07, 1.0, 1.0, 0.0, 0.0, 0.0, -0.0, 4.99999750000125e-07, 1.0, 1.0, 1.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 0.0, 1.0, 1.0, 0.0, 0.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 0.0]",False,False,,,,,,0.0070276180003929,False
1000000,100,GCD-floor,True,highs,kOptimal,True,True,0.0,534.0,534,0.0002212350000263,0.0042475330001252,25.0,216.0,0.0,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",True,True,,,,,,0.0044687680001515,False
1000000,100,GCD-floor,True,gurobi,2,True,True,0.0,534.0,534,0.0002212350000263,0.0027644450001389,25.0,216.0,0.0,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 0.0, 1.0, 1.0, 0.0, 0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, 1.0, 0.0, -0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, -0.0, 1.0, 1.0, 0.0, 0.0, 0.0, -0.0]",True,True,,,,,,0.0029856800001652,False
1000000,100,Dyadic-GM,False,highs,kOptimal,False,False,8.333313888941873e-07,660.0,534,0.0022557550000783,0.0312054900005023,25.0,216.0,4.768386737203473e-07,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.499993750015625e-07, -1.5476680600528322e-07, 0.9999998095218272, 1.0, -8.095265053853495e-07, 0.0, 1.0000008095265054, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.9999999999999999, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.9999991666686111, 0.0]",False,False,,,,,,0.0334612450005806,False
1000000,100,Dyadic-GM,False,gurobi,2,False,False,1.499989500053367e-06,699.0,534,0.0022557550000783,0.0162860030004594,25.0,216.0,7.152557373046875e-07,"[1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 0.9999998499994428, -0.0, 1.0, 1.0, 1.0, 9.999934274905211e-08, 1.0, 1.0, 0.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, 2.500001250000625e-07, 1.0, 1.0, 0.0, 0.0, -0.0, -0.0, 1.0, 1.0, 0.0, -0.0, -0.0, -0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, -0.0, -0.0, 1.0, 0.0, 0.9999985000105, 1.0, 1.0, 1.0, 0.0, 0.0, -0.0, -0.0, 1.0, -0.0, 1.0, -0.0, 0.9999991666686111, -0.0]",False,False,,,,,,0.0185417580005377,False
1000000,100,Dyadic-GM,True,highs,kOptimal,False,False,0.0,620.0,534,0.0022557550000783,0.0118168930002866,25.0,216.0,7.152557373046875e-07,"[0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",False,False,,,,,,0.014072648000364901,False
1000000,100,Dyadic-GM,True,gurobi,2,False,False,0.0,620.0,534,0.0022557550000783,0.0108325209994291,25.0,216.0,7.152557373046875e-07,"[1.0, 1.0, 0.0, 0.0, -0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, -0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, -0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, -0.0, 0.0]",False,False,,,,,,0.0130882759995074,False
1000000,100,Pair-sum,False,highs,kOptimal,False,False,4.99999000002e-07,620.0,534,0.0036354850008137,0.0251092769995011,37.0,288.0,2.384185791015625e-07,"[0.9999999999999976, 1.0, -0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, -0.0, 1.0, 1.0000000000000002, 0.0, 0.0, 0.0, 0.0, -4.99999000002e-07, 1.0, 1.0, 0.0, 0.0, -0.0, 1.0, 1.0, -0.0, 0.0, 0.0, 0.0, 1.0000001999997226, 1.0, 0.0, -2.4999932509152194e-07, 1.9999972256101728e-07, 0.0, -0.0, 1.0, 1.0, 0.0, -0.0, -0.0, 1.0, -0.0, 0.0, 1.0000000000000002, 0.0, 1.0, 0.0, 0.0, 0.9999996250002813, -0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -0.0, -0.0, 0.0, -0.0, 1.0, 1.0, 0.0, 0.0, 0.0, -0.0]",False,False,,,,,,0.0287447620003148,False
1000000,100,Pair-sum,False,gurobi,2,False,False,8.750002188860292e-07,699.0,534,0.0036354850008137,0.0052437719996305,37.0,288.0,7.499981250046876e-07,"[1.0, 1.0, 0.0, 0.0, -0.0, 0.0, 1.0, -0.0, 1.0, 1.0, 1.0, 2.499993750015625e-07, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, 2.500001250000625e-07, 1.0, 1.0, 0.0, 0.0, -0.0, -0.0, 1.0, 1.0, 0.0, -0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, -8.750002188860292e-07, -0.0, 1.0, 8.75000218614081e-07, 1.0, 1.0, 0.0, 0.0, 1.0, -0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, -0.0, -0.0, 1.0, -0.0, 1.0, -0.0, 0.9999991666686111, -0.0]",False,False,,,,,,0.0088792570004442,False
1000000,100,Pair-sum,True,highs,kOptimal,False,False,9.999979999619768e-07,603.0,534,0.0036354850008137,0.006157198999972,37.0,288.0,2.384185791015625e-07,"[-0.0, -0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.9999998333335556, 0.0, 0.0, 1.6666644442907165e-07, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.000000999998, 1.0, 0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.9999994166665694, 5.833334305337583e-07, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",False,False,,,,,,0.0097926840007857,False
1000000,100,Pair-sum,True,gurobi,2,False,False,0.0,629.0,534,0.0036354850008137,0.0060128079994683,37.0,288.0,7.152557373046875e-07,"[0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",False,False,,,,,,0.009648293000282,False
1000000,100,All-elimination,False,highs,kOptimal,False,False,3.749997187219023e-07,611.0,534,0.0111216149998654,0.0269072280007094,97.0,576.0,8.447420773689852e-14,"[1.0, 1.0, -0.0, -0.0, 0.0, -0.0, 1.0, 0.0, 0.9999998695651864, 1.0, 1.0, 5.4347838897427106e-08, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, -0.0, 1.0, 1.0, 0.0, 0.0, -0.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.9999996250002813, -0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, -0.0]",False,False,,,,,,0.0380288430005748,False
1000000,100,All-elimination,False,gurobi,2,False,False,0.0,627.0,534,0.0111216149998654,0.014572568999938,97.0,576.0,7.152557373046875e-07,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",False,False,,,,,,0.025694183999803402,False
1000000,100,All-elimination,True,highs,kOptimal,False,False,0.0,504.0,534,0.0111216149998654,0.0060951109999223,97.0,576.0,7.152557373046875e-07,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",False,False,,,,,,0.0172167259997877,False
1000000,100,All-elimination,True,gurobi,2,False,False,0.0,594.0,534,0.0111216149998654,0.0045501849999709,97.0,576.0,7.152557373046875e-07,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",False,False,,,,,,0.0156717999998363,False
1000000,100,Selected-guards,False,highs,ABSTAIN,False,False,,,534,0.0272486030007712,0.0,,,,,False,False,,,,,,0.0272486030007712,True
1000000,100,Selected-guards,False,gurobi,ABSTAIN,False,False,,,534,0.0272486030007712,0.0,,,,,False,False,,,,,,0.0272486030007712,True
1000000,100,Selected-guards,True,highs,ABSTAIN,False,False,,,534,0.0272486030007712,0.0,,,,,False,False,,,,,,0.0272486030007712,True
1000000,100,Selected-guards,True,gurobi,ABSTAIN,False,False,,,534,0.0272486030007712,0.0,,,,,False,False,,,,,,0.0272486030007712,True
1000000,100,Unsafe-clauses,False,highs,kOptimal,True,True,0.0,534.0,534,0.313150338000014,0.0256269270003031,37.0,233.0,0.0,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",True,True,,,,,,0.33877726500031713,False
1000000,100,Unsafe-clauses,False,gurobi,2,True,True,0.0,534.0,534,0.313150338000014,0.0074357069997859,37.0,233.0,0.0,"[1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, -0.0, 0.0, 0.0, 1.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, -0.0, 1.0, -0.0, -0.0, 1.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, 0.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, 1.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0]",True,True,,,,,,0.3205860449997999,False
1000000,100,Unsafe-clauses,True,highs,kOptimal,False,False,0.0,484.0,534,0.313150338000014,0.0096730680006658,37.0,233.0,0.0,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",True,False,,,,,,0.3228234060006798,False
1000000,100,Unsafe-clauses,True,gurobi,2,True,True,0.0,534.0,534,0.313150338000014,0.0056781959992804,37.0,233.0,0.0,"[1.0, 1.0, -0.0, 0.0, 0.0, 0.0, 1.0, -0.0, -0.0, -0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, 1.0, 0.0, -0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -0.0, -0.0, 0.0, -0.0, 1.0, 1.0, 0.0, 0.0, 0.0, -0.0]",True,True,,,,,,0.3188285339992944,False
1000000,100,All-clauses,False,highs,kOptimal,True,True,0.0,534.0,534,0.0469381580005574,0.0038989889999356,116.0,384.0,0.0,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",True,True,,,,,,0.050837147000493,False
1000000,100,All-clauses,False,gurobi,2,True,True,3.749997188329246e-07,534.0,534,0.0469381580005574,0.0010054889999082,116.0,384.0,3.749997188329246e-07,"[1.0, 1.0, 0.0, -0.0, -0.0, -0.0, 1.0, 0.0, 0.0, 0.0, 1.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, 0.0, 1.0, -0.0, -0.0, 1.0, 1.0, 1.0, -0.0, 0.0, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0, -0.0, -0.0, 0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 1.0, 1.0, -0.0, 0.0, 0.0, 0.0, -0.0, 1.0, 1.0000003749997188, 1.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0, -0.0, 0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 0.0]",True,True,,,,,,0.0479436470004656,False
1000000,100,All-clauses,True,highs,kOptimal,True,True,0.0,534.0,534,0.0469381580005574,0.0050107340002796,116.0,384.0,0.0,"[1.0, 1.0, -0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, -0.0, 0.0, 1.0, 0.0, 1.0, -0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, -0.0]",True,True,,,,,,0.051948892000837,False
1000000,100,All-clauses,True,gurobi,2,True,True,0.0,534.0,534,0.0469381580005574,0.0019038529999306,116.0,384.0,0.0,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, -0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",True,True,,,,,,0.048842011000488,False
