solver,method,configurations,feasible,optimal,abstain,median_prep_seconds,median_solver_seconds,median_total_seconds,median_rows
gurobi,All-clauses,24,24,24,0,0.05027939299998245,0.0019621884998740997,0.05225331149995315,125.5
gurobi,All-elimination,24,0,0,0,0.0115791265002371,0.0059502264998627,0.017814874000123347,97.0
gurobi,Base,24,12,7,0,2.250500074296724e-06,0.010062267500416,0.010064500000680654,25.0
gurobi,Dyadic-GM,24,0,0,0,0.0023217035004563,0.008532410499810749,0.010866509500374249,25.0
gurobi,GCD-floor,24,15,10,0,0.00021878800043844998,0.01078446400015305,0.01099278450055855,25.0
gurobi,Lattice-decomposition,24,24,24,0,0.0004493085000376,0.0058167100000900505,0.00628586400011945,49.0
gurobi,Pair-sum,24,0,0,0,0.00374153399980055,0.00615070899948475,0.0098387924999769,37.0
gurobi,Selected-guards,24,0,0,24,0.045294814500266456,0.0,0.045294814500266456,
gurobi,Unsafe-clauses,24,24,24,0,0.31300486800000726,0.0034400095000819003,0.31819529899985344,37.0
highs,All-clauses,24,24,20,0,0.05027939299998245,0.0057172800002262495,0.05580544050008015,125.5
highs,All-elimination,24,2,1,0,0.0115791265002371,0.017976529500174303,0.02993126999990625,97.0
highs,Base,24,15,15,0,2.250500074296724e-06,0.0460080334996746,0.046010210499844065,25.0
highs,Dyadic-GM,24,1,0,0,0.0023217035004563,0.01747256199996625,0.01981137300026595,25.0
highs,GCD-floor,24,15,15,0,0.00021878800043844998,0.04529939249960075,0.04551699299918245,25.0
highs,Lattice-decomposition,24,24,24,0,0.0004493085000376,0.0137680020000061,0.014204658500148001,49.0
highs,Pair-sum,24,3,2,0,0.00374153399980055,0.01614725499985065,0.0198436704999948,37.0
highs,Selected-guards,24,0,0,24,0.045294814500266456,0.0,0.045294814500266456,
highs,Unsafe-clauses,24,24,18,0,0.31300486800000726,0.010179863500070451,0.32617345550033855,37.0
