instance,perm_index,is_true_map,kappa2_pos
coupling_S6_seed20250803,0,1,9.354090e+03
coupling_S6_seed20250803,1,0,1.612603e+03
coupling_S6_seed20250803,2,0,1.752584e+03
coupling_S6_seed20250803,3,0,4.458100e+03
coupling_S6_seed20250803,4,0,1.616824e+03
coupling_S6_seed20250803,5,0,4.458102e+03
coupling_S6_seed20250803,6,0,1.608596e+03
coupling_S6_seed20250803,7,0,1.619185e+03
coupling_S6_seed20250803,8,0,3.558179e+03
coupling_S6_seed20250803,9,0,9.858032e+04
coupling_S6_seed20250803,10,0,3.561975e+03
coupling_S6_seed20250803,11,0,9.858032e+04
coupling_S6_seed20250803,12,0,1.612810e+03
coupling_S6_seed20250803,13,0,4.459410e+03
coupling_S6_seed20250803,14,0,3.558189e+03
coupling_S6_seed20250803,15,0,9.858032e+04
coupling_S6_seed20250803,16,0,4.983447e+03
coupling_S6_seed20250803,17,0,9.858035e+04
coupling_S6_seed20250803,18,0,1.623431e+03
coupling_S6_seed20250803,19,0,4.459412e+03
coupling_S6_seed20250803,20,0,3.561984e+03
coupling_S6_seed20250803,21,0,9.858032e+04
coupling_S6_seed20250803,22,0,4.983447e+03
coupling_S6_seed20250803,23,0,9.858035e+04
coupling_S6_seed20250804,0,1,1.118757e+04
coupling_S6_seed20250804,1,0,1.927883e+03
coupling_S6_seed20250804,2,0,1.926520e+03
coupling_S6_seed20250804,3,0,4.766558e+03
coupling_S6_seed20250804,4,0,1.934075e+03
coupling_S6_seed20250804,5,0,4.766562e+03
coupling_S6_seed20250804,6,0,1.929235e+03
coupling_S6_seed20250804,7,0,1.936790e+03
coupling_S6_seed20250804,8,0,3.918604e+03
coupling_S6_seed20250804,9,0,7.602499e+04
coupling_S6_seed20250804,10,0,3.922714e+03
coupling_S6_seed20250804,11,0,7.602499e+04
coupling_S6_seed20250804,12,0,1.935434e+03
coupling_S6_seed20250804,13,0,4.770430e+03
coupling_S6_seed20250804,14,0,3.918614e+03
coupling_S6_seed20250804,15,0,7.602499e+04
coupling_S6_seed20250804,16,0,5.892958e+03
coupling_S6_seed20250804,17,0,7.602515e+04
coupling_S6_seed20250804,18,0,1.942994e+03
coupling_S6_seed20250804,19,0,4.770435e+03
coupling_S6_seed20250804,20,0,3.922724e+03
coupling_S6_seed20250804,21,0,7.602499e+04
coupling_S6_seed20250804,22,0,5.892958e+03
coupling_S6_seed20250804,23,0,7.602515e+04
coupling_S6_seed20250805,0,1,3.098598e+03
coupling_S6_seed20250805,1,0,6.062924e+02
coupling_S6_seed20250805,2,0,6.061266e+02
coupling_S6_seed20250805,3,0,3.447784e+03
coupling_S6_seed20250805,4,0,6.188992e+02
coupling_S6_seed20250805,5,0,3.447788e+03
coupling_S6_seed20250805,6,0,6.124347e+02
coupling_S6_seed20250805,7,0,6.248987e+02
coupling_S6_seed20250805,8,0,2.629325e+03
coupling_S6_seed20250805,9,0,6.714067e+04
coupling_S6_seed20250805,10,0,2.632872e+03
coupling_S6_seed20250805,11,0,6.714067e+04
coupling_S6_seed20250805,12,0,6.248067e+02
coupling_S6_seed20250805,13,0,3.450855e+03
coupling_S6_seed20250805,14,0,2.629335e+03
coupling_S6_seed20250805,15,0,6.714067e+04
coupling_S6_seed20250805,16,0,4.303807e+03
coupling_S6_seed20250805,17,0,6.714080e+04
coupling_S6_seed20250805,18,0,6.371273e+02
coupling_S6_seed20250805,19,0,3.450859e+03
coupling_S6_seed20250805,20,0,2.632882e+03
coupling_S6_seed20250805,21,0,6.714067e+04
coupling_S6_seed20250805,22,0,4.303807e+03
coupling_S6_seed20250805,23,0,6.714080e+04
coupling_S6_seed20250806,0,1,9.586751e+03
coupling_S6_seed20250806,1,0,1.927596e+03
coupling_S6_seed20250806,2,0,1.933385e+03
coupling_S6_seed20250806,3,0,5.383100e+03
coupling_S6_seed20250806,4,0,1.943243e+03
coupling_S6_seed20250806,5,0,5.383110e+03
coupling_S6_seed20250806,6,0,1.925316e+03
coupling_S6_seed20250806,7,0,1.935010e+03
coupling_S6_seed20250806,8,0,4.905259e+03
coupling_S6_seed20250806,9,0,9.294477e+04
coupling_S6_seed20250806,10,0,4.909566e+03
coupling_S6_seed20250806,11,0,9.294477e+04
coupling_S6_seed20250806,12,0,1.940794e+03
coupling_S6_seed20250806,13,0,5.386592e+03
coupling_S6_seed20250806,14,0,4.905270e+03
coupling_S6_seed20250806,15,0,9.294477e+04
coupling_S6_seed20250806,16,0,7.060010e+03
coupling_S6_seed20250806,17,0,9.294511e+04
coupling_S6_seed20250806,18,0,1.950637e+03
coupling_S6_seed20250806,19,0,5.386602e+03
coupling_S6_seed20250806,20,0,4.909577e+03
coupling_S6_seed20250806,21,0,9.294477e+04
coupling_S6_seed20250806,22,0,7.060010e+03
coupling_S6_seed20250806,23,0,9.294511e+04
coupling_S6_seed20250807,0,1,7.932987e+03
coupling_S6_seed20250807,1,0,1.391381e+03
coupling_S6_seed20250807,2,0,1.891393e+03
coupling_S6_seed20250807,3,0,4.717404e+03
coupling_S6_seed20250807,4,0,1.402663e+03
coupling_S6_seed20250807,5,0,4.717413e+03
coupling_S6_seed20250807,6,0,1.559336e+03
coupling_S6_seed20250807,7,0,1.393899e+03
coupling_S6_seed20250807,8,0,4.785930e+03
coupling_S6_seed20250807,9,0,1.115458e+05
coupling_S6_seed20250807,10,0,4.792209e+03
coupling_S6_seed20250807,11,0,1.115458e+05
coupling_S6_seed20250807,12,0,1.386180e+03
coupling_S6_seed20250807,13,0,4.718972e+03
coupling_S6_seed20250807,14,0,4.785932e+03
coupling_S6_seed20250807,15,0,1.115458e+05
coupling_S6_seed20250807,16,0,6.575737e+03
coupling_S6_seed20250807,17,0,1.115459e+05
coupling_S6_seed20250807,18,0,1.405182e+03
coupling_S6_seed20250807,19,0,4.718981e+03
coupling_S6_seed20250807,20,0,4.792210e+03
coupling_S6_seed20250807,21,0,1.115458e+05
coupling_S6_seed20250807,22,0,6.575737e+03
coupling_S6_seed20250807,23,0,1.115459e+05
coupling_S6_seed20250808,0,1,5.500508e+03
coupling_S6_seed20250808,1,0,8.164551e+02
coupling_S6_seed20250808,2,0,1.120056e+03
coupling_S6_seed20250808,3,0,4.299599e+03
coupling_S6_seed20250808,4,0,8.205326e+02
coupling_S6_seed20250808,5,0,4.299601e+03
coupling_S6_seed20250808,6,0,8.126998e+02
coupling_S6_seed20250808,7,0,8.413745e+02
coupling_S6_seed20250808,8,0,2.789578e+03
coupling_S6_seed20250808,9,0,1.135218e+05
coupling_S6_seed20250808,10,0,2.795040e+03
coupling_S6_seed20250808,11,0,1.135218e+05
coupling_S6_seed20250808,12,0,8.168788e+02
coupling_S6_seed20250808,13,0,4.302210e+03
coupling_S6_seed20250808,14,0,2.789586e+03
coupling_S6_seed20250808,15,0,1.135218e+05
coupling_S6_seed20250808,16,0,4.725328e+03
coupling_S6_seed20250808,17,0,1.135218e+05
coupling_S6_seed20250808,18,0,8.453852e+02
coupling_S6_seed20250808,19,0,4.302212e+03
coupling_S6_seed20250808,20,0,2.795047e+03
coupling_S6_seed20250808,21,0,1.135218e+05
coupling_S6_seed20250808,22,0,4.725328e+03
coupling_S6_seed20250808,23,0,1.135218e+05
coupling_S6_seed20250809,0,1,5.478845e+03
coupling_S6_seed20250809,1,0,1.015969e+03
coupling_S6_seed20250809,2,0,1.019611e+03
coupling_S6_seed20250809,3,0,4.683579e+03
coupling_S6_seed20250809,4,0,1.037897e+03
coupling_S6_seed20250809,5,0,4.683591e+03
coupling_S6_seed20250809,6,0,1.009471e+03
coupling_S6_seed20250809,7,0,1.030940e+03
coupling_S6_seed20250809,8,0,4.764803e+03
coupling_S6_seed20250809,9,0,9.383391e+04
coupling_S6_seed20250809,10,0,4.769504e+03
coupling_S6_seed20250809,11,0,9.383391e+04
coupling_S6_seed20250809,12,0,1.027895e+03
coupling_S6_seed20250809,13,0,4.686596e+03
coupling_S6_seed20250809,14,0,4.764810e+03
coupling_S6_seed20250809,15,0,9.383391e+04
coupling_S6_seed20250809,16,0,6.635208e+03
coupling_S6_seed20250809,17,0,9.383419e+04
coupling_S6_seed20250809,18,0,1.046159e+03
coupling_S6_seed20250809,19,0,4.686608e+03
