instance,rank_true_map_of24,kappa2_true,kappa2_best_permuted
coupling_S6_seed20250803,18,9.354090e+03,1.608596e+03
coupling_S6_seed20250804,18,1.118757e+04,1.926520e+03
coupling_S6_seed20250805,12,3.098598e+03,6.061266e+02
coupling_S6_seed20250806,18,9.586751e+03,1.925316e+03
coupling_S6_seed20250807,18,7.932987e+03,1.386180e+03
coupling_S6_seed20250808,18,5.500508e+03,8.126998e+02
coupling_S6_seed20250809,16,5.478845e+03,1.009471e+03
coupling_S6_seed20250810,12,4.258592e+03,6.099725e+02
coupling_S6_seed20250811,18,6.473894e+03,1.135696e+03
coupling_S6_seed20250812,18,6.994802e+03,1.500698e+03
coupling_S6_seed20250813,18,7.589022e+03,1.108529e+03
coupling_S6_seed20250814,18,1.237346e+04,2.022559e+03
coupling_S6_seed20250815,18,7.790682e+03,1.351044e+03
coupling_S6_seed20250816,16,5.667199e+03,1.082080e+03
coupling_S6_seed20250817,12,5.281484e+03,8.833053e+02
coupling_S6_seed20250818,16,4.862752e+03,1.017727e+03
coupling_S6_seed20250819,12,3.960246e+03,1.001725e+03
coupling_S6_seed20250820,18,7.113216e+03,1.020607e+03
coupling_S6_seed20250821,18,5.180211e+03,1.112363e+03
coupling_S6_seed20250822,18,1.549055e+04,2.647345e+03
coupling_S6_seed20250823,8,3.577890e+03,7.461593e+02
coupling_S6_seed20250824,18,8.515960e+03,1.779522e+03
coupling_S6_seed20250825,16,3.002784e+03,6.589225e+02
coupling_S6_seed20250826,18,7.638920e+03,8.035557e+02
coupling_S6_seed20250827,24,7.038115e+04,1.703950e+04
coupling_S6_seed20250828,18,7.891677e+03,1.195805e+03
coupling_S6_seed20250829,12,4.279309e+03,7.734775e+02
coupling_S6_seed20250830,16,4.691897e+03,9.772397e+02
coupling_S6_seed20250831,18,6.897138e+03,9.724570e+02
coupling_S6_seed20250832,12,3.149598e+03,5.756694e+02
