model_id,family,seed,exponent,presolve,method,solver,status,solver_tolerance,solver_seconds,nodes,true_optimum,x,factors,primal_budget_ok,rounded_exact_feasible,rounded_optimal,max_budget_ratio,max_integrality_error
cardinality_s100_e0,cardinality,100,0,False,L2,highs,kOptimal,1e-06,0.004902972999957456,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[0.2886751345948129],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,False,L2,gurobi,2,1e-06,0.0014913969999952315,1.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[0.2886751345948129],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,False,GM,highs,kOptimal,1e-06,0.00456673399992269,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, -0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,False,GM,gurobi,2,1e-06,0.0009375380000165023,1.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,False,Budget-GM,highs,kOptimal,1e-06,0.004503538999983903,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, -0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,False,Budget-GM,gurobi,2,1e-06,0.0007757109999602108,1.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,False,Budget-round,highs,kOptimal,1e-06,0.004462802999910309,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, -0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,False,Budget-round,gurobi,2,1e-06,0.0007504599999492712,1.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,False,Budget-only,highs,kOptimal,1e-06,0.004793251000023702,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[9.999999999999999e-05],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,False,Budget-only,gurobi,2,1e-06,0.0032961450000357218,17.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[9.999999999999999e-05],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,False,GM-tight,highs,kOptimal,1e-09,0.004515304999927139,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, -0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,False,GM-tight,gurobi,2,1e-09,0.0009117230000583731,1.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,False,Base,highs,kOptimal,1e-06,0.0036678540000139037,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, -0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,False,Base,gurobi,2,1e-06,0.0008107700000437035,1.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,True,Budget-GM,highs,kOptimal,1e-06,0.00019885099993643962,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,True,Budget-GM,gurobi,2,1e-06,0.0003170420000060403,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,True,GM,highs,kOptimal,1e-06,0.00019847999999456079,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,True,GM,gurobi,2,1e-06,0.00025328600008833746,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,True,Base,highs,kOptimal,1e-06,0.00019059199996718235,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,True,Base,gurobi,2,1e-06,0.00024355000005016336,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,True,Budget-only,highs,kOptimal,1e-06,0.00019404099998610036,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[9.999999999999999e-05],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,True,Budget-only,gurobi,2,1e-06,0.0002569040000253153,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[9.999999999999999e-05],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,True,Budget-round,highs,kOptimal,1e-06,0.0001870539999799803,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,True,Budget-round,gurobi,2,1e-06,0.00024278099999719416,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,True,GM-tight,highs,kOptimal,1e-09,0.00019048900003326708,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,True,GM-tight,gurobi,2,1e-09,0.00025811699993028014,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,True,L2,highs,kOptimal,1e-06,0.00019189900001492788,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[0.2886751345948129],True,True,True,0.0,0.0
cardinality_s100_e0,cardinality,100,0,True,L2,gurobi,2,1e-06,0.00024034299997310882,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[0.2886751345948129],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,False,Budget-only,highs,kOptimal,1e-06,0.003651938000075461,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[9.999999999999999e-05],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,False,Budget-only,gurobi,2,1e-06,0.005539227999975083,23.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[9.999999999999999e-05],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,False,Base,highs,kOptimal,1e-06,0.003365479999956733,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,False,Base,gurobi,2,1e-06,0.0019092930000397246,23.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,False,Budget-round,highs,ABSTAIN,1e-06,0.0,0,136,null,null,False,False,False,,
cardinality_s100_e3,cardinality,100,3,False,Budget-round,gurobi,ABSTAIN,1e-06,0.0,0,136,null,null,False,False,False,,
cardinality_s100_e3,cardinality,100,3,False,Budget-GM,highs,kOptimal,1e-06,0.003275670999983049,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, -0.0, 0.0]",[0.0010000000000000002],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,False,Budget-GM,gurobi,2,1e-06,0.004229929000075572,23.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[0.0010000000000000002],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,False,GM-tight,highs,kOptimal,1e-09,0.003190192000033676,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, -0.0, 0.0]",[0.001],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,False,GM-tight,gurobi,2,1e-09,0.002442367999947237,23.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[0.001],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,False,L2,highs,kOptimal,1e-06,0.00338336499999059,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[0.0002886751345948129],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,False,L2,gurobi,2,1e-06,0.002800025000055939,23.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[0.0002886751345948129],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,False,GM,highs,kOptimal,1e-06,0.00319710699989173,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, -0.0, 0.0]",[0.001],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,False,GM,gurobi,2,1e-06,0.002486876000034499,23.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[0.001],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,True,Budget-round,highs,ABSTAIN,1e-06,0.0,0,136,null,null,False,False,False,,
cardinality_s100_e3,cardinality,100,3,True,Budget-round,gurobi,ABSTAIN,1e-06,0.0,0,136,null,null,False,False,False,,
cardinality_s100_e3,cardinality,100,3,True,Base,highs,kOptimal,1e-06,0.00019339599998602353,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,True,Base,gurobi,2,1e-06,0.000253628999985267,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,True,GM-tight,highs,kOptimal,1e-09,0.00019129300005715777,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[0.001],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,True,GM-tight,gurobi,2,1e-09,0.0002471140001034655,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[0.001],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,True,L2,highs,kOptimal,1e-06,0.0002065799999400042,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[0.0002886751345948129],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,True,L2,gurobi,2,1e-06,0.0002485620000243216,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[0.0002886751345948129],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,True,GM,highs,kOptimal,1e-06,0.00019585500001539913,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[0.001],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,True,GM,gurobi,2,1e-06,0.00029182600007970905,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[0.001],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,True,Budget-only,highs,kOptimal,1e-06,0.00027541600002223277,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[9.999999999999999e-05],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,True,Budget-only,gurobi,2,1e-06,0.0003052349999279613,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[9.999999999999999e-05],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,True,Budget-GM,highs,kOptimal,1e-06,0.00022202800005288736,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[0.0010000000000000002],True,True,True,0.0,0.0
cardinality_s100_e3,cardinality,100,3,True,Budget-GM,gurobi,2,1e-06,0.0002713449999873774,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[0.0010000000000000002],True,True,True,0.0,0.0
cardinality_s100_e6,cardinality,100,6,False,Budget-GM,highs,kOptimal,1e-06,0.00348390199997084,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[9.999999999999991e-05],True,True,True,0.0,0.0
cardinality_s100_e6,cardinality,100,6,False,Budget-GM,gurobi,2,1e-06,0.00036928099996202945,1.0,136,"[-0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, 1.0, 1.0, 0.9999999000000005, -0.0]",[9.999999999999991e-05],False,False,False,1.2419576478350791e-08,9.99999995032752e-08
cardinality_s100_e6,cardinality,100,6,False,Budget-round,highs,ABSTAIN,1e-06,0.0,0,136,null,null,False,False,False,,
cardinality_s100_e6,cardinality,100,6,False,Budget-round,gurobi,ABSTAIN,1e-06,0.0,0,136,null,null,False,False,False,,
cardinality_s100_e6,cardinality,100,6,False,GM-tight,highs,kOptimal,1e-09,0.003297588000009455,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, -0.0, 0.0]",[1e-06],True,True,True,0.0,0.0
cardinality_s100_e6,cardinality,100,6,False,GM-tight,gurobi,2,1e-09,0.0033425540000280307,25.0,136,"[-0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, 1.0, 1.0, 0.0, -0.0]",[1e-06],True,True,True,0.0,0.0
cardinality_s100_e6,cardinality,100,6,False,Base,highs,kOptimal,1e-06,0.007640114999958314,6,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e6,cardinality,100,6,False,Base,gurobi,2,1e-06,0.00036750900005699805,1.0,136,"[-0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, 1.0, 1.0, 0.9999999000000004, -0.0]",[1.0],False,False,False,1.3173462320992257e-09,9.999999961429751e-08
cardinality_s100_e6,cardinality,100,6,False,GM,highs,kOptimal,1e-06,0.0036528870000438474,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, -0.0, 1.0, 1.0, 1.0, 0.0]",[1e-06],False,False,False,9.999999962747097,0.0
cardinality_s100_e6,cardinality,100,6,False,GM,gurobi,2,1e-06,0.00045620200000939803,1.0,136,"[-0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, 1.0, 1.0, 0.9999998999999997, -0.0]",[1e-06],False,False,False,0.0,1.0000000028043132e-07
cardinality_s100_e6,cardinality,100,6,False,Budget-only,highs,kOptimal,1e-06,0.0035616330000038943,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[9.999999999999999e-05],True,True,True,0.0,0.0
cardinality_s100_e6,cardinality,100,6,False,Budget-only,gurobi,2,1e-06,0.0004076330000089001,1.0,136,"[-0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, 1.0, 1.0, 0.9999999000000005, -0.0]",[9.999999999999999e-05],False,False,False,1.2419576478350791e-08,9.99999995032752e-08
cardinality_s100_e6,cardinality,100,6,False,L2,highs,kOptimal,1e-06,0.0032786689999966256,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, -9.999999933909104e-08, 1.0, 1.0, 1.0, 0.0]",[2.886751345948129e-07],False,False,False,2.883799328934022e-08,9.999999933909104e-08
cardinality_s100_e6,cardinality,100,6,False,L2,gurobi,2,1e-06,0.0003343729999869538,1.0,136,"[-0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, 1.0, 1.0, 0.9999999000000006, -0.0]",[2.886751345948129e-07],False,False,False,2.3521806724602357e-08,9.99999993922529e-08
cardinality_s100_e6,cardinality,100,6,True,L2,highs,kOptimal,1e-06,0.0002027839999527714,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",[2.886751345948129e-07],False,False,False,9.999999962747097,0.0
cardinality_s100_e6,cardinality,100,6,True,L2,gurobi,2,1e-06,0.0003472809999038873,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",[2.886751345948129e-07],False,False,False,9.999999962747097,0.0
cardinality_s100_e6,cardinality,100,6,True,GM-tight,highs,kOptimal,1e-09,0.0002220479999550662,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1e-06],True,True,True,0.0,0.0
cardinality_s100_e6,cardinality,100,6,True,GM-tight,gurobi,2,1e-09,0.00025680900000679685,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1e-06],True,True,True,0.0,0.0
cardinality_s100_e6,cardinality,100,6,True,Budget-round,highs,ABSTAIN,1e-06,0.0,0,136,null,null,False,False,False,,
cardinality_s100_e6,cardinality,100,6,True,Budget-round,gurobi,ABSTAIN,1e-06,0.0,0,136,null,null,False,False,False,,
cardinality_s100_e6,cardinality,100,6,True,Budget-GM,highs,kOptimal,1e-06,0.00020005600003969448,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[9.999999999999991e-05],True,True,True,0.0,0.0
cardinality_s100_e6,cardinality,100,6,True,Budget-GM,gurobi,2,1e-06,0.00025729000003593683,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",[9.999999999999991e-05],False,False,False,9.999999962747097,0.0
cardinality_s100_e6,cardinality,100,6,True,Base,highs,kOptimal,1e-06,0.0001961210000445135,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[1.0],True,True,True,0.0,0.0
cardinality_s100_e6,cardinality,100,6,True,Base,gurobi,2,1e-06,0.0003126209999209095,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",[1.0],False,False,False,9.999999962747097,0.0
cardinality_s100_e6,cardinality,100,6,True,GM,highs,kOptimal,1e-06,0.00019540300002063304,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",[1e-06],False,False,False,9.999999962747097,0.0
cardinality_s100_e6,cardinality,100,6,True,GM,gurobi,2,1e-06,0.00025632999995650607,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",[1e-06],False,False,False,9.999999962747097,0.0
cardinality_s100_e6,cardinality,100,6,True,Budget-only,highs,kOptimal,1e-06,0.0002003810000132944,0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[9.999999999999999e-05],True,True,True,0.0,0.0
cardinality_s100_e6,cardinality,100,6,True,Budget-only,gurobi,2,1e-06,0.00024155799997060967,0.0,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",[9.999999999999999e-05],False,False,False,9.999999962747097,0.0
cardinality_s100_e9,cardinality,100,9,False,Budget-round,highs,ABSTAIN,1e-06,0.0,0,136,null,null,False,False,False,,
cardinality_s100_e9,cardinality,100,9,False,Budget-round,gurobi,ABSTAIN,1e-06,0.0,0,136,null,null,False,False,False,,
cardinality_s100_e9,cardinality,100,9,False,GM,highs,kOptimal,1e-06,0.0032845739999629586,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, -0.0, 1.0, 1.0, 1.0, 0.0]",[1e-09],False,False,False,10.000038146972656,0.0
cardinality_s100_e9,cardinality,100,9,False,GM,gurobi,2,1e-06,0.00030955299996549,1.0,136,"[-0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, 1.0, 1.0, 0.9999999999, -0.0]",[1e-09],True,False,False,3.7319568946259096e-05,1.000000082740371e-10
cardinality_s100_e9,cardinality,100,9,False,Budget-only,highs,kOptimal,1e-06,0.0033918020000101023,1,136,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",[9.999999999999999e-05],True,True,True,0.0,0.0
