M,seed,method,presolve,solver,status,rounded_optimal,rounded_optimal_within_eta,integer_error,objective_rounded,true_optimum,prep_seconds,solver_seconds,exported_rows,nnz,max_exported_violation,x
1000000,50,Base,False,highs,kOptimal,True,True,0.0,347.0,347,1.8709997675614432e-06,0.018943193000268366,13,108,0.0,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
1000000,50,Base,False,gurobi,2,True,True,0.0,347.0,347,1.8709997675614432e-06,0.004119995000110066,13,108,0.0,"[-0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, 1.0]"
1000000,50,Base,True,highs,kOptimal,True,True,0.0,347.0,347,1.8709997675614432e-06,0.002500385000530514,13,108,0.0,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
1000000,50,Base,True,gurobi,2,True,True,0.0,347.0,347,1.8709997675614432e-06,0.0016759370000727358,13,108,0.0,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, 1.0, 1.0, 0.0, -0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 1.0, 0.0, 0.0, 1.0]"
1000000,50,GCD-floor,False,highs,kOptimal,True,True,0.0,347.0,347,9.240700001100777e-05,0.013944361000540084,13,108,0.0,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
1000000,50,GCD-floor,False,gurobi,2,True,True,0.0,347.0,347,9.240700001100777e-05,0.003719705999174039,13,108,0.0,"[-0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, 1.0]"
1000000,50,GCD-floor,True,highs,kOptimal,True,True,0.0,347.0,347,9.240700001100777e-05,0.0018992960003743065,13,108,0.0,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
1000000,50,GCD-floor,True,gurobi,2,True,True,0.0,347.0,347,9.240700001100777e-05,0.0012406519999785814,13,108,0.0,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, 1.0, 1.0, 0.0, -0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 1.0, 0.0, 0.0, 1.0]"
1000000,50,Dyadic-GM,False,highs,kOptimal,False,False,0.0,396.0,347,0.09991997399993124,0.02131394200023351,13,108,2.384185791015625e-07,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, -0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, -0.0, 1.0, 1.0, -0.0, 1.0, -0.0, -0.0, 1.0, 0.0, 0.0, 1.0, -0.0, 0.0, 1.0]"
1000000,50,Dyadic-GM,False,gurobi,2,False,False,0.0,426.0,347,0.09991997399993124,0.0015483269999094773,13,108,7.152557373046875e-07,"[0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
