class,instance,status,records,error
simple,caso01a.txt,complete,5,
simple,caso01b.txt,complete,5,
simple,caso01c.txt,complete,5,
simple,caso01d.txt,complete,5,
simple,caso01e.txt,complete,5,
simple,caso01f.txt,complete,5,
simple,caso02a.txt,complete,5,
simple,caso02b.txt,complete,5,
simple,caso02c.txt,complete,5,
simple,caso02d.txt,complete,5,
simple,caso02e.txt,complete,5,
simple,caso02f.txt,complete,5,
simple,caso03a.txt,complete,5,
simple,caso03b.txt,complete,5,
simple,caso03c.txt,complete,5,
simple,caso03d.txt,complete,5,
simple,caso03e.txt,complete,5,
simple,caso03f.txt,complete,5,
simple,caso04a.txt,complete,5,
simple,caso04b.txt,complete,5,
simple,caso04c.txt,complete,5,
simple,caso04d.txt,complete,5,
simple,caso04e.txt,complete,5,
simple,caso04f.txt,complete,5,
simple,caso05a.txt,complete,5,
simple,caso05b.txt,complete,5,
simple,caso05c.txt,complete,5,
simple,caso05d.txt,complete,5,
simple,caso05e.txt,complete,5,
simple,caso05f.txt,complete,5,
simple,caso09a.txt,complete,5,
simple,caso09b.txt,complete,5,
simple,caso09c.txt,complete,5,
simple,caso09d.txt,complete,5,
simple,caso09e.txt,complete,5,
simple,caso09f.txt,complete,5,
simple,caso10a.txt,complete,5,
simple,caso10b.txt,complete,5,
simple,caso10c.txt,complete,5,
simple,caso10d.txt,complete,5,
simple,caso10e.txt,complete,5,
simple,caso10f.txt,complete,5,
simple,caso11a.txt,complete,5,
simple,caso11b.txt,complete,5,
simple,caso11c.txt,complete,5,
simple,caso11d.txt,complete,5,
simple,caso11e.txt,complete,5,
simple,caso11f.txt,complete,5,
simple,caso12a.txt,complete,5,
simple,caso12b.txt,complete,5,
simple,caso12c.txt,complete,5,
simple,caso12d.txt,complete,5,
simple,caso12e.txt,complete,5,
simple,caso12f.txt,complete,5,
simple,caso14a.txt,complete,5,
simple,caso14b.txt,complete,5,
simple,caso14c.txt,complete,5,
simple,caso14d.txt,complete,5,
simple,caso14e.txt,complete,5,
simple,caso14f.txt,complete,5,
simple,caso19a.txt,complete,5,
simple,caso19b.txt,complete,5,
simple,caso19c.txt,complete,5,
simple,caso19d.txt,complete,5,
simple,caso19e.txt,complete,5,
simple,caso19f.txt,complete,5,
simple,caso20a.txt,complete,5,
simple,caso20b.txt,complete,5,
simple,caso20c.txt,complete,5,
simple,caso20d.txt,complete,5,
simple,caso20e.txt,complete,5,
simple,caso20f.txt,complete,5,
simple,caso21a.txt,complete,5,
simple,caso21b.txt,complete,5,
simple,caso21c.txt,complete,5,
simple,caso21d.txt,complete,5,
simple,caso21e.txt,complete,5,
simple,caso21f.txt,complete,5,
simple,caso22a.txt,complete,5,
simple,caso22b.txt,complete,5,
simple,caso22c.txt,complete,5,
simple,caso22d.txt,complete,5,
simple,caso22e.txt,complete,5,
simple,caso22f.txt,complete,5,
simple,caso23a.txt,complete,5,
simple,caso23b.txt,complete,5,
simple,caso23c.txt,complete,5,
simple,caso23d.txt,complete,5,
simple,caso23e.txt,complete,5,
simple,caso23f.txt,complete,5,
simple,caso24a.txt,complete,5,
simple,caso24b.txt,complete,5,
simple,caso24c.txt,complete,5,
simple,caso24d.txt,complete,5,
simple,caso24e.txt,complete,5,
simple,caso24f.txt,complete,5,
simple,caso25a.txt,complete,5,
simple,caso25b.txt,complete,5,
simple,caso25c.txt,complete,5,
simple,caso25d.txt,complete,5,
simple,caso25e.txt,complete,5,
simple,caso25f.txt,complete,5,
simple,caso26a.txt,complete,5,
simple,caso26b.txt,complete,5,
simple,caso26c.txt,complete,5,
simple,caso26d.txt,complete,5,
simple,caso26e.txt,complete,5,
simple,caso26f.txt,complete,5,
simple,caso27a.txt,complete,5,
simple,caso27b.txt,complete,5,
simple,caso27c.txt,complete,5,
simple,caso27d.txt,complete,5,
simple,caso27e.txt,complete,5,
simple,caso27f.txt,complete,5,
simple,caso28a.txt,complete,5,
simple,caso28b.txt,complete,5,
simple,caso28c.txt,complete,5,
