class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
simple,caso01a.txt,Base,14400,8636,5764,0.0,0.0,1.0,1.0,35590,1.4671973289368918e+19,1.4671973289368918e+19,1.4671973289368918e+19,1.0,8.037080780984087e-13,f369232120ba1c1933a9b031060e1127c67b1b589bd06e19af43d332ef5816b7,9efe71be151243fd8e3ecc55e21b00084f3595b53638a0da29ab6a20a6c05aff
simple,caso01a.txt,Flat-GM,14400,8636,5764,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,1153905111184.299,1153905111184.299,1153905111184.299,1.0,2.0475568943772843e-12,fbf6a6981b4bd3ce4dd372e53cb13b46acb688201f21165d691bf796686eee9f,85d9e81bcc51f48334dc95e2807ce9f891a452a0db67db325892b05f4439fa4c
simple,caso01a.txt,Flat-L2,14400,8636,5764,1.7671712174576017e-16,0.0,7.070396063946573e-08,1.0,35590,1.8268170445945412e+19,1.8268170445945412e+19,1.8268170445945412e+19,1.0,1.928464886714043e-14,d00a903bcf6ad0d8f142ebb1613bfbe5555bbd8b0f94cddf2e66a27fe8a08df5,2d2147f2ecabd9f52c1b7f7373f922b661c3f62ddb30695be223301186030e91
simple,caso01a.txt,Role-Hybrid,14400,8636,5764,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,1153905111184.299,1153905111184.299,1153905111184.299,1.0,2.0475568943772843e-12,fbf6a6981b4bd3ce4dd372e53cb13b46acb688201f21165d691bf796686eee9f,85d9e81bcc51f48334dc95e2807ce9f891a452a0db67db325892b05f4439fa4c
simple,caso01a.txt,SA-Mat,14400,8636,5764,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,1153905111184.299,1153905111184.299,1153905111184.299,1.0,2.0475568943772843e-12,fbf6a6981b4bd3ce4dd372e53cb13b46acb688201f21165d691bf796686eee9f,85d9e81bcc51f48334dc95e2807ce9f891a452a0db67db325892b05f4439fa4c
simple,caso01b.txt,Base,14400,9369,5031,0.0,0.0,1.0,1.0,35590,8.974101260142413e+18,8.974101260142413e+18,8.974101260142413e+18,1.0,6.021991745038114e-11,aeeef01f7a338779d72bdad8ac1fd4b4de7502d65a6280ba5e0941c139b83315,2f669c8778579f563d4a5926915982deef92e2f08f35b4df9588cc412cdcf535
simple,caso01b.txt,Flat-GM,14400,9369,5031,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,22101716837739.91,22101716837739.91,22101716837739.91,1.0,1.1690427276674674e-12,1eb58a1dd86a7642d1a7fb32076c34026d8f522fb3c1d4ecfc6373cb742e32f9,f3a418251e504aa87308be0693b25d45414faa4ccc5a75c57b3ef19a08c68b0e
simple,caso01b.txt,Flat-L2,14400,9369,5031,1.7671712174576017e-16,0.0,7.070396063946573e-08,1.0,35590,1.3701127836344717e+19,1.3701127836344717e+19,1.3701127836344717e+19,1.0,1.2521082415227356e-13,7babf4c7a74521aee905b61c7d32de8318e19437aa79e2931ba8c7b9f951ce22,3241b602afbf8fa26eac662b9dec6f100a5cb46a32f9d77a8a4931e967899e7a
simple,caso01b.txt,Role-Hybrid,14400,9369,5031,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,22101716837739.91,22101716837739.91,22101716837739.91,1.0,1.1690427276674674e-12,1eb58a1dd86a7642d1a7fb32076c34026d8f522fb3c1d4ecfc6373cb742e32f9,f3a418251e504aa87308be0693b25d45414faa4ccc5a75c57b3ef19a08c68b0e
simple,caso01b.txt,SA-Mat,14400,9369,5031,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,22101716837739.91,22101716837739.91,22101716837739.91,1.0,1.1690427276674674e-12,1eb58a1dd86a7642d1a7fb32076c34026d8f522fb3c1d4ecfc6373cb742e32f9,f3a418251e504aa87308be0693b25d45414faa4ccc5a75c57b3ef19a08c68b0e
simple,caso01c.txt,Base,14400,8877,5523,0.0,0.0,1.0,1.0,35590,8.607747030528587e+18,8.607747030528587e+18,8.607747030528587e+18,1.0,2.334499737610625e-09,02ba3daf9179a564236336377887e1e36ebf842dbb39d03502d4058cf9abad55,6bc5c2381a0568ae320f2fc29b226fac204d61890c02167bfc8fdc8e42a242ee
simple,caso01c.txt,Flat-GM,14400,8877,5523,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,864107395133.172,864107395133.172,864107395133.172,1.0,6.982004851339131e-13,f99b35bf52300b5933626883805099ddd7f6c509c235c9db56e9b102585f4c61,650fe809be1ece506e2350763fbd6f92a35d513af4df7561ddffb43edbcb5546
simple,caso01c.txt,Flat-L2,14400,8877,5523,1.7671712174576017e-16,0.0,7.070396063946573e-08,1.0,35590,1.470742630119711e+19,1.470742630119711e+19,1.470742630119711e+19,1.0,5.167393515001378e-13,a7875f1603dba910060d3ec62823ac40b73ab000b9105b9d3feb3233b5b03fd5,00408198ed8b3dd996e5236102a3394a3571cc1ec2ea7921e69723d93643036a
simple,caso01c.txt,Role-Hybrid,14400,8877,5523,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,864107395133.172,864107395133.172,864107395133.172,1.0,6.982004851339131e-13,f99b35bf52300b5933626883805099ddd7f6c509c235c9db56e9b102585f4c61,650fe809be1ece506e2350763fbd6f92a35d513af4df7561ddffb43edbcb5546
simple,caso01c.txt,SA-Mat,14400,8877,5523,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,864107395133.172,864107395133.172,864107395133.172,1.0,6.982004851339131e-13,f99b35bf52300b5933626883805099ddd7f6c509c235c9db56e9b102585f4c61,650fe809be1ece506e2350763fbd6f92a35d513af4df7561ddffb43edbcb5546
simple,caso01d.txt,Base,14400,8899,5501,0.0,0.0,1.0,1.0,35590,8.607747030528588e+18,8.607747030528588e+18,8.607747030528588e+18,1.0,8.037080780984087e-13,8ea72a41a145b06d751c8f4d5eb8a024cf81345ac027215f1b6c24e2e7b755ca,b26ed1777b1d8fa7cbb7a63443233770a86da3046b9b4d048cd90886485a729d
simple,caso01d.txt,Flat-GM,14400,8899,5501,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,2015106369979.07,2015106369979.07,2015106369979.07,1.0,3.942363748762164e-13,6a748d2927198505a316a809fcc010029b98bfc2296fed6ea24b66cd10c4d0ba,a17b0b0c6423f44c1a0c0843a4c17beadfe79bddea347dcc1a1e704b2da336a2
simple,caso01d.txt,Flat-L2,14400,8899,5501,1.7671712174576017e-16,0.0,7.070396063946573e-08,1.0,35590,1.3701127836344717e+19,1.3701127836344717e+19,1.3701127836344717e+19,1.0,7.879032906495474e-14,d61908815ef327621bc5b281de7b0ee9f6795c719c16bec70b51dfa296b655bf,abb322d6c7497bc775ce87dd4b69c8c4402010e14ac861aeb20e32364acc5b98
simple,caso01d.txt,Role-Hybrid,14400,8899,5501,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,2015106369979.07,2015106369979.07,2015106369979.07,1.0,3.942363748762164e-13,6a748d2927198505a316a809fcc010029b98bfc2296fed6ea24b66cd10c4d0ba,a17b0b0c6423f44c1a0c0843a4c17beadfe79bddea347dcc1a1e704b2da336a2
