row_name,factor,coefficient_rel_error,rhs_rel_error
a1_salto_grande_tangente_1(1),1.0,0.0,0.0
a1_salto_grande_tangente_2(1),1.0,0.0,0.0
a1_salto_grande_tangente_3(1),1.0,0.0,0.0
a1_salto_grande_tangente_4(1),1.0,0.0,0.0
a1_salto_grande_tangente_1(2),1.0,0.0,0.0
a1_salto_grande_tangente_2(2),1.0,0.0,0.0
a1_salto_grande_tangente_3(2),1.0,0.0,0.0
a1_salto_grande_tangente_4(2),1.0,0.0,0.0
a1_salto_grande_tangente_1(3),1.0,0.0,0.0
a1_salto_grande_tangente_2(3),1.0,0.0,0.0
a1_salto_grande_tangente_3(3),1.0,0.0,0.0
a1_salto_grande_tangente_4(3),1.0,0.0,0.0
a1_salto_grande_tangente_1(4),1.0,0.0,0.0
a1_salto_grande_tangente_2(4),1.0,0.0,0.0
a1_salto_grande_tangente_3(4),1.0,0.0,0.0
a1_salto_grande_tangente_4(4),1.0,0.0,0.0
a1_salto_grande_tangente_1(5),1.0,0.0,0.0
a1_salto_grande_tangente_2(5),1.0,0.0,0.0
a1_salto_grande_tangente_3(5),1.0,0.0,0.0
a1_salto_grande_tangente_4(5),1.0,0.0,0.0
a1_salto_grande_tangente_1(6),1.0,0.0,0.0
a1_salto_grande_tangente_2(6),1.0,0.0,0.0
a1_salto_grande_tangente_3(6),1.0,0.0,0.0
a1_salto_grande_tangente_4(6),1.0,0.0,0.0
a1_salto_grande_tangente_1(7),1.0,0.0,0.0
a1_salto_grande_tangente_2(7),1.0,0.0,0.0
a1_salto_grande_tangente_3(7),1.0,0.0,0.0
a1_salto_grande_tangente_4(7),1.0,0.0,0.0
a1_salto_grande_tangente_1(8),1.0,0.0,0.0
a1_salto_grande_tangente_2(8),1.0,0.0,0.0
a1_salto_grande_tangente_3(8),1.0,0.0,0.0
a1_salto_grande_tangente_4(8),1.0,0.0,0.0
a1_salto_grande_tangente_1(9),1.0,0.0,0.0
a1_salto_grande_tangente_2(9),1.0,0.0,0.0
a1_salto_grande_tangente_3(9),1.0,0.0,0.0
a1_salto_grande_tangente_4(9),1.0,0.0,0.0
a1_salto_grande_tangente_1(10),1.0,0.0,0.0
a1_salto_grande_tangente_2(10),1.0,0.0,0.0
a1_salto_grande_tangente_3(10),1.0,0.0,0.0
a1_salto_grande_tangente_4(10),1.0,0.0,0.0
a1_salto_grande_tangente_1(11),1.0,0.0,0.0
a1_salto_grande_tangente_2(11),1.0,0.0,0.0
a1_salto_grande_tangente_3(11),1.0,0.0,0.0
a1_salto_grande_tangente_4(11),1.0,0.0,0.0
a1_salto_grande_tangente_1(12),1.0,0.0,0.0
a1_salto_grande_tangente_2(12),1.0,0.0,0.0
a1_salto_grande_tangente_3(12),1.0,0.0,0.0
a1_salto_grande_tangente_4(12),1.0,0.0,0.0
a1_salto_grande_tangente_1(13),1.0,0.0,0.0
a1_salto_grande_tangente_2(13),1.0,0.0,0.0
a1_salto_grande_tangente_3(13),1.0,0.0,0.0
a1_salto_grande_tangente_4(13),1.0,0.0,0.0
a1_salto_grande_tangente_1(14),1.0,0.0,0.0
a1_salto_grande_tangente_2(14),1.0,0.0,0.0
a1_salto_grande_tangente_3(14),1.0,0.0,0.0
a1_salto_grande_tangente_4(14),1.0,0.0,0.0
a1_salto_grande_tangente_1(15),1.0,0.0,0.0
a1_salto_grande_tangente_2(15),1.0,0.0,0.0
a1_salto_grande_tangente_3(15),1.0,0.0,0.0
a1_salto_grande_tangente_4(15),1.0,0.0,0.0
a1_salto_grande_tangente_1(16),1.0,0.0,0.0
a1_salto_grande_tangente_2(16),1.0,0.0,0.0
a1_salto_grande_tangente_3(16),1.0,0.0,0.0
a1_salto_grande_tangente_4(16),1.0,0.0,0.0
a1_salto_grande_tangente_1(17),1.0,0.0,0.0
a1_salto_grande_tangente_2(17),1.0,0.0,0.0
a1_salto_grande_tangente_3(17),1.0,0.0,0.0
a1_salto_grande_tangente_4(17),1.0,0.0,0.0
a1_salto_grande_tangente_1(18),1.0,0.0,0.0
a1_salto_grande_tangente_2(18),1.0,0.0,0.0
a1_salto_grande_tangente_3(18),1.0,0.0,0.0
a1_salto_grande_tangente_4(18),1.0,0.0,0.0
a1_salto_grande_tangente_1(19),1.0,0.0,0.0
a1_salto_grande_tangente_2(19),1.0,0.0,0.0
a1_salto_grande_tangente_3(19),1.0,0.0,0.0
a1_salto_grande_tangente_4(19),1.0,0.0,0.0
a1_salto_grande_tangente_1(20),1.0,0.0,0.0
a1_salto_grande_tangente_2(20),1.0,0.0,0.0
a1_salto_grande_tangente_3(20),1.0,0.0,0.0
a1_salto_grande_tangente_4(20),1.0,0.0,0.0
a1_salto_grande_tangente_1(21),1.0,0.0,0.0
a1_salto_grande_tangente_2(21),1.0,0.0,0.0
a1_salto_grande_tangente_3(21),1.0,0.0,0.0
a1_salto_grande_tangente_4(21),1.0,0.0,0.0
a1_salto_grande_tangente_1(22),1.0,0.0,0.0
a1_salto_grande_tangente_2(22),1.0,0.0,0.0
a1_salto_grande_tangente_3(22),1.0,0.0,0.0
a1_salto_grande_tangente_4(22),1.0,0.0,0.0
a1_salto_grande_tangente_1(23),1.0,0.0,0.0
a1_salto_grande_tangente_2(23),1.0,0.0,0.0
a1_salto_grande_tangente_3(23),1.0,0.0,0.0
a1_salto_grande_tangente_4(23),1.0,0.0,0.0
a1_salto_grande_tangente_1(24),1.0,0.0,0.0
a1_salto_grande_tangente_2(24),1.0,0.0,0.0
a1_salto_grande_tangente_3(24),1.0,0.0,0.0
a1_salto_grande_tangente_4(24),1.0,0.0,0.0
a1_salto_grande_tangente_1(25),1.0,0.0,0.0
a1_salto_grande_tangente_2(25),1.0,0.0,0.0
a1_salto_grande_tangente_3(25),1.0,0.0,0.0
a1_salto_grande_tangente_4(25),1.0,0.0,0.0
a1_salto_grande_tangente_1(26),1.0,0.0,0.0
a1_salto_grande_tangente_2(26),1.0,0.0,0.0
a1_salto_grande_tangente_3(26),1.0,0.0,0.0
a1_salto_grande_tangente_4(26),1.0,0.0,0.0
a1_salto_grande_tangente_1(27),1.0,0.0,0.0
a1_salto_grande_tangente_2(27),1.0,0.0,0.0
a1_salto_grande_tangente_3(27),1.0,0.0,0.0
a1_salto_grande_tangente_4(27),1.0,0.0,0.0
