row_name,factor,coefficient_rel_error,rhs_rel_error
a1_bonete_tangente_1(1),1.0,0.0,0.0
a1_bonete_tangente_1(2),1.0,0.0,0.0
a1_bonete_tangente_1(3),1.0,0.0,0.0
a1_bonete_tangente_1(4),1.0,0.0,0.0
a1_bonete_tangente_1(5),1.0,0.0,0.0
a1_bonete_tangente_1(6),1.0,0.0,0.0
a1_bonete_tangente_1(7),1.0,0.0,0.0
a1_bonete_tangente_1(8),1.0,0.0,0.0
a1_bonete_tangente_1(9),1.0,0.0,0.0
a1_bonete_tangente_1(10),1.0,0.0,0.0
a1_bonete_tangente_1(11),1.0,0.0,0.0
a1_bonete_tangente_1(12),1.0,0.0,0.0
a1_bonete_tangente_1(13),1.0,0.0,0.0
a1_bonete_tangente_1(14),1.0,0.0,0.0
a1_bonete_tangente_1(15),1.0,0.0,0.0
a1_bonete_tangente_1(16),1.0,0.0,0.0
a1_bonete_tangente_1(17),1.0,0.0,0.0
a1_bonete_tangente_1(18),1.0,0.0,0.0
a1_bonete_tangente_1(19),1.0,0.0,0.0
a1_bonete_tangente_1(20),1.0,0.0,0.0
a1_bonete_tangente_1(21),1.0,0.0,0.0
a1_bonete_tangente_1(22),1.0,0.0,0.0
a1_bonete_tangente_1(23),1.0,0.0,0.0
a1_bonete_tangente_1(24),1.0,0.0,0.0
a1_bonete_tangente_1(25),1.0,0.0,0.0
a1_bonete_tangente_1(26),1.0,0.0,0.0
a1_bonete_tangente_1(27),1.0,0.0,0.0
a1_bonete_tangente_1(28),1.0,0.0,0.0
a1_bonete_tangente_1(29),1.0,0.0,0.0
a1_bonete_tangente_1(30),1.0,0.0,0.0
a1_bonete_tangente_1(31),1.0,0.0,0.0
a1_bonete_tangente_1(32),1.0,0.0,0.0
a1_bonete_tangente_1(33),1.0,0.0,0.0
a1_bonete_tangente_1(34),1.0,0.0,0.0
a1_bonete_tangente_1(35),1.0,0.0,0.0
a1_bonete_tangente_1(36),1.0,0.0,0.0
a1_bonete_tangente_1(37),1.0,0.0,0.0
a1_bonete_tangente_1(38),1.0,0.0,0.0
a1_bonete_tangente_1(39),1.0,0.0,0.0
a1_bonete_tangente_1(40),1.0,0.0,0.0
a1_bonete_tangente_1(41),1.0,0.0,0.0
a1_bonete_tangente_1(42),1.0,0.0,0.0
a1_bonete_tangente_1(43),1.0,0.0,0.0
a1_bonete_tangente_1(44),1.0,0.0,0.0
a1_bonete_tangente_1(45),1.0,0.0,0.0
a1_bonete_tangente_1(46),1.0,0.0,0.0
a1_bonete_tangente_1(47),1.0,0.0,0.0
a1_bonete_tangente_1(48),1.0,0.0,0.0
a1_bonete_tangente_1(49),1.0,0.0,0.0
a1_bonete_tangente_1(50),1.0,0.0,0.0
a1_bonete_tangente_1(51),1.0,0.0,0.0
a1_bonete_tangente_1(52),1.0,0.0,0.0
a1_bonete_tangente_1(53),1.0,0.0,0.0
a1_bonete_tangente_1(54),1.0,0.0,0.0
a1_bonete_tangente_1(55),1.0,0.0,0.0
a1_bonete_tangente_1(56),1.0,0.0,0.0
a1_bonete_tangente_1(57),1.0,0.0,0.0
a1_bonete_tangente_1(58),1.0,0.0,0.0
a1_bonete_tangente_1(59),1.0,0.0,0.0
a1_bonete_tangente_1(60),1.0,0.0,0.0
a1_bonete_tangente_1(61),1.0,0.0,0.0
a1_bonete_tangente_1(62),1.0,0.0,0.0
a1_bonete_tangente_1(63),1.0,0.0,0.0
a1_bonete_tangente_1(64),1.0,0.0,0.0
a1_bonete_tangente_1(65),1.0,0.0,0.0
a1_bonete_tangente_1(66),1.0,0.0,0.0
a1_bonete_tangente_1(67),1.0,0.0,0.0
a1_bonete_tangente_1(68),1.0,0.0,0.0
a1_bonete_tangente_1(69),1.0,0.0,0.0
a1_bonete_tangente_1(70),1.0,0.0,0.0
a1_bonete_tangente_1(71),1.0,0.0,0.0
a1_bonete_tangente_1(72),1.0,0.0,0.0
a1_bonete_tangente_1(73),1.0,0.0,0.0
a1_bonete_tangente_1(74),1.0,0.0,0.0
a1_bonete_tangente_1(75),1.0,0.0,0.0
a1_bonete_tangente_1(76),1.0,0.0,0.0
a1_bonete_tangente_1(77),1.0,0.0,0.0
a1_bonete_tangente_1(78),1.0,0.0,0.0
a1_bonete_tangente_1(79),1.0,0.0,0.0
a1_bonete_tangente_1(80),1.0,0.0,0.0
a1_bonete_tangente_1(81),1.0,0.0,0.0
a1_bonete_tangente_1(82),1.0,0.0,0.0
a1_bonete_tangente_1(83),1.0,0.0,0.0
a1_bonete_tangente_1(84),1.0,0.0,0.0
a1_bonete_tangente_1(85),1.0,0.0,0.0
a1_bonete_tangente_1(86),1.0,0.0,0.0
a1_bonete_tangente_1(87),1.0,0.0,0.0
a1_bonete_tangente_1(88),1.0,0.0,0.0
a1_bonete_tangente_1(89),1.0,0.0,0.0
a1_bonete_tangente_1(90),1.0,0.0,0.0
a1_bonete_tangente_1(91),1.0,0.0,0.0
a1_bonete_tangente_1(92),1.0,0.0,0.0
a1_bonete_tangente_1(93),1.0,0.0,0.0
a1_bonete_tangente_1(94),1.0,0.0,0.0
a1_bonete_tangente_1(95),1.0,0.0,0.0
a1_bonete_tangente_1(96),1.0,0.0,0.0
a1_bonete_tangente_1(97),1.0,0.0,0.0
a1_bonete_tangente_1(98),1.0,0.0,0.0
a1_bonete_tangente_1(99),1.0,0.0,0.0
a1_bonete_tangente_1(100),1.0,0.0,0.0
a1_bonete_tangente_1(101),1.0,0.0,0.0
a1_bonete_tangente_1(102),1.0,0.0,0.0
a1_bonete_tangente_1(103),1.0,0.0,0.0
a1_bonete_tangente_1(104),1.0,0.0,0.0
a1_bonete_tangente_1(105),1.0,0.0,0.0
