class,instance,variant,n,kappa1_estimate_seed0,kappa1_double_all_columns,kappa1_certified_lower,kappa1_upper_bound,max_residual_bound,max_top_column_relative_gap
simple,caso32e.txt,Base,14400,9.251235234952672e+19,9.251235234952706e+19,9.251204464003218e+19,9.252582272019925e+19,0.00014558498152536268,3.326144962324272e-06
simple,caso32e.txt,Flat-GM,14400,222516319740930.8,222516319740931.88,222516318561233.2,222516382656935.03,2.827425370064118e-07,5.301625855477662e-09
simple,caso32e.txt,Flat-L2,14400,9.251205397231603e+19,9.25120539723164e+19,9.251175756151744e+19,9.252437077907125e+19,0.00013311958968521996,3.2040235414518733e-06
simple,caso05f.txt,Base,14400,9.972453531137395e+18,9.972453531137395e+18,9.972453432094665e+18,9.972577591428983e+18,1.2440137829605742e-05,9.931629411442856e-09
simple,caso05f.txt,Flat-GM,14400,1.676712708989365e+16,1.6767127089893432e+16,1.67671255660779e+16,1.6767372740216656e+16,1.4650490561624676e-05,9.088113278614238e-08
simple,caso05f.txt,Flat-L2,14400,2.729835705723487e+21,2.72983570572347e+21,2.729637550292586e+21,2.7397763883002086e+21,0.003628282441223996,7.258877538450324e-05
simple,caso27f.txt,Base,14400,8.66108233267771e+18,8.66108233267771e+18,8.661082323790742e+18,8.661180896687013e+18,1.1379968327911636e-05,1.0260788194365642e-09
simple,caso27f.txt,Flat-GM,14400,932385255891.264,932385255891.2723,932385255875.6945,932385256683.158,8.441139338803086e-10,1.670568391382889e-11
simple,caso27f.txt,Flat-L2,14400,1.4117569866059416e+19,1.4117569866059416e+19,1.4117567591969507e+19,1.4117830327602135e+19,1.844911458064018e-05,1.6108224747025063e-07
sgtm,instance067.txt,Base,10080,1.1798831437606605e+21,1.1798831437606713e+21,1.17988308731196e+21,1.1802056223607102e+21,0.00027323933128967185,4.784262700366174e-08
sgtm,instance067.txt,Flat-GM,10080,7370750773362786.0,7370750773362536.0,7370750763611338.0,7370771449397599.0,2.8051343015719783e-06,1.3229568425067226e-09
sgtm,instance067.txt,Flat-L2,10080,2.1952001990338625e+22,2.195200199033849e+22,2.1951975410800517e+22,2.204147910564116e+22,0.004059487785768721,1.2108024566651597e-06
sgtm,instance028.txt,Base,10080,395163941315.58215,395163941315.5935,395163941315.5475,395163988381.4483,1.1910037688817936e-07,1.1453160503864161e-13
sgtm,instance028.txt,Flat-GM,10080,4806052523.841532,4806052523.841349,4806052523.840453,4806052529.306096,1.1328168003738644e-09,1.8452170700650103e-13
sgtm,instance028.txt,Flat-L2,10080,5182614001.8486,5182614001.848505,5182614001.848408,5182621954.286356,1.5344387369630424e-06,1.6862988089877468e-14
sgtm,instance074.txt,Base,10080,3.97294579363703e+20,3.97294579363703e+20,3.9729457936370224e+20,3.9731944796706465e+20,6.259094993963362e-05,1.3532834188858374e-16
sgtm,instance074.txt,Flat-GM,10080,904451174703.6542,904451174703.666,904451174703.5629,904451175184.3622,5.272398991867122e-10,1.1235070816508435e-13
sgtm,instance074.txt,Flat-L2,10080,6.0024445367327e+20,6.0024445367327e+20,6.00244151970879e+20,6.003012207206599e+20,9.45642668822575e-05,5.026325326149927e-07
full,instance014.txt,Base,23763,1.154879618719341e+22,1.154879618719344e+22,1.1548790180634941e+22,1.161827787242785e+22,0.00598037729113561,5.231043723494618e-07
full,instance014.txt,Flat-GM,23763,3.5277343003782524e+16,3.5277343003782588e+16,3.527734275432366e+16,3.5278053466931816e+16,2.0138948233014474e-05,7.0713619837098356e-09
full,instance014.txt,Flat-L2,23763,1.1547611020383264e+22,1.1547611020383293e+22,1.154761101874745e+22,1.1603029386764852e+22,0.004776198047101767,2.417615588293196e-07
full,instance046.txt,Base,23763,4.683595891299148e+20,4.683595891299148e+20,4.683595891299139e+20,4.6839857490417156e+20,8.323204411252295e-05,2.0353529852364327e-16
full,instance046.txt,Flat-GM,23763,283163190240317.3,283163190240320.3,283163189742231.6,283163220799690.5,1.079141198140235e-07,1.9132156021044467e-09
full,instance046.txt,Flat-L2,23763,6.24802850623024e+20,1.4920683381545016e+21,1.4920571737318301e+21,1.4924672673412185e+21,0.0002672950922202897,7.482514294572674e-06
