class,instance,status,records,error
simple,caso01a.txt,complete,6,
simple,caso01b.txt,complete,6,
simple,caso01c.txt,complete,6,
simple,caso01d.txt,complete,6,
simple,caso01e.txt,complete,6,
full,instance001.txt,complete,6,
full,instance002.txt,complete,6,
full,instance003.txt,complete,6,
full,instance004.txt,complete,6,
full,instance005.txt,complete,6,
sgtm,instance001.txt,complete,6,
sgtm,instance002.txt,complete,6,
sgtm,instance003.txt,complete,6,
sgtm,instance004.txt,complete,6,
sgtm,instance005.txt,complete,6,
