class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
simple,caso01a.txt,Base,14400,8636,5764,0.0,0.0,1.0,1.0,35590,1.4671973289368918e+19,1.4671973289368918e+19,1.4671973289368918e+19,1.0,8.037080780984087e-13,f369232120ba1c1933a9b031060e1127c67b1b589bd06e19af43d332ef5816b7,9efe71be151243fd8e3ecc55e21b00084f3595b53638a0da29ab6a20a6c05aff
simple,caso01a.txt,SA-Aug,14400,8636,5764,1.9437419795566738e-16,2.6377527546595754e-16,1.3678024156933087e-05,20.92859070706935,35590,1788505042732.6729,1788505042732.6729,1788505042732.6729,1.0,6.263680897555079e-13,b1e20fb67f7fa425a8f4d7dab30a581a375da9479720ad041511bca103b37298,e6bf164d26183881f25d2396f4b9d676d3f73040491ae1c53088616c644fd077
simple,caso01a.txt,Flat-Aug,14400,8636,5764,1.9437419795566738e-16,2.6377527546595754e-16,1.3678024156933087e-05,20.92859070706935,35590,5871999286153.355,5871999286153.355,5871999286153.355,1.0,3.4051542531417543e-12,1b74a23015b77c5544bbb386caffb47a0ad0e23bea832a7c457e803f626b2ced,4aee00060ff325b00c5dcb89609fda1632d2864864208f38c84a5b30b0736ed8
simple,caso01a.txt,SA-Mat,14400,8636,5764,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,1153905111184.299,1153905111184.299,1153905111184.299,1.0,2.0475568943772843e-12,fbf6a6981b4bd3ce4dd372e53cb13b46acb688201f21165d691bf796686eee9f,85d9e81bcc51f48334dc95e2807ce9f891a452a0db67db325892b05f4439fa4c
simple,caso01a.txt,Flat-Mat,14400,8636,5764,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,1153905111184.299,1153905111184.299,1153905111184.299,1.0,2.0475568943772843e-12,fbf6a6981b4bd3ce4dd372e53cb13b46acb688201f21165d691bf796686eee9f,85d9e81bcc51f48334dc95e2807ce9f891a452a0db67db325892b05f4439fa4c
simple,caso01a.txt,Ruiz,14400,8636,5764,4.166436134644221e-16,4.407312829573501e-16,1.4178141354372044e-05,18688.544968189097,35590,5691255603224.089,5691255603224.089,5691255603224.089,1.0,4.2374617900181875e-11,1886c0d8257e5a08ed40d93cbaf683d3d546e9b5b2e93fbe72bc258fb49073cd,1f9a2b48c6a64284f5917538b21fdbc66d9d22479ad5794e675db2be662b2b40
simple,caso01b.txt,Base,14400,9369,5031,0.0,0.0,1.0,1.0,35590,8.974101260142413e+18,8.974101260142413e+18,8.974101260142413e+18,1.0,6.021991745038114e-11,aeeef01f7a338779d72bdad8ac1fd4b4de7502d65a6280ba5e0941c139b83315,2f669c8778579f563d4a5926915982deef92e2f08f35b4df9588cc412cdcf535
simple,caso01b.txt,SA-Aug,14400,9369,5031,1.9437419795566738e-16,2.6377527546595754e-16,1.3678024156933087e-05,20.92859070706935,35590,22101669178023.645,22101669178023.645,22101669178023.645,1.0,2.209451755089355e-12,3279b2eb941d78b632881e90ad84265427b5d527d3bb46b9a56b5381703ff500,31c380eee451e1afe51839b3bcc419eb9a34fcbf8f1794316c4b44dbcca93f7e
simple,caso01b.txt,Flat-Aug,14400,9369,5031,1.9437419795566738e-16,2.6377527546595754e-16,1.3678024156933087e-05,20.92859070706935,35590,22101669177463.727,22101669177463.727,22101669177463.727,1.0,4.016893189484458e-12,2717c93b584d87cb6fbf25c8e4cd5da136c45211b3e9043e48665a2459fa32c4,36aac80afa18e1d514ae130010813c84d598afebd8afb9c03f0e7cc6d5ed38bf
simple,caso01b.txt,SA-Mat,14400,9369,5031,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,22101716837739.91,22101716837739.91,22101716837739.91,1.0,1.1690427276674674e-12,1eb58a1dd86a7642d1a7fb32076c34026d8f522fb3c1d4ecfc6373cb742e32f9,f3a418251e504aa87308be0693b25d45414faa4ccc5a75c57b3ef19a08c68b0e
simple,caso01b.txt,Flat-Mat,14400,9369,5031,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,22101716837739.91,22101716837739.91,22101716837739.91,1.0,1.1690427276674674e-12,1eb58a1dd86a7642d1a7fb32076c34026d8f522fb3c1d4ecfc6373cb742e32f9,f3a418251e504aa87308be0693b25d45414faa4ccc5a75c57b3ef19a08c68b0e
