class,variant,n,median_kappa_ratio_base,min_ratio,max_ratio,improved
simple,Base,5,1.0,1.0,1.0,0
simple,SA-Aug,5,4.1424522128691295e-07,1.218994205795478e-07,2.4628281470575814e-06,5
simple,Flat-Aug,5,1.5489219090924196e-06,4.002187824597605e-07,3.3787531309616214e-06,5
simple,SA-Mat,5,2.3410380937453336e-07,7.864689284981187e-08,2.4628334578641884e-06,5
simple,Flat-Mat,5,2.3410380937453336e-07,7.864689284981187e-08,2.4628334578641884e-06,5
simple,Ruiz,5,4.5441118522386246e-07,3.878998067252401e-07,6.819751006222653e-07,5
full,Base,5,1.0,1.0,1.0,0
full,SA-Aug,5,6.062353610497301e-07,3.265956613854771e-07,1.4666071554879213e-06,5
full,Flat-Aug,5,6.062353610497301e-07,3.2659566138547735e-07,1.4666071554879192e-06,5
full,SA-Mat,5,6.062586935688421e-07,3.265989272137017e-07,1.4666192063362118e-06,5
full,Flat-Mat,5,6.062586935688421e-07,3.265989272137017e-07,1.4666192063362118e-06,5
full,Ruiz,5,1.0972777858303482e-07,1.4021468985585322e-08,2.9847861300316653e-07,5
sgtm,Base,5,1.0,1.0,1.0,0
sgtm,SA-Aug,5,2.79990065239884e-08,9.760453269497104e-09,5.8823775067522736e-08,5
sgtm,Flat-Aug,5,2.79990065239884e-08,9.760453269497104e-09,5.8823775067522736e-08,5
sgtm,SA-Mat,5,4.873517483043005e-09,3.5135656011770616e-09,6.416790484657906e-09,5
sgtm,Flat-Mat,5,4.873517483043005e-09,3.5135656011770616e-09,6.416790484657906e-09,5
sgtm,Ruiz,5,7.194940107465026e-09,5.9339250781692566e-09,1.3823586249029466e-08,5
