row_name,factor,coefficient_rel_error,rhs_rel_error
a1_bonete_tangente_1(1),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(2),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(3),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(4),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(5),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(6),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(7),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(8),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(9),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(10),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(11),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(12),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(13),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(14),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(15),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(16),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(17),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(18),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(19),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(20),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(21),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(22),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(23),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(24),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(25),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(26),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(27),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(28),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(29),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(30),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(31),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(32),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(33),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(34),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(35),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(36),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(37),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(38),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(39),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(40),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(41),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(42),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(43),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(44),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(45),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(46),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(47),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(48),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(49),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(50),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(51),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(52),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(53),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(54),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(55),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(56),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(57),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(58),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(59),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(60),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(61),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(62),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(63),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(64),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(65),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(66),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(67),18688.544968189097,0.0,0.0
a1_bonete_tangente_1(68),18688.544968189097,0.0,0.0
