class,variant,n,median_kappa_ratio_base,min_ratio,max_ratio,improved
simple,Base,204,1.0,1.0,1.0,0
simple,SA-Aug,204,0.0015956078915399072,0.00012412560908548308,0.13916753144707755,204
simple,Flat-Aug,204,0.006781567189947076,0.0005409620399431973,0.13916753144233257,204
simple,SA-Mat,204,0.0011657448719049487,0.00011173879420517907,0.1391775481671303,204
simple,Flat-Mat,204,0.0011657448719049487,0.00011173879420517907,0.1391775481671303,204
simple,Ruiz,204,0.0031313910412683957,0.00011992173111378402,0.03680370741750622,204
full,Base,34,1.0,1.0,1.0,0
full,SA-Aug,34,0.0012818740390215903,9.712521738966191e-05,0.0028049129369552704,34
full,Flat-Aug,34,0.0017831737250145396,0.0001470894857354398,0.026309449271938377,34
full,SA-Mat,34,0.00036215435190153884,1.814812435587378e-05,0.002805083729070515,34
full,Flat-Mat,34,0.00036215435190153884,1.814812435587378e-05,0.002805083729070515,34
full,Ruiz,34,0.0007139856804837719,4.3930671794229445e-05,0.006463802050795,34
sgtm,Base,68,1.0,1.0,1.0,0
sgtm,SA-Aug,68,0.6345948167767493,0.2606291736613286,3.0661845011840643,58
sgtm,Flat-Aug,68,0.02473205135404751,0.0028151253484629338,0.0619278068456523,68
sgtm,SA-Mat,68,0.41188126352500676,0.1353698803106151,0.7319452053148299,68
sgtm,Flat-Mat,68,0.008823754722700479,0.0029006766637514982,0.015673053949469024,68
sgtm,Ruiz,68,1.7546608137294895,0.2652638477004986,10.380557018172945,6
