instancia,variante,seed,pattern,severity_S,coefficient_family,status,filas,cols,binarias,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preproc_s,tiempo_solver_s,wall_time_s,objetivo,gap,best_bound,max_original_row_violation,max_integrality_violation,is_feasible_original_scale
mixed_S3_seed20260909,Base,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+08,6.01201e+08,1.5062,1.5062,0,0,0.000296253,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260909,SA-Mat,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+08,40107.9,1.5062,0.214043,3.0962e-05,0,0.000209809,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260909,Flat-GM,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+08,17760.1,1.5062,0,1.4861e-05,0,0.000183718,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260909,Flat-L2,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+08,17148.1,1.5062,0,1.2693e-05,0,0.000176733,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260909,Role-Hybrid,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+08,31840.1,1.5062,0.269622,2.348e-05,0,0.000185309,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260909,SA-Mat-permB,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+08,40107.9,1.5062,0.214043,2.8528e-05,0,0.00019024,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260910,Base,20260910,mixed,3,block_heterogeneous,lp-export,43,38,8,1.53014e+09,1.53014e+09,1.04752,1.04752,0,0,0.000168475,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260910,SA-Mat,20260910,mixed,3,block_heterogeneous,lp-export,43,38,8,1.53014e+09,88994.7,1.04752,0.215542,2.2509e-05,0,0.00018414,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260910,Flat-GM,20260910,mixed,3,block_heterogeneous,lp-export,43,38,8,1.53014e+09,16031.5,1.04752,0,1.1875e-05,0,0.000162804,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260910,Flat-L2,20260910,mixed,3,block_heterogeneous,lp-export,43,38,8,1.53014e+09,23489.6,1.04752,0,2.0042e-05,0,0.000232206,NA,NA,NA,NA,NA,NA
