instancia,variante,seed,pattern,severity_S,coefficient_family,status,filas,cols,binarias,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preproc_s,tiempo_solver_s,wall_time_s,objetivo,gap,best_bound,max_original_row_violation,max_integrality_violation,is_feasible_original_scale
coupling_uniform_S6_seed20260909,Base,20260909,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,4.12337e+09,4.12337e+09,1.90155e-06,1.90155e-06,0,0,0.000295934,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260909,SA-Mat,20260909,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,4.12337e+09,48839.3,1.90155e-06,0.224811,2.6636e-05,0,0.000209455,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260909,Flat-GM,20260909,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,4.12337e+09,11216.8,1.90155e-06,0,1.5047e-05,0,0.000185857,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260909,Flat-L2,20260909,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,4.12337e+09,15332.7,1.90155e-06,0,1.3295e-05,0,0.000167961,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260909,Role-Hybrid,20260909,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,4.12337e+09,48839.3,1.90155e-06,0.224811,2.1727e-05,0,0.00017914,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260909,SA-Mat-permB,20260909,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,4.12337e+09,48839.3,1.90155e-06,0.224811,2.7078e-05,0,0.000182991,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260910,Base,20260910,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.88849e+08,3.88849e+08,2.2369e-05,2.2369e-05,0,0,0.000157531,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260910,SA-Mat,20260910,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.88849e+08,70828.4,2.2369e-05,0.208184,2.4309e-05,0,0.000181692,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260910,Flat-GM,20260910,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.88849e+08,12423,2.2369e-05,0,1.1429e-05,0,0.00016188,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260910,Flat-L2,20260910,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.88849e+08,20522.8,2.2369e-05,0,1.0692e-05,0,0.000164143,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260910,Role-Hybrid,20260910,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.88849e+08,70828.4,2.2369e-05,0.208184,2.08e-05,0,0.00018017,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260910,SA-Mat-permB,20260910,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.88849e+08,70828.4,2.2369e-05,0.208184,2.5633e-05,0,0.00018151,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260911,Base,20260911,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.9533e+07,1.9533e+07,371.029,371.029,0,0,0.000165587,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260911,SA-Mat,20260911,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.9533e+07,97747.6,371.029,0.218027,2.3482e-05,0,0.000187765,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260911,Flat-GM,20260911,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.9533e+07,19299.7,371.029,0,1.1823e-05,0,0.00016974,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260911,Flat-L2,20260911,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.9533e+07,28619.2,371.029,0,1.0814e-05,0,0.000172372,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260911,Role-Hybrid,20260911,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.9533e+07,97747.6,371.029,0.218027,2.0815e-05,0,0.000178921,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260911,SA-Mat-permB,20260911,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.9533e+07,97747.6,371.029,0.218027,2.6523e-05,0,0.000185384,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260912,Base,20260912,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,4.27558e+07,4.27558e+07,0.000200034,0.000200034,0,0,0.000163864,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260912,SA-Mat,20260912,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,4.27558e+07,47014.3,0.000200034,0.222215,2.1093e-05,0,0.000179483,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260912,Flat-GM,20260912,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,4.27558e+07,11841.3,0.000200034,0,1.1694e-05,0,0.000163509,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260912,Flat-L2,20260912,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,4.27558e+07,17526.7,0.000200034,0,1.0513e-05,0,0.000165141,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260912,Role-Hybrid,20260912,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,4.27558e+07,47014.3,0.000200034,0.222215,2.0117e-05,0,0.00017749,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260912,SA-Mat-permB,20260912,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,4.27558e+07,47014.3,0.000200034,0.222215,2.4847e-05,0,0.000181483,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260913,Base,20260913,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,6.42847e+09,6.42847e+09,171377,171377,0,0,0.000167728,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260913,SA-Mat,20260913,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,6.42847e+09,47575,171377,0.2111,2.2058e-05,0,0.000181126,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260913,Flat-GM,20260913,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,6.42847e+09,6985.61,171377,0,1.1849e-05,0,0.000164163,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260913,Flat-L2,20260913,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,6.42847e+09,14496.3,171377,0,1.0984e-05,0,0.000167031,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260913,Role-Hybrid,20260913,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,6.42847e+09,47575,171377,0.2111,2.0568e-05,0,0.000175897,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260913,SA-Mat-permB,20260913,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,6.42847e+09,47575,171377,0.2111,2.5141e-05,0,0.000182457,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260914,Base,20260914,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.09037e+06,3.09037e+06,0.00366359,0.00366359,0,0,0.000160041,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260914,SA-Mat,20260914,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.09037e+06,47552.5,0.00366359,0.22065,2.0624e-05,0,0.000178522,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260914,Flat-GM,20260914,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.09037e+06,5531.85,0.00366359,0,1.1437e-05,0,0.000163063,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260914,Flat-L2,20260914,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.09037e+06,13776.2,0.00366359,0,1.0824e-05,0,0.000164816,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260914,Role-Hybrid,20260914,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.09037e+06,47552.5,0.00366359,0.22065,2.002e-05,0,0.000173701,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260914,SA-Mat-permB,20260914,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.09037e+06,47552.5,0.00366359,0.22065,2.5211e-05,0,0.000185168,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260915,Base,20260915,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.24487e+08,1.24487e+08,9.01001e-05,9.01001e-05,0,0,0.000157877,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260915,SA-Mat,20260915,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.24487e+08,61588.8,9.01001e-05,0.194228,2.1447e-05,0,0.000178504,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260915,Flat-GM,20260915,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.24487e+08,8246.99,9.01001e-05,0,1.1135e-05,0,0.000163013,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260915,Flat-L2,20260915,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.24487e+08,20238.7,9.01001e-05,0,1.0828e-05,0,0.000160421,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260915,Role-Hybrid,20260915,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.24487e+08,61588.8,9.01001e-05,0.194228,2.0101e-05,0,0.000177274,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260915,SA-Mat-permB,20260915,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.24487e+08,61588.8,9.01001e-05,0.194228,2.426e-05,0,0.000182687,NA,NA,NA,NA,NA,NA
