instancia,variante,seed,pattern,severity_S,coefficient_family,status,filas,cols,binarias,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preproc_s,tiempo_solver_s,wall_time_s,objetivo,gap,best_bound,max_original_row_violation,max_integrality_violation,is_feasible_original_scale
coupling_S6_seed20260909,Base,20260909,coupling,6,block_heterogeneous,lp-export,43,38,8,8.04073e+14,8.04073e+14,1272.7,1272.7,0,0,0.000285084,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260909,SA-Mat,20260909,coupling,6,block_heterogeneous,lp-export,43,38,8,8.04073e+14,2.89621e+08,1272.7,0.220481,2.8182e-05,0,0.00021521,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260909,Flat-GM,20260909,coupling,6,block_heterogeneous,lp-export,43,38,8,8.04073e+14,9.08183e+07,1272.7,0,1.542e-05,0,0.000181796,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260909,Flat-L2,20260909,coupling,6,block_heterogeneous,lp-export,43,38,8,8.04073e+14,1.56139e+08,1272.7,0,1.3014e-05,0,0.000171617,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260909,Role-Hybrid,20260909,coupling,6,block_heterogeneous,lp-export,43,38,8,8.04073e+14,2.89621e+08,1272.7,0.220481,2.3213e-05,0,0.000182599,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260909,SA-Mat-permB,20260909,coupling,6,block_heterogeneous,lp-export,43,38,8,8.04073e+14,2.89621e+08,1272.7,0.220481,2.9033e-05,0,0.000190383,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260910,Base,20260910,coupling,6,block_heterogeneous,lp-export,43,38,8,2.82065e+11,2.82065e+11,4641.93,4641.93,0,0,0.000175993,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260910,SA-Mat,20260910,coupling,6,block_heterogeneous,lp-export,43,38,8,2.82065e+11,2.84485e+08,4641.93,0.227582,2.2667e-05,0,0.000182751,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260910,Flat-GM,20260910,coupling,6,block_heterogeneous,lp-export,43,38,8,2.82065e+11,8.68527e+07,4641.93,0,1.2844e-05,0,0.000165966,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260910,Flat-L2,20260910,coupling,6,block_heterogeneous,lp-export,43,38,8,2.82065e+11,1.41389e+08,4641.93,0,1.2125e-05,0,0.00017084,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260910,Role-Hybrid,20260910,coupling,6,block_heterogeneous,lp-export,43,38,8,2.82065e+11,2.84485e+08,4641.93,0.227582,2.1956e-05,0,0.00018008,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260910,SA-Mat-permB,20260910,coupling,6,block_heterogeneous,lp-export,43,38,8,2.82065e+11,2.84485e+08,4641.93,0.227582,2.6316e-05,0,0.000186421,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260911,Base,20260911,coupling,6,block_heterogeneous,lp-export,43,38,8,6.15477e+10,6.15477e+10,1516.38,1516.38,0,0,0.000171658,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260911,SA-Mat,20260911,coupling,6,block_heterogeneous,lp-export,43,38,8,6.15477e+10,5.16514e+08,1516.38,0.216571,2.1218e-05,0,0.000180725,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260911,Flat-GM,20260911,coupling,6,block_heterogeneous,lp-export,43,38,8,6.15477e+10,1.65467e+08,1516.38,0,1.2241e-05,0,0.000166625,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260911,Flat-L2,20260911,coupling,6,block_heterogeneous,lp-export,43,38,8,6.15477e+10,2.82588e+08,1516.38,0,1.1894e-05,0,0.00016966,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260911,Role-Hybrid,20260911,coupling,6,block_heterogeneous,lp-export,43,38,8,6.15477e+10,5.16514e+08,1516.38,0.216571,2.2515e-05,0,0.000179526,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260911,SA-Mat-permB,20260911,coupling,6,block_heterogeneous,lp-export,43,38,8,6.15477e+10,5.16514e+08,1516.38,0.216571,2.9098e-05,0,0.000186155,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260912,Base,20260912,coupling,6,block_heterogeneous,lp-export,43,38,8,3.49339e+12,3.49339e+12,108461,108461,0,0,0.000172178,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260912,SA-Mat,20260912,coupling,6,block_heterogeneous,lp-export,43,38,8,3.49339e+12,4.6878e+08,108461,0.224375,2.2262e-05,0,0.000182737,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260912,Flat-GM,20260912,coupling,6,block_heterogeneous,lp-export,43,38,8,3.49339e+12,1.17639e+08,108461,0,1.2406e-05,0,0.000169135,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260912,Flat-L2,20260912,coupling,6,block_heterogeneous,lp-export,43,38,8,3.49339e+12,2.17131e+08,108461,0,1.1093e-05,0,0.000164182,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260912,Role-Hybrid,20260912,coupling,6,block_heterogeneous,lp-export,43,38,8,3.49339e+12,4.6878e+08,108461,0.224375,2.1372e-05,0,0.000182513,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260912,SA-Mat-permB,20260912,coupling,6,block_heterogeneous,lp-export,43,38,8,3.49339e+12,4.6878e+08,108461,0.224375,2.5514e-05,0,0.000181982,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260913,Base,20260913,coupling,6,block_heterogeneous,lp-export,43,38,8,1.03942e+10,1.03942e+10,0.452971,0.452971,0,0,0.000165625,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260913,SA-Mat,20260913,coupling,6,block_heterogeneous,lp-export,43,38,8,1.03942e+10,2.4702e+08,0.452971,0.214867,2.1205e-05,0,0.00018707,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260913,Flat-GM,20260913,coupling,6,block_heterogeneous,lp-export,43,38,8,1.03942e+10,6.08248e+07,0.452971,0,1.2515e-05,0,0.00016675,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260913,Flat-L2,20260913,coupling,6,block_heterogeneous,lp-export,43,38,8,1.03942e+10,1.27191e+08,0.452971,0,1.1858e-05,0,0.000165218,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260913,Role-Hybrid,20260913,coupling,6,block_heterogeneous,lp-export,43,38,8,1.03942e+10,2.4702e+08,0.452971,0.214867,2.1156e-05,0,0.000180261,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260913,SA-Mat-permB,20260913,coupling,6,block_heterogeneous,lp-export,43,38,8,1.03942e+10,2.4702e+08,0.452971,0.214867,2.5632e-05,0,0.000182149,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260914,Base,20260914,coupling,6,block_heterogeneous,lp-export,43,38,8,9.38367e+13,9.38367e+13,182867,182867,0,0,0.00017017,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260914,SA-Mat,20260914,coupling,6,block_heterogeneous,lp-export,43,38,8,9.38367e+13,5.14431e+08,182867,0.226043,2.2091e-05,0,0.000180922,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260914,Flat-GM,20260914,coupling,6,block_heterogeneous,lp-export,43,38,8,9.38367e+13,1.77546e+08,182867,0,1.2433e-05,0,0.000165632,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260914,Flat-L2,20260914,coupling,6,block_heterogeneous,lp-export,43,38,8,9.38367e+13,2.34335e+08,182867,0,1.1957e-05,0,0.000167542,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260914,Role-Hybrid,20260914,coupling,6,block_heterogeneous,lp-export,43,38,8,9.38367e+13,5.14431e+08,182867,0.226043,2.1483e-05,0,0.000180406,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260914,SA-Mat-permB,20260914,coupling,6,block_heterogeneous,lp-export,43,38,8,9.38367e+13,5.14431e+08,182867,0.226043,2.6997e-05,0,0.000181965,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260915,Base,20260915,coupling,6,block_heterogeneous,lp-export,43,38,8,1.9398e+18,1.9398e+18,1.00635e+06,1.00635e+06,0,0,0.000169599,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260915,SA-Mat,20260915,coupling,6,block_heterogeneous,lp-export,43,38,8,1.9398e+18,3.76672e+08,1.00635e+06,1.04662,2.1333e-05,0,0.000181709,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260915,Flat-GM,20260915,coupling,6,block_heterogeneous,lp-export,43,38,8,1.9398e+18,1.02181e+08,1.00635e+06,0,1.243e-05,0,0.000166871,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260915,Flat-L2,20260915,coupling,6,block_heterogeneous,lp-export,43,38,8,1.9398e+18,2.08976e+08,1.00635e+06,0,1.2217e-05,0,0.000172601,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260915,Role-Hybrid,20260915,coupling,6,block_heterogeneous,lp-export,43,38,8,1.9398e+18,3.76672e+08,1.00635e+06,1.04662,2.2163e-05,0,0.000184661,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260915,SA-Mat-permB,20260915,coupling,6,block_heterogeneous,lp-export,43,38,8,1.9398e+18,3.76672e+08,1.00635e+06,1.04662,2.6472e-05,0,0.000187697,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260916,Base,20260916,coupling,6,block_heterogeneous,lp-export,43,38,8,2.74498e+13,2.74498e+13,667752,667752,0,0,0.000172793,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260916,SA-Mat,20260916,coupling,6,block_heterogeneous,lp-export,43,38,8,2.74498e+13,2.39571e+08,667752,0.626651,2.1825e-05,0,0.000181046,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260916,Flat-GM,20260916,coupling,6,block_heterogeneous,lp-export,43,38,8,2.74498e+13,5.06559e+07,667752,0,1.2706e-05,0,0.000170018,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260916,Flat-L2,20260916,coupling,6,block_heterogeneous,lp-export,43,38,8,2.74498e+13,1.19108e+08,667752,0,1.5262e-05,0,0.000168993,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260916,Role-Hybrid,20260916,coupling,6,block_heterogeneous,lp-export,43,38,8,2.74498e+13,2.39571e+08,667752,0.626651,2.0808e-05,0,0.000178357,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260916,SA-Mat-permB,20260916,coupling,6,block_heterogeneous,lp-export,43,38,8,2.74498e+13,2.39571e+08,667752,0.626651,2.6033e-05,0,0.000187348,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260917,Base,20260917,coupling,6,block_heterogeneous,lp-export,43,38,8,3.42352e+17,3.42352e+17,67719.8,67719.8,0,0,0.000171531,NA,NA,NA,NA,NA,NA
