block_range,severity,pattern,seed,variant,structure_preserved,row_count,coefficient_rows_pass,rhs_rows_pass,max_coefficient_row_factor_relative_error,max_rhs_scaling_error,max_rhs_error_over_serialization_allowance,row_scaling_with_serialization_verified
1,3,coupling,20260909,Base,1,43,43,43,0.0,0.0,0.0,1
1,3,coupling,20260909,SA-Mat,1,43,43,43,4.9790733687744676e-15,4.1796612840575285e-06,0.9657202653580422,1
1,3,coupling,20260909,Flat-GM,1,43,43,43,4.80033661901486e-15,4.005057490714805e-05,0.9657202653580422,1
1,3,coupling,20260909,Flat-L2,1,43,43,43,4.9790733687744676e-15,4.060973031806857e-06,0.7790884832470747,1
1,3,coupling,20260909,Role-Hybrid,1,43,43,43,4.9790733687744676e-15,4.1796612840575285e-06,0.9657202653580422,1
1,3,coupling,20260909,SA-Mat-permB,1,43,43,43,4.9790733687744676e-15,4.1796612840575285e-06,0.9657202653580422,1
1,3,coupling,20260910,Base,1,43,43,43,0.0,0.0,0.0,1
1,3,coupling,20260910,SA-Mat,1,43,43,43,5.17042170566962e-16,5.101671509400451e-06,0.7619364635656312,1
1,3,coupling,20260910,Flat-GM,1,43,43,43,2.1751450560744384e-16,5.101671509400451e-06,0.7619364635656312,1
1,3,coupling,20260910,Flat-L2,1,43,43,43,5.17042170566962e-16,2.296210535352654e-06,0.7634250119587617,1
1,3,coupling,20260910,Role-Hybrid,1,43,43,43,5.17042170566962e-16,5.101671509400451e-06,0.7619364635656312,1
1,3,coupling,20260910,SA-Mat-permB,1,43,43,43,5.17042170566962e-16,5.101671509400451e-06,0.7619364635656312,1
1,3,coupling,20260911,Base,1,43,43,43,0.0,0.0,0.0,1
1,3,coupling,20260911,SA-Mat,1,43,43,43,1.635105663261934e-16,4.557032744897944e-06,0.883884849860686,1
1,3,coupling,20260911,Flat-GM,1,43,43,43,1.6550172448681594e-16,4.557032744897944e-06,0.8828709939856797,1
1,3,coupling,20260911,Flat-L2,1,43,43,43,4.3002149946252684e-16,2.2573192945320293e-06,0.9453776362659282,1
1,3,coupling,20260911,Role-Hybrid,1,43,43,43,1.635105663261934e-16,4.557032744897944e-06,0.883884849860686,1
1,3,coupling,20260911,SA-Mat-permB,1,43,43,43,1.635105663261934e-16,4.557032744897944e-06,0.883884849860686,1
1,3,coupling,20260912,Base,1,43,43,43,0.0,0.0,0.0,1
1,3,coupling,20260912,SA-Mat,1,43,43,43,5.603430231758257e-16,5.9013651558809065e-06,0.9337615953861308,1
1,3,coupling,20260912,Flat-GM,1,43,43,43,1.4304200907644581e-16,5.9013651558809065e-06,0.9337615953861308,1
1,3,coupling,20260912,Flat-L2,1,43,43,43,5.603430231758257e-16,2.8699015952537624e-06,0.9348730477921388,1
1,3,coupling,20260912,Role-Hybrid,1,43,43,43,5.603430231758257e-16,5.9013651558809065e-06,0.9337615953861308,1
1,3,coupling,20260912,SA-Mat-permB,1,43,43,43,5.603430231758257e-16,5.9013651558809065e-06,0.9337615953861308,1
1,3,coupling,20260913,Base,1,43,43,43,0.0,0.0,0.0,1
1,3,coupling,20260913,SA-Mat,1,43,43,43,1.4606574733138722e-16,6.216362704094786e-06,0.805302833733325,1
1,3,coupling,20260913,Flat-GM,1,43,43,43,3.0281413731676066e-16,6.216362704094786e-06,0.805302833733325,1
1,3,coupling,20260913,Flat-L2,1,43,43,43,4.3002149946252684e-16,3.7113329180306657e-06,0.9151695480682501,1
1,3,coupling,20260913,Role-Hybrid,1,43,43,43,1.4606574733138722e-16,6.216362704094786e-06,0.805302833733325,1
1,3,coupling,20260913,SA-Mat-permB,1,43,43,43,1.4606574733138722e-16,6.216362704094786e-06,0.805302833733325,1
1,3,coupling,20260914,Base,1,43,43,43,0.0,0.0,0.0,1
1,3,coupling,20260914,SA-Mat,1,43,43,43,6.484068532029795e-16,6.167446486512395e-06,0.8096095963235677,1
1,3,coupling,20260914,Flat-GM,1,43,43,43,1.7054077506346013e-16,6.167446486512395e-06,0.8635332257973841,1
1,3,coupling,20260914,Flat-L2,1,43,43,43,6.484068532029795e-16,4.01263282209857e-06,0.8511892919186242,1
1,3,coupling,20260914,Role-Hybrid,1,43,43,43,6.484068532029795e-16,6.167446486512395e-06,0.8096095963235677,1
1,3,coupling,20260914,SA-Mat-permB,1,43,43,43,6.484068532029795e-16,6.167446486512395e-06,0.8096095963235677,1
1,3,coupling,20260915,Base,1,43,43,43,0.0,0.0,0.0,1
1,3,coupling,20260915,SA-Mat,1,43,43,43,1.6869238706340952e-14,9.527316726642232e-06,0.8928277836391831,1
1,3,coupling,20260915,Flat-GM,1,43,43,43,1.6638269783647145e-14,0.00012506435480632333,0.9098441035864999,1
1,3,coupling,20260915,Flat-L2,1,43,43,43,1.6869238706340952e-14,9.527316726642232e-06,0.9085136473010254,1
1,3,coupling,20260915,Role-Hybrid,1,43,43,43,1.6869238706340952e-14,9.527316726642232e-06,0.8928277836391831,1
1,3,coupling,20260915,SA-Mat-permB,1,43,43,43,1.6869238706340952e-14,9.527316726642232e-06,0.8928277836391831,1
1,3,coupling,20260916,Base,1,43,43,43,0.0,0.0,0.0,1
1,3,coupling,20260916,SA-Mat,1,43,43,43,5.120012516965582e-16,4.718856819068468e-06,0.9124666190117914,1
1,3,coupling,20260916,Flat-GM,1,43,43,43,1.5562525914340108e-16,4.718856819068468e-06,0.9467125936962381,1
1,3,coupling,20260916,Flat-L2,1,43,43,43,5.120012516965582e-16,3.077386000984487e-06,0.9124666190117914,1
1,3,coupling,20260916,Role-Hybrid,1,43,43,43,5.120012516965582e-16,4.718856819068468e-06,0.9124666190117914,1
1,3,coupling,20260916,SA-Mat-permB,1,43,43,43,5.120012516965582e-16,4.718856819068468e-06,0.9124666190117914,1
1,3,coupling,20260917,Base,1,43,43,43,0.0,0.0,0.0,1
1,3,coupling,20260917,SA-Mat,1,43,43,43,1.73756717455747e-14,3.453449305924344e-05,0.8516393224866988,1
1,3,coupling,20260917,Flat-GM,1,43,43,43,1.8122046848693872e-14,0.00035361084842695995,0.8516393224866988,1
1,3,coupling,20260917,Flat-L2,1,43,43,43,1.73756717455747e-14,3.453449305924344e-05,0.7533406585346296,1
1,3,coupling,20260917,Role-Hybrid,1,43,43,43,1.73756717455747e-14,3.453449305924344e-05,0.8516393224866988,1
1,3,coupling,20260917,SA-Mat-permB,1,43,43,43,1.73756717455747e-14,3.453449305924344e-05,0.8516393224866988,1
1,3,coupling,20260918,Base,1,43,43,43,0.0,0.0,0.0,1
1,3,coupling,20260918,SA-Mat,1,43,43,43,9.08715956711079e-16,5.3317399707778795e-06,0.9010409653488615,1
1,3,coupling,20260918,Flat-GM,1,43,43,43,1.2636110999997892e-15,8.38958811663964e-06,0.9010409653488615,1
1,3,coupling,20260918,Flat-L2,1,43,43,43,9.08715956711079e-16,2.3554742533875606e-06,0.9433967734869545,1
1,3,coupling,20260918,Role-Hybrid,1,43,43,43,9.08715956711079e-16,5.3317399707778795e-06,0.9010409653488615,1
1,3,coupling,20260918,SA-Mat-permB,1,43,43,43,9.08715956711079e-16,5.3317399707778795e-06,0.9010409653488615,1
1,3,coupling_uniform,20260909,Base,1,43,43,43,0.0,0.0,0.0,1
1,3,coupling_uniform,20260909,SA-Mat,1,43,43,43,1.4614683502757e-14,1.38705383677931e-05,0.89118880954759,1
1,3,coupling_uniform,20260909,Flat-GM,1,43,43,43,1.451002216405419e-14,0.00016638270961094354,0.9472798957140879,1
1,3,coupling_uniform,20260909,Flat-L2,1,43,43,43,1.4614683502757e-14,1.38705383677931e-05,0.89118880954759,1
1,3,coupling_uniform,20260909,Role-Hybrid,1,43,43,43,1.4614683502757e-14,1.38705383677931e-05,0.89118880954759,1
1,3,coupling_uniform,20260909,SA-Mat-permB,1,43,43,43,1.4614683502757e-14,1.38705383677931e-05,0.89118880954759,1
1,3,coupling_uniform,20260910,Base,1,43,43,43,0.0,0.0,0.0,1
1,3,coupling_uniform,20260910,SA-Mat,1,43,43,43,2.8979685787028838e-15,5.630529640106762e-06,0.9164409064816089,1
1,3,coupling_uniform,20260910,Flat-GM,1,43,43,43,3.0143416670707134e-15,5.543589271392195e-05,0.9164409064816089,1
1,3,coupling_uniform,20260910,Flat-L2,1,43,43,43,2.8979685787028838e-15,4.1325293728552696e-06,0.8076248475443958,1
1,3,coupling_uniform,20260910,Role-Hybrid,1,43,43,43,2.8979685787028838e-15,5.630529640106762e-06,0.9164409064816089,1
1,3,coupling_uniform,20260910,SA-Mat-permB,1,43,43,43,2.8979685787028838e-15,5.630529640106762e-06,0.9164409064816089,1
1,3,coupling_uniform,20260911,Base,1,43,43,43,0.0,0.0,0.0,1
1,3,coupling_uniform,20260911,SA-Mat,1,43,43,43,3.2976835796931015e-16,4.480587127718591e-06,0.9499404833922259,1
1,3,coupling_uniform,20260911,Flat-GM,1,43,43,43,1.3741863550687116e-16,4.480587127718591e-06,0.8028512507609175,1
