instancia,variante,seed,pattern,severity_S,coefficient_family,status,filas,cols,binarias,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preproc_s,tiempo_solver_s,wall_time_s,objetivo,gap,best_bound,max_original_row_violation,max_integrality_violation,is_feasible_original_scale
mixed_S3_seed20260909,Base,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+08,6.01201e+08,1.5062,1.5062,0,0,0.000564666,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260909,SA-Mat,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+08,40107.9,1.5062,0.214043,0.000153009,0,0.000611129,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260909,Flat-GM,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+08,17760.1,1.5062,0,7.2053e-05,0,0.000495363,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260909,Flat-L2,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+08,17148.1,1.5062,0,6.4359e-05,0,0.000461246,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260909,Role-Hybrid,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+08,31840.1,1.5062,0.269622,0.000143657,0,0.000567489,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260909,SA-Mat-permB,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+08,40107.9,1.5062,0.214043,0.00015775,0,0.000573852,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260910,Base,20260910,mixed,3,block_heterogeneous,lp-export,43,38,8,1.53014e+09,1.53014e+09,1.04752,1.04752,0,0,0.000411235,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260910,SA-Mat,20260910,mixed,3,block_heterogeneous,lp-export,43,38,8,1.53014e+09,88994.7,1.04752,0.215542,0.000146592,0,0.000564372,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260910,Flat-GM,20260910,mixed,3,block_heterogeneous,lp-export,43,38,8,1.53014e+09,16031.5,1.04752,0,6.4042e-05,0,0.000470958,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260910,Flat-L2,20260910,mixed,3,block_heterogeneous,lp-export,43,38,8,1.53014e+09,23489.6,1.04752,0,6.2397e-05,0,0.00045267,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260910,Role-Hybrid,20260910,mixed,3,block_heterogeneous,lp-export,43,38,8,1.53014e+09,88640.5,1.04752,0.216179,0.000140159,0,0.000556992,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260910,SA-Mat-permB,20260910,mixed,3,block_heterogeneous,lp-export,43,38,8,1.53014e+09,88988.7,1.04752,0.215596,0.000153913,0,0.000575087,NA,NA,NA,NA,NA,NA
