instancia,variante,seed,pattern,severity_S,coefficient_family,status,filas,cols,binarias,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preproc_s,tiempo_solver_s,wall_time_s,objetivo,gap,best_bound,max_original_row_violation,max_integrality_violation,is_feasible_original_scale
coupling_S6_seed20260909,Base,20260909,coupling,6,block_heterogeneous,lp-export,43,38,8,9.63098e+10,9.63098e+10,143.989,143.989,0,0,0.000566036,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260909,SA-Mat,20260909,coupling,6,block_heterogeneous,lp-export,43,38,8,9.63098e+10,42455.3,143.989,0.218055,0.000158705,0,0.000634818,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260909,Flat-GM,20260909,coupling,6,block_heterogeneous,lp-export,43,38,8,9.63098e+10,11216.8,143.989,0,7.3647e-05,0,0.000486915,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260909,Flat-L2,20260909,coupling,6,block_heterogeneous,lp-export,43,38,8,9.63098e+10,16069.4,143.989,0,7.2776e-05,0,0.000481979,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260909,Role-Hybrid,20260909,coupling,6,block_heterogeneous,lp-export,43,38,8,9.63098e+10,42455.3,143.989,0.218055,0.000144124,0,0.000568493,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260909,SA-Mat-permB,20260909,coupling,6,block_heterogeneous,lp-export,43,38,8,9.63098e+10,42455.3,143.989,0.218055,0.000156233,0,0.000591465,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260910,Base,20260910,coupling,6,block_heterogeneous,lp-export,43,38,8,3.38213e+07,3.38213e+07,503.763,503.763,0,0,0.000409587,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260910,SA-Mat,20260910,coupling,6,block_heterogeneous,lp-export,43,38,8,3.38213e+07,39533.8,503.763,0.224898,0.000150687,0,0.000590336,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260910,Flat-GM,20260910,coupling,6,block_heterogeneous,lp-export,43,38,8,3.38213e+07,10414.2,503.763,0,6.9442e-05,0,0.000465605,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260910,Flat-L2,20260910,coupling,6,block_heterogeneous,lp-export,43,38,8,3.38213e+07,15724,503.763,0,6.7972e-05,0,0.000467512,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260910,Role-Hybrid,20260910,coupling,6,block_heterogeneous,lp-export,43,38,8,3.38213e+07,39533.8,503.763,0.224898,0.000143531,0,0.000564961,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260910,SA-Mat-permB,20260910,coupling,6,block_heterogeneous,lp-export,43,38,8,3.38213e+07,39533.8,503.763,0.224898,0.00015665,0,0.00058823,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260911,Base,20260911,coupling,6,block_heterogeneous,lp-export,43,38,8,8.83719e+06,8.83719e+06,216.156,216.156,0,0,0.000399408,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260911,SA-Mat,20260911,coupling,6,block_heterogeneous,lp-export,43,38,8,8.83719e+06,89102.1,216.156,0.214363,0.000143928,0,0.000584789,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260911,Flat-GM,20260911,coupling,6,block_heterogeneous,lp-export,43,38,8,8.83719e+06,19299.7,216.156,0,6.8389e-05,0,0.000472472,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260911,Flat-L2,20260911,coupling,6,block_heterogeneous,lp-export,43,38,8,8.83719e+06,27126.2,216.156,0,6.7026e-05,0,0.000461637,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260911,Role-Hybrid,20260911,coupling,6,block_heterogeneous,lp-export,43,38,8,8.83719e+06,89102.1,216.156,0.214363,0.00014063,0,0.000576761,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260911,SA-Mat-permB,20260911,coupling,6,block_heterogeneous,lp-export,43,38,8,8.83719e+06,89102.1,216.156,0.214363,0.000154782,0,0.000584839,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260912,Base,20260912,coupling,6,block_heterogeneous,lp-export,43,38,8,4.52629e+08,4.52629e+08,13203.7,13203.7,0,0,0.00040749,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260912,SA-Mat,20260912,coupling,6,block_heterogeneous,lp-export,43,38,8,4.52629e+08,69385.1,13203.7,0.22016,0.000143266,0,0.00056753,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260912,Flat-GM,20260912,coupling,6,block_heterogeneous,lp-export,43,38,8,4.52629e+08,16340.9,13203.7,0,7.4368e-05,0,0.000468027,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260912,Flat-L2,20260912,coupling,6,block_heterogeneous,lp-export,43,38,8,4.52629e+08,22519,13203.7,0,6.5749e-05,0,0.000462953,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260912,Role-Hybrid,20260912,coupling,6,block_heterogeneous,lp-export,43,38,8,4.52629e+08,69385.1,13203.7,0.22016,0.000143923,0,0.000567718,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260912,SA-Mat-permB,20260912,coupling,6,block_heterogeneous,lp-export,43,38,8,4.52629e+08,69385.1,13203.7,0.22016,0.000150455,0,0.000569911,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260913,Base,20260913,coupling,6,block_heterogeneous,lp-export,43,38,8,1.03942e+06,1.03942e+06,0.0550781,0.0550781,0,0,0.000412009,NA,NA,NA,NA,NA,NA
coupling_S6_seed20260913,SA-Mat,20260913,coupling,6,block_heterogeneous,lp-export,43,38,8,1.03942e+06,39622.7,0.0550781,0.210134,0.000142245,0,0.000570206,NA,NA,NA,NA,NA,NA
