block_range,severity,pattern,seed,variant,file,sha256,named_model_sha256,reference_rank,variant_relative_rank,sigma_max,sigma_at_reference_rank,kappa2_common_rank
1,3,coupling,20260909,Base,R1_S3_coupling/lp/coupling_S3_seed20260909_Base.lp,81f403438dea89508aae9023d0c9cfba6ca1e0c81d3abb0096ada1a397cab809,10a3376dbe8d5ea86ad5cf9a29ea618e4bff49f02d79ef14c3ac65b1bf2ac866,35,35,252.91922076630507,0.008850216955856223,28577.7424472004
1,3,coupling,20260909,SA-Mat,R1_S3_coupling/lp/coupling_S3_seed20260909_SAMat.lp,f6ec75a67b8d9a876b5b42d1585d018b21c62dd3491c3ed5045ccd8ea8597960,1a8369632beb4db394fb6180a260e5db63f73565e7c509c334f57b2e70235313,35,35,10.000660260328528,0.07084554092812355,141.16146378887436
1,3,coupling,20260909,Flat-GM,R1_S3_coupling/lp/coupling_S3_seed20260909_FlatGM.lp,100da728aa535ccae1dfbc2d36c6fa52d82b0397393ede513c7f60eac8d17abe,8d5c1ce6aea78a556dcc9b4bede5c42e131d2665174f0e77465e2c2802355a8f,35,35,12.014787883338915,0.08781952938846209,136.81225539472592
1,3,coupling,20260909,Flat-L2,R1_S3_coupling/lp/coupling_S3_seed20260909_FlatL2.lp,9253f73256abc645bc749785a4a51f763f2bc7b40f2aeb1d70156219d1b1ee72,c2c089fc08b505687032f66cdf0cf79c7281e0b7654bf4139ed50c808b5b4d1a,35,35,2.2441260816294846,0.045005389482547065,49.86349651522845
1,3,coupling,20260909,Role-Hybrid,R1_S3_coupling/lp/coupling_S3_seed20260909_RoleHybrid.lp,f6ec75a67b8d9a876b5b42d1585d018b21c62dd3491c3ed5045ccd8ea8597960,1a8369632beb4db394fb6180a260e5db63f73565e7c509c334f57b2e70235313,35,35,10.000660260328528,0.07084554092812355,141.16146378887436
1,3,coupling,20260909,SA-Mat-permB,R1_S3_coupling/lp/coupling_S3_seed20260909_SAMatpermB.lp,f6ec75a67b8d9a876b5b42d1585d018b21c62dd3491c3ed5045ccd8ea8597960,1a8369632beb4db394fb6180a260e5db63f73565e7c509c334f57b2e70235313,35,35,10.000660260328528,0.07084554092812355,141.16146378887436
1,3,coupling,20260910,Base,R1_S3_coupling/lp/coupling_S3_seed20260910_Base.lp,abb007f77491afa25c9f3c3997afd3903c6d5a7b4546e786e28683f82cb67d1f,c8f32d65e15640755acaa1188fb4f861d14414e194b5baeb4d5bfc6b181eb45a,35,35,508.358762229522,0.0941272617874984,5400.760125979146
1,3,coupling,20260910,SA-Mat,R1_S3_coupling/lp/coupling_S3_seed20260910_SAMat.lp,c3a46294874bf8819b72c1f32ede4e0dd5dea4af054c00b05eec60ca81546422,6b50aa8120555631e1270ea4c7a06018d8a5781179f328a6157bc17499e121e2,35,35,10.000573846107676,0.034831109721496466,287.1161420371196
1,3,coupling,20260910,Flat-GM,R1_S3_coupling/lp/coupling_S3_seed20260910_FlatGM.lp,843ad76e7a1bea5fb58266e3d17f01fef6f618eb82c2eec101b1e6242ba28274,f7119aa81664d4fec8baf321b428419d13528aa78a16770e801abfc42e137586,35,35,11.437559357201717,0.03661774515800471,312.3501817998055
1,3,coupling,20260910,Flat-L2,R1_S3_coupling/lp/coupling_S3_seed20260910_FlatL2.lp,83cd7c15c658205981d198905066be65acfee6b176b52974e6e4342ec5aceaea,fc034efbc0dac8ac69b1520ff0f5cd4c1c873d0ea61e60addf41998a53071ae1,35,35,2.3740798001790653,0.019003260496179633,124.93012978779848
