block_range,severity,pattern,seed,variant,structure_preserved,row_count,coefficient_rows_pass,rhs_rows_pass,max_coefficient_row_factor_relative_error,max_rhs_scaling_error,max_rhs_error_over_serialization_allowance,row_scaling_with_serialization_verified
1,3,coupling,20260909,Base,1,43,43,43,0.0,0.0,0.0,1
1,3,coupling,20260909,SA-Mat,1,43,43,43,2.0452818590213795e-16,3.951101429758492e-14,0.0022665249480101294,1
1,3,coupling,20260909,Flat-GM,1,43,43,43,2.0452818590213795e-16,7.664341818489338e-14,0.0022665249480101294,1
1,3,coupling,20260909,Flat-L2,1,43,43,43,2.1237507370777786e-16,1.5139605133593753e-14,0.00173934981904167,1
1,3,coupling,20260909,Role-Hybrid,1,43,43,43,2.0452818590213795e-16,3.951101429758492e-14,0.0022665249480101294,1
1,3,coupling,20260909,SA-Mat-permB,1,43,43,43,2.0452818590213795e-16,3.951101429758492e-14,0.0022665249480101294,1
1,3,coupling,20260910,Base,1,43,43,43,0.0,0.0,0.0,1
1,3,coupling,20260910,SA-Mat,1,43,43,43,1.637283610421623e-16,2.271083019741862e-14,0.001299597443843933,1
1,3,coupling,20260910,Flat-GM,1,43,43,43,1.637283610421623e-16,8.235297445381601e-14,0.001299597443843933,1
1,3,coupling,20260910,Flat-L2,1,43,43,43,1.5734184159216038e-16,1.1924408246280113e-14,0.0015922270286431903,1
1,3,coupling,20260910,Role-Hybrid,1,43,43,43,1.637283610421623e-16,2.271083019741862e-14,0.001299597443843933,1
1,3,coupling,20260910,SA-Mat-permB,1,43,43,43,1.637283610421623e-16,2.271083019741862e-14,0.001299597443843933,1
1,3,coupling,20260911,Base,1,43,43,43,0.0,0.0,0.0,1
1,3,coupling,20260911,SA-Mat,1,43,43,43,1.9780929732443692e-16,3.2484669228208665e-14,0.0019922851667193435,1
1,3,coupling,20260911,Flat-GM,1,43,43,43,1.9780929732443692e-16,8.51191633156534e-14,0.0019922851667193435,1
1,3,coupling,20260911,Flat-L2,1,43,43,43,1.8572876062426985e-16,1.708575489567481e-14,0.0015662896842620377,1
1,3,coupling,20260911,Role-Hybrid,1,43,43,43,1.9780929732443692e-16,3.2484669228208665e-14,0.0019922851667193435,1
1,3,coupling,20260911,SA-Mat-permB,1,43,43,43,1.9780929732443692e-16,3.2484669228208665e-14,0.0019922851667193435,1
1,3,coupling,20260912,Base,1,43,43,43,0.0,0.0,0.0,1
1,3,coupling,20260912,SA-Mat,1,43,43,43,1.6461897916962863e-16,2.0662708790607414e-14,0.0014472937376986215,1
