control,block_range,n,ratio_min,ratio_median,ratio_max,byte_equal
Flat-GM,1,60,0.7214815588883247,0.9369705943696867,1.5838828641782687,0.0
Flat-GM,2,60,0.07395045259701043,0.10152488793356618,0.1767835182168169,0.0
Flat-GM,3,60,0.006734721362353493,0.009725570369114428,0.017688549902999538,0.0
Role-Hybrid,1,60,0.9433396262991165,1.0,1.0591116998670453,44.0
Role-Hybrid,2,60,0.939004405804663,1.0,1.0167728282413055,46.0
Role-Hybrid,3,60,0.9567496220786396,1.0,1.0794917076339234,46.0
SA-Mat-permB,1,60,0.9996188669470378,1.0,1.000212308619651,55.0
SA-Mat-permB,2,60,0.9999990547909332,1.0,1.0000005049957084,55.0
SA-Mat-permB,3,60,0.9999999993949836,1.0,1.0000000010916092,55.0
Flat-L2,1,60,2.0709095370910724,2.700764387043576,4.4701164500182005,
Flat-L2,2,60,1.8304685017115327,2.6894143520560263,4.2249454255962435,
Flat-L2,3,60,1.9686357347949597,2.6105039982383262,4.471789551052836,
