run_id,stage,family,instance,policy,solver,gap,seed,record,outcome,infrastructure_failure,status
,,SG-Ter-Mer,,Flat-GM,,0.001,,False,,,absent: not yet executed
,,SG-Ter-Mer,,Flat-L2,,0.001,,False,,,absent: not yet executed
,,SG-Ter-Mer,,Role-Hybrid,,0.001,,False,,,absent: not yet executed
,,SG-Ter-Mer,,Flat-GM,,0.01,,False,,,absent: not yet executed
,,SG-Ter-Mer,,Flat-L2,,0.01,,False,,,absent: not yet executed
,,SG-Ter-Mer,,Role-Hybrid,,0.01,,False,,,absent: not yet executed
,,Simple,,Flat-GM,,0.001,,False,,,absent: not yet executed
,,Simple,,Flat-L2,,0.001,,False,,,absent: not yet executed
,,Simple,,Role-Hybrid,,0.001,,False,,,absent: not yet executed
,,Simple,,Flat-GM,,0.01,,False,,,absent: not yet executed
,,Simple,,Flat-L2,,0.01,,False,,,absent: not yet executed
,,Simple,,Role-Hybrid,,0.01,,False,,,absent: not yet executed
,,SG-Ter-Mer,,Flat-GM,,0.001,,False,,,absent: not yet executed
,,SG-Ter-Mer,,Flat-L2,,0.001,,False,,,absent: not yet executed
,,SG-Ter-Mer,,Role-Hybrid,,0.001,,False,,,absent: not yet executed
,,SG-Ter-Mer,,Flat-GM,,0.01,,False,,,absent: not yet executed
,,SG-Ter-Mer,,Flat-L2,,0.01,,False,,,absent: not yet executed
,,SG-Ter-Mer,,Role-Hybrid,,0.01,,False,,,absent: not yet executed
,,SG-Ter-Mer,,Flat-GM,,0.001,,False,,,absent: not yet executed
,,SG-Ter-Mer,,Flat-L2,,0.001,,False,,,absent: not yet executed
,,SG-Ter-Mer,,Role-Hybrid,,0.001,,False,,,absent: not yet executed
,,SG-Ter-Mer,,Flat-GM,,0.01,,False,,,absent: not yet executed
,,SG-Ter-Mer,,Flat-L2,,0.01,,False,,,absent: not yet executed
,,SG-Ter-Mer,,Role-Hybrid,,0.01,,False,,,absent: not yet executed
,,Simple,,Flat-GM,,0.001,,False,,,absent: not yet executed
,,Simple,,Flat-L2,,0.001,,False,,,absent: not yet executed
,,Simple,,Role-Hybrid,,0.001,,False,,,absent: not yet executed
,,Simple,,Flat-GM,,0.01,,False,,,absent: not yet executed
,,Simple,,Flat-L2,,0.01,,False,,,absent: not yet executed
,,Simple,,Role-Hybrid,,0.01,,False,,,absent: not yet executed
,,Simple,,Flat-GM,,0.001,,False,,,absent: not yet executed
,,Simple,,Flat-L2,,0.001,,False,,,absent: not yet executed
,,Simple,,Role-Hybrid,,0.001,,False,,,absent: not yet executed
,,Simple,,Flat-GM,,0.01,,False,,,absent: not yet executed
,,Simple,,Flat-L2,,0.01,,False,,,absent: not yet executed
,,Simple,,Role-Hybrid,,0.01,,False,,,absent: not yet executed
repl-cplex-caso01a-Base-g0.01,replication,Simple,caso01a,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso01a-Role-Hybrid-g0.01,replication,Simple,caso01a,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso01a-Flat-GM-g0.01,replication,Simple,caso01a,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso01a-Flat-L2-g0.01,replication,Simple,caso01a,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso01a-Flat-GM-g0.001,replication,Simple,caso01a,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso01a-Flat-L2-g0.001,replication,Simple,caso01a,Flat-L2,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso01a-Base-g0.001,replication,Simple,caso01a,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso01a-Role-Hybrid-g0.001,replication,Simple,caso01a,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso03b-Flat-GM-g0.01,replication,Simple,caso03b,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso03b-Base-g0.01,replication,Simple,caso03b,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso03b-Flat-L2-g0.01,replication,Simple,caso03b,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso03b-Role-Hybrid-g0.01,replication,Simple,caso03b,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso03b-Role-Hybrid-g0.001,replication,Simple,caso03b,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso03b-Base-g0.001,replication,Simple,caso03b,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso03b-Flat-GM-g0.001,replication,Simple,caso03b,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso03b-Flat-L2-g0.001,replication,Simple,caso03b,Flat-L2,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso05d-Flat-GM-g0.01,replication,Simple,caso05d,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso05d-Base-g0.01,replication,Simple,caso05d,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso05d-Role-Hybrid-g0.01,replication,Simple,caso05d,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso05d-Flat-L2-g0.01,replication,Simple,caso05d,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso05d-Role-Hybrid-g0.001,replication,Simple,caso05d,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso05d-Flat-GM-g0.001,replication,Simple,caso05d,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso05d-Flat-L2-g0.001,replication,Simple,caso05d,Flat-L2,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso05d-Base-g0.001,replication,Simple,caso05d,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso10e-Flat-L2-g0.01,replication,Simple,caso10e,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso10e-Role-Hybrid-g0.01,replication,Simple,caso10e,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso10e-Base-g0.01,replication,Simple,caso10e,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso10e-Flat-GM-g0.01,replication,Simple,caso10e,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso10e-Base-g0.001,replication,Simple,caso10e,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso10e-Role-Hybrid-g0.001,replication,Simple,caso10e,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso10e-Flat-L2-g0.001,replication,Simple,caso10e,Flat-L2,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso10e-Flat-GM-g0.001,replication,Simple,caso10e,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso14a-Base-g0.01,replication,Simple,caso14a,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso14a-Flat-GM-g0.01,replication,Simple,caso14a,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso14a-Role-Hybrid-g0.01,replication,Simple,caso14a,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso14a-Flat-L2-g0.01,replication,Simple,caso14a,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso14a-Base-g0.001,replication,Simple,caso14a,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso14a-Flat-GM-g0.001,replication,Simple,caso14a,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso14a-Role-Hybrid-g0.001,replication,Simple,caso14a,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso14a-Flat-L2-g0.001,replication,Simple,caso14a,Flat-L2,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso20c-Flat-GM-g0.01,replication,Simple,caso20c,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso20c-Role-Hybrid-g0.01,replication,Simple,caso20c,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso20c-Flat-L2-g0.01,replication,Simple,caso20c,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso20c-Base-g0.01,replication,Simple,caso20c,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso20c-Flat-L2-g0.001,replication,Simple,caso20c,Flat-L2,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso20c-Flat-GM-g0.001,replication,Simple,caso20c,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso20c-Role-Hybrid-g0.001,replication,Simple,caso20c,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso20c-Base-g0.001,replication,Simple,caso20c,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso22d-Base-g0.01,replication,Simple,caso22d,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso22d-Flat-L2-g0.01,replication,Simple,caso22d,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso22d-Flat-GM-g0.01,replication,Simple,caso22d,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso22d-Role-Hybrid-g0.01,replication,Simple,caso22d,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso22d-Role-Hybrid-g0.001,replication,Simple,caso22d,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso22d-Flat-L2-g0.001,replication,Simple,caso22d,Flat-L2,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso22d-Flat-GM-g0.001,replication,Simple,caso22d,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso22d-Base-g0.001,replication,Simple,caso22d,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso24f-Flat-GM-g0.01,replication,Simple,caso24f,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso24f-Base-g0.01,replication,Simple,caso24f,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso24f-Role-Hybrid-g0.01,replication,Simple,caso24f,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso24f-Flat-L2-g0.01,replication,Simple,caso24f,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso24f-Role-Hybrid-g0.001,replication,Simple,caso24f,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso24f-Flat-GM-g0.001,replication,Simple,caso24f,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso24f-Flat-L2-g0.001,replication,Simple,caso24f,Flat-L2,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso24f-Base-g0.001,replication,Simple,caso24f,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso27a-Role-Hybrid-g0.01,replication,Simple,caso27a,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso27a-Base-g0.01,replication,Simple,caso27a,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso27a-Flat-L2-g0.01,replication,Simple,caso27a,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso27a-Flat-GM-g0.01,replication,Simple,caso27a,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso27a-Base-g0.001,replication,Simple,caso27a,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso27a-Role-Hybrid-g0.001,replication,Simple,caso27a,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso27a-Flat-GM-g0.001,replication,Simple,caso27a,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso27a-Flat-L2-g0.001,replication,Simple,caso27a,Flat-L2,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso29c-Base-g0.01,replication,Simple,caso29c,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso29c-Flat-L2-g0.01,replication,Simple,caso29c,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso29c-Flat-GM-g0.01,replication,Simple,caso29c,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso29c-Role-Hybrid-g0.01,replication,Simple,caso29c,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso29c-Base-g0.001,replication,Simple,caso29c,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
