stage,family,solver,gap,seed,policy,n,completed,censored,failed,censored_without_incumbent,completion_rate,par10_mean_s,median_time_completed_s,median_final_gap_censored_pct,verified_rate,median_nonsolver_overhead_s,infrastructure_failures,optimality_claims_contradicted,invalid_dual_bounds
replication,SG-Ter-Mer,cplex,0.001,42,Base,15,15,0,0,0,1.0,95.34,1.88,,1.0,2.04,0,0,0
replication,SG-Ter-Mer,cplex,0.001,42,Flat-GM,15,15,0,0,0,1.0,99.82,2.25,,1.0,2.22,0,1,1
replication,SG-Ter-Mer,cplex,0.001,42,Flat-L2,15,15,0,0,0,1.0,60.02,1.75,,1.0,2.25,0,0,0
replication,SG-Ter-Mer,cplex,0.001,42,Role-Hybrid,15,14,1,0,0,0.9333,1202.04,2.08,0.6477,1.0,2.07,0,1,1
replication,SG-Ter-Mer,cplex,0.01,42,Base,15,14,1,0,0,0.9333,1201.67,1.69,1.3047,1.0,1.84,0,0,0
replication,SG-Ter-Mer,cplex,0.01,42,Flat-GM,15,15,0,0,0,1.0,78.77,1.99,,1.0,2.12,0,0,1
replication,SG-Ter-Mer,cplex,0.01,42,Flat-L2,15,15,0,0,0,1.0,120.75,1.81,,1.0,2.21,0,0,0
replication,SG-Ter-Mer,cplex,0.01,42,Role-Hybrid,15,15,0,0,0,1.0,48.92,1.74,,1.0,2.22,0,0,1
replication,SG-Ter-Mer,gurobi,0.001,7,Base,15,14,1,0,0,0.9333,1219.74,10.02,4.302,1.0,0.99,0,1,1
replication,SG-Ter-Mer,gurobi,0.001,7,Flat-GM,15,14,1,0,0,0.9333,1218.2,5.82,3.5444,1.0,1.03,0,0,1
replication,SG-Ter-Mer,gurobi,0.001,7,Flat-L2,15,14,1,0,0,0.9333,1222.68,13.35,4.5967,1.0,1.06,0,0,1
replication,SG-Ter-Mer,gurobi,0.001,7,Role-Hybrid,15,14,1,0,0,0.9333,1216.51,5.99,5.9282,1.0,0.98,0,1,3
replication,SG-Ter-Mer,gurobi,0.01,7,Base,15,14,1,0,0,0.9333,1219.41,9.05,4.2562,1.0,1.2,0,0,0
replication,SG-Ter-Mer,gurobi,0.01,7,Flat-GM,15,14,1,0,0,0.9333,1218.14,5.28,3.6575,1.0,1.12,0,0,0
replication,SG-Ter-Mer,gurobi,0.01,7,Flat-L2,15,14,1,0,0,0.9333,1222.21,12.81,4.7371,1.0,1.12,0,0,1
replication,SG-Ter-Mer,gurobi,0.01,7,Role-Hybrid,15,14,1,0,0,0.9333,1216.3,4.94,5.8542,1.0,1.11,0,0,2
replication,Simple,cplex,0.001,42,Base,15,15,0,0,0,1.0,30.4,1.22,,1.0,2.98,0,0,0
replication,Simple,cplex,0.001,42,Flat-GM,15,15,0,0,0,1.0,64.33,1.14,,1.0,2.67,0,2,2
replication,Simple,cplex,0.001,42,Flat-L2,15,15,0,0,0,1.0,43.05,3.81,,1.0,3.32,0,0,0
replication,Simple,cplex,0.001,42,Role-Hybrid,15,15,0,0,0,1.0,67.19,1.14,,1.0,2.68,0,2,2
replication,Simple,cplex,0.01,42,Base,15,15,0,0,0,1.0,8.3,0.98,,0.9333,2.74,0,0,0
replication,Simple,cplex,0.01,42,Flat-GM,15,15,0,0,0,1.0,1.48,0.96,,0.9333,2.77,0,0,1
replication,Simple,cplex,0.01,42,Flat-L2,15,15,0,0,0,1.0,8.06,0.95,,1.0,2.84,0,0,0
replication,Simple,cplex,0.01,42,Role-Hybrid,15,15,0,0,0,1.0,1.47,0.95,,0.9333,2.68,0,0,1
replication,Simple,gurobi,0.001,7,Base,15,15,0,0,0,1.0,36.14,1.88,,1.0,0.61,0,0,0
replication,Simple,gurobi,0.001,7,Flat-GM,15,15,0,0,0,1.0,37.65,1.95,,0.9333,0.57,0,0,0
replication,Simple,gurobi,0.001,7,Flat-L2,15,15,0,0,0,1.0,48.33,2.45,,1.0,0.63,0,1,1
replication,Simple,gurobi,0.001,7,Role-Hybrid,15,15,0,0,0,1.0,37.36,2.02,,0.9333,0.6,0,0,0
replication,Simple,gurobi,0.01,7,Base,15,15,0,0,0,1.0,7.62,1.56,,1.0,0.73,0,0,0
replication,Simple,gurobi,0.01,7,Flat-GM,15,15,0,0,0,1.0,1.62,1.78,,1.0,0.72,0,0,0
replication,Simple,gurobi,0.01,7,Flat-L2,15,15,0,0,0,1.0,20.1,1.84,,1.0,0.59,0,0,0
replication,Simple,gurobi,0.01,7,Role-Hybrid,15,15,0,0,0,1.0,1.61,1.64,,1.0,0.57,0,0,0
