stage,family,solver,gap,seed,instance,policy,outcome,objective,best_known,relative_excess,best_bound,bound_relative_excess,optimality_claim_contradicted,dual_bound_invalid,optimality_claim_contradicted_strict,dual_bound_invalid_strict,best_known_strict,best_known_from
replication,SG-Ter-Mer,gurobi,0.001,7,instance027,Flat-GM,COMPLETED,-1599411.48562423,-1599730.53394628,0.0001994387900210041,-1599411.4856242323,0.00019943879001954866,False,True,False,True,-1599730.53394628,cplex/Base/replication
replication,SG-Ter-Mer,gurobi,0.001,7,instance046,Role-Hybrid,COMPLETED,-798596.636679728,-799096.714559968,0.0006258039497951169,-798596.6366797284,0.0006258039497946798,False,True,False,True,-798917.347603641,cplex/Flat-GM/replication
replication,SG-Ter-Mer,gurobi,0.01,7,instance046,Role-Hybrid,COMPLETED,-792004.080681149,-799096.714559968,0.008875814090569235,-798844.390217714,0.0003157619567900646,False,True,False,True,-798917.347603641,cplex/Flat-GM/replication
replication,SG-Ter-Mer,cplex,0.001,42,instance068,Flat-GM,COMPLETED,-132907.803880104,-133168.921917577,0.0019608031191738428,-132907.8038801044,0.0019608031191710017,True,True,True,True,-133168.921917577,gurobi/Base/replication
replication,SG-Ter-Mer,cplex,0.01,42,instance068,Flat-GM,COMPLETED,-132907.803880104,-133168.921917577,0.0019608031191738428,-132907.8038801044,0.0019608031191710017,False,True,False,True,-133168.921917577,gurobi/Base/replication
replication,SG-Ter-Mer,cplex,0.001,42,instance068,Role-Hybrid,COMPLETED,-132907.803880104,-133168.921917577,0.0019608031191738428,-132907.80388010442,0.001960803119170783,True,True,True,True,-133168.921917577,gurobi/Base/replication
replication,SG-Ter-Mer,cplex,0.01,42,instance068,Role-Hybrid,COMPLETED,-132907.803880104,-133168.921917577,0.0019608031191738428,-132907.80388010442,0.001960803119170783,False,True,False,True,-133168.921917577,gurobi/Base/replication
replication,SG-Ter-Mer,gurobi,0.001,7,instance068,Role-Hybrid,COMPLETED,-133090.093611428,-133168.921917577,0.0005919422115455106,-133090.09361142787,0.0005919422115463848,False,True,False,True,-133168.921917577,gurobi/Base/replication
replication,SG-Ter-Mer,gurobi,0.001,7,instance092,Base,COMPLETED,12410729.7780109,12389020.7093437,0.0017522828621011715,12410729.778010909,0.001752282862101923,True,True,True,True,12389020.7093437,gurobi/Flat-GM/replication
replication,SG-Ter-Mer,gurobi,0.001,7,instance092,Flat-L2,COMPLETED,12392138.3590779,12389020.7093437,0.00025164617989940105,12392138.359077934,0.00025164617990210727,False,True,False,True,12389020.7093437,gurobi/Flat-GM/replication
replication,SG-Ter-Mer,gurobi,0.01,7,instance092,Flat-L2,COMPLETED,12392138.3590779,12389020.7093437,0.00025164617989940105,12392138.359077934,0.00025164617990210727,False,True,False,True,12389020.7093437,gurobi/Flat-GM/replication
replication,SG-Ter-Mer,gurobi,0.001,7,instance092,Role-Hybrid,COMPLETED,12431799.6671891,12389020.7093437,0.0034529733099192797,12431799.667189172,0.003452973309924993,True,True,True,True,12389020.7093437,gurobi/Flat-GM/replication
replication,SG-Ter-Mer,gurobi,0.01,7,instance092,Role-Hybrid,COMPLETED,12431799.6671891,12389020.7093437,0.0034529733099192797,12431799.667189172,0.003452973309924993,False,True,False,True,12389020.7093437,gurobi/Flat-GM/replication
replication,Simple,cplex,0.001,42,caso05d,Flat-GM,COMPLETED,-275184714.019124,-275835489.299624,0.0023592877122245682,-275184714.0191238,0.0023592877122252166,True,True,True,True,-275835489.299624,gurobi/Flat-L2/replication
replication,Simple,cplex,0.01,42,caso05d,Flat-GM,COMPLETED,-275184714.019124,-275835489.299624,0.0023592877122245682,-275184714.0191238,0.0023592877122252166,False,True,False,True,-275835489.299624,gurobi/Flat-L2/replication
replication,Simple,cplex,0.001,42,caso05d,Role-Hybrid,COMPLETED,-275184714.019124,-275835489.299624,0.0023592877122245682,-275184714.0191238,0.0023592877122252166,True,True,True,True,-275835489.299624,gurobi/Flat-L2/replication
replication,Simple,cplex,0.01,42,caso05d,Role-Hybrid,COMPLETED,-275184714.019124,-275835489.299624,0.0023592877122245682,-275184714.0191238,0.0023592877122252166,False,True,False,True,-275835489.299624,gurobi/Flat-L2/replication
replication,Simple,cplex,0.001,42,caso10e,Flat-GM,COMPLETED,-263192572.341578,-263594525.219076,0.001524890841962419,-263455762.25361615,0.0005264258252121365,True,True,True,True,-263574415.121725,gurobi/Flat-GM/replication
replication,Simple,cplex,0.001,42,caso10e,Role-Hybrid,COMPLETED,-263192572.341578,-263594525.219076,0.001524890841962419,-263455762.25361615,0.0005264258252121365,True,True,True,True,-263574415.121725,gurobi/Flat-GM/replication
replication,Simple,gurobi,0.001,7,caso10e,Flat-L2,COMPLETED,-263304115.011836,-263594525.219076,0.0011017308003595768,-263563660.4012433,0.00011709202915749598,True,True,True,True,-263574415.121725,gurobi/Flat-GM/replication
