stage,family,solver,gap,seed,instance,policies,max_rel_objective_gap,worst_policy,above_target_gap
replication,SG-Ter-Mer,cplex,0.001,42,instance001,4,9.408444154381256e-16,Role-Hybrid,False
replication,SG-Ter-Mer,cplex,0.001,42,instance005,4,0.0,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.001,42,instance014,4,3.681230624244013e-16,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.001,42,instance022,4,1.9866211580942234e-16,Flat-L2,False
replication,SG-Ter-Mer,cplex,0.001,42,instance027,4,2.552273124690793e-05,Flat-L2,False
replication,SG-Ter-Mer,cplex,0.001,42,instance031,4,0.0,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.001,42,instance042,4,0.0,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.001,42,instance046,4,1.2745052874150464e-05,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.001,42,instance051,4,0.0007897524618004575,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.001,42,instance058,4,0.0006179783031077496,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.001,42,instance068,4,0.0019608031191653305,Flat-GM,True
replication,SG-Ter-Mer,cplex,0.001,42,instance072,4,2.4274058911234443e-05,Role-Hybrid,False
replication,SG-Ter-Mer,cplex,0.001,42,instance077,3,1.41704566551191e-14,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.001,42,instance081,4,0.0,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.001,42,instance092,4,2.5558894669571902e-15,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.01,42,instance001,4,0.004343838624931296,Role-Hybrid,False
replication,SG-Ter-Mer,cplex,0.01,42,instance005,4,0.0,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.01,42,instance014,4,3.681230624244013e-16,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.01,42,instance022,4,0.0,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.01,42,instance027,4,0.0010543306288558277,Flat-L2,False
replication,SG-Ter-Mer,cplex,0.01,42,instance031,4,0.0,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.01,42,instance042,4,0.0,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.01,42,instance046,4,1.4710425072247837e-16,Flat-L2,False
replication,SG-Ter-Mer,cplex,0.01,42,instance051,4,8.673935385500292e-16,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.01,42,instance058,4,4.7368566703947e-16,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.01,42,instance068,4,0.0026266280325980304,Role-Hybrid,False
replication,SG-Ter-Mer,cplex,0.01,42,instance072,4,3.693145274237854e-16,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.01,42,instance081,4,0.0023556990294575013,Flat-GM,False
replication,SG-Ter-Mer,cplex,0.01,42,instance092,4,1.951070257169961e-15,Flat-GM,False
replication,SG-Ter-Mer,gurobi,0.001,7,instance001,4,9.761260810170553e-15,Flat-GM,False
replication,SG-Ter-Mer,gurobi,0.001,7,instance005,4,0.00017782432299925425,Flat-GM,False
replication,SG-Ter-Mer,gurobi,0.001,7,instance014,4,1.963322999596807e-15,Flat-L2,False
replication,SG-Ter-Mer,gurobi,0.001,7,instance022,4,0.00021027392688723894,Flat-L2,False
replication,SG-Ter-Mer,gurobi,0.001,7,instance027,4,0.00038644234566303533,Flat-L2,False
replication,SG-Ter-Mer,gurobi,0.001,7,instance031,4,0.0,Flat-GM,False
replication,SG-Ter-Mer,gurobi,0.001,7,instance042,4,0.0,Flat-GM,False
replication,SG-Ter-Mer,gurobi,0.001,7,instance046,4,0.0006258028531397415,Role-Hybrid,False
replication,SG-Ter-Mer,gurobi,0.001,7,instance051,4,6.947032446934404e-16,Role-Hybrid,False
replication,SG-Ter-Mer,gurobi,0.001,7,instance058,4,5.2126267025642864e-05,Flat-L2,False
replication,SG-Ter-Mer,gurobi,0.001,7,instance068,4,0.0006626963950397539,Flat-GM,False
replication,SG-Ter-Mer,gurobi,0.001,7,instance072,4,1.6633912615566024e-15,Flat-GM,False
replication,SG-Ter-Mer,gurobi,0.001,7,instance081,4,2.500837248500599e-15,Flat-L2,False
replication,SG-Ter-Mer,gurobi,0.001,7,instance092,4,0.0017492177378331723,Flat-GM,True
replication,SG-Ter-Mer,gurobi,0.01,7,instance001,4,9.761260810170553e-15,Flat-GM,False
replication,SG-Ter-Mer,gurobi,0.01,7,instance005,4,0.00017782432299925425,Flat-GM,False
replication,SG-Ter-Mer,gurobi,0.01,7,instance014,4,0.0064091899889001215,Role-Hybrid,False
replication,SG-Ter-Mer,gurobi,0.01,7,instance022,4,0.00021027392688723894,Flat-L2,False
