stage,family,solver,gap,seed,policy,endpoint,n_pairs,geometric_mean_ratio,median_ratio,ci_low,ci_high
replication,SG-Ter-Mer,cplex,0.001,42,Flat-GM,time,14,1.0727,1.0192,0.9569,1.2309
replication,SG-Ter-Mer,cplex,0.001,42,Flat-GM,effort,14,1.0772,1.0286,0.9889,1.1772
replication,SG-Ter-Mer,cplex,0.001,42,Flat-L2,time,14,0.9669,0.9761,0.9045,1.037
replication,SG-Ter-Mer,cplex,0.001,42,Flat-L2,effort,14,0.994,0.9884,0.9327,1.0898
replication,SG-Ter-Mer,cplex,0.001,42,Role-Hybrid,time,14,1.0681,1.0033,0.9629,1.2015
replication,SG-Ter-Mer,cplex,0.001,42,Role-Hybrid,effort,14,1.0517,1.0094,0.9691,1.1563
replication,SG-Ter-Mer,cplex,0.01,42,Flat-GM,time,14,1.0468,1.0163,0.9553,1.1641
replication,SG-Ter-Mer,cplex,0.01,42,Flat-GM,effort,14,1.078,1.0199,0.9865,1.1844
replication,SG-Ter-Mer,cplex,0.01,42,Flat-L2,time,14,0.968,0.986,0.8874,1.0695
replication,SG-Ter-Mer,cplex,0.01,42,Flat-L2,effort,14,0.9553,0.9885,0.9176,0.9874
replication,SG-Ter-Mer,cplex,0.01,42,Role-Hybrid,time,14,1.0553,1.0095,0.9535,1.1835
replication,SG-Ter-Mer,cplex,0.01,42,Role-Hybrid,effort,14,1.053,1.0028,0.9768,1.1523
replication,SG-Ter-Mer,gurobi,0.001,7,Flat-GM,time,14,0.8398,0.9841,0.5912,1.0896
replication,SG-Ter-Mer,gurobi,0.001,7,Flat-GM,effort,14,0.777,0.9582,0.5298,1.0589
replication,SG-Ter-Mer,gurobi,0.001,7,Flat-L2,time,14,1.1207,1.0803,0.9411,1.3717
replication,SG-Ter-Mer,gurobi,0.001,7,Flat-L2,effort,14,1.1102,1.0389,0.9324,1.3561
replication,SG-Ter-Mer,gurobi,0.001,7,Role-Hybrid,time,14,0.8402,0.9165,0.6072,1.0859
replication,SG-Ter-Mer,gurobi,0.001,7,Role-Hybrid,effort,14,0.7791,0.8963,0.53,1.0574
replication,SG-Ter-Mer,gurobi,0.01,7,Flat-GM,time,14,0.8345,0.9422,0.5942,1.09
replication,SG-Ter-Mer,gurobi,0.01,7,Flat-GM,effort,14,0.7785,0.8913,0.5333,1.0617
replication,SG-Ter-Mer,gurobi,0.01,7,Flat-L2,time,14,1.1072,1.076,0.9017,1.3786
replication,SG-Ter-Mer,gurobi,0.01,7,Flat-L2,effort,14,1.1153,1.0359,0.9152,1.3763
replication,SG-Ter-Mer,gurobi,0.01,7,Role-Hybrid,time,14,0.8252,0.9273,0.588,1.0675
replication,SG-Ter-Mer,gurobi,0.01,7,Role-Hybrid,effort,14,0.7747,0.8929,0.5263,1.0563
replication,Simple,cplex,0.001,42,Flat-GM,time,15,0.8499,1.0087,0.5472,1.1482
replication,Simple,cplex,0.001,42,Flat-GM,effort,15,0.8373,1.031,0.5311,1.1534
replication,Simple,cplex,0.001,42,Flat-L2,time,15,1.4033,0.9431,0.533,3.4941
replication,Simple,cplex,0.001,42,Flat-L2,effort,15,1.4245,0.9886,0.5239,3.6378
replication,Simple,cplex,0.001,42,Role-Hybrid,time,15,0.8528,1.0216,0.5534,1.1644
replication,Simple,cplex,0.001,42,Role-Hybrid,effort,15,0.8373,1.031,0.5325,1.1449
replication,Simple,cplex,0.01,42,Flat-GM,time,15,0.6283,0.9711,0.3059,1.0227
replication,Simple,cplex,0.01,42,Flat-GM,effort,15,0.6087,0.9071,0.2791,1.0411
replication,Simple,cplex,0.01,42,Flat-L2,time,15,1.2665,0.9915,0.3742,3.7854
replication,Simple,cplex,0.01,42,Flat-L2,effort,15,1.306,0.9944,0.3931,4.2646
replication,Simple,cplex,0.01,42,Role-Hybrid,time,15,0.6231,0.9755,0.3167,1.0082
replication,Simple,cplex,0.01,42,Role-Hybrid,effort,15,0.6087,0.9071,0.2837,1.0412
replication,Simple,gurobi,0.001,7,Flat-GM,time,15,1.0349,1.0371,0.9405,1.1286
replication,Simple,gurobi,0.001,7,Flat-GM,effort,15,1.0019,1.0082,0.9126,1.0986
replication,Simple,gurobi,0.001,7,Flat-L2,time,15,1.5904,1.1064,1.1094,2.427
replication,Simple,gurobi,0.001,7,Flat-L2,effort,15,1.5241,1.0262,1.0493,2.4054
replication,Simple,gurobi,0.001,7,Role-Hybrid,time,15,1.0603,1.032,0.9519,1.1753
replication,Simple,gurobi,0.001,7,Role-Hybrid,effort,15,1.0019,1.0082,0.9116,1.0953
replication,Simple,gurobi,0.01,7,Flat-GM,time,15,0.818,1.0288,0.5012,1.0747
replication,Simple,gurobi,0.01,7,Flat-GM,effort,15,0.7826,0.989,0.4725,1.0296
replication,Simple,gurobi,0.01,7,Flat-L2,time,15,2.3559,1.1039,1.227,4.9263
replication,Simple,gurobi,0.01,7,Flat-L2,effort,15,2.2261,1.0239,1.1555,4.6985
replication,Simple,gurobi,0.01,7,Role-Hybrid,time,15,0.8118,1.0317,0.5002,1.0639
replication,Simple,gurobi,0.01,7,Role-Hybrid,effort,15,0.7826,0.989,0.4713,1.0354
