family,gap,policy,condition,ratio,ci_low,ci_high,n
SG-Ter-Mer,0.001,Flat-GM,"Gurobi, seed 42",0.6824572103825568,0.469892978197416,0.9245166162000956,14
SG-Ter-Mer,0.001,Flat-L2,"Gurobi, seed 42",0.8016987676747246,0.6487146207929109,0.9799028021995924,14
SG-Ter-Mer,0.001,Role-Hybrid,"Gurobi, seed 42",0.7258100088414401,0.4759529945376448,1.0048993592509707,14
SG-Ter-Mer,0.01,Flat-GM,"Gurobi, seed 42",0.6984131298363208,0.4856127469943505,0.9443383185659512,14
SG-Ter-Mer,0.01,Flat-L2,"Gurobi, seed 42",0.8629114946564918,0.721374122738183,1.030155472570629,14
SG-Ter-Mer,0.01,Role-Hybrid,"Gurobi, seed 42",0.7444688749784332,0.4871832304948424,1.0359867477590412,14
Simple,0.001,Flat-GM,"Gurobi, seed 42",1.0631084725943256,0.8893823739349674,1.247206284312302,15
Simple,0.001,Flat-L2,"Gurobi, seed 42",1.385353276568855,0.9031102279783164,2.3311429937104378,15
Simple,0.001,Role-Hybrid,"Gurobi, seed 42",1.0631084725943256,0.8944996364781282,1.2449110924534432,15
Simple,0.01,Flat-GM,"Gurobi, seed 42",0.6307726212432629,0.3116997041216061,1.032447370647483,15
Simple,0.01,Flat-L2,"Gurobi, seed 42",1.7916868853453582,1.0333204381039525,3.54208098825052,15
Simple,0.01,Role-Hybrid,"Gurobi, seed 42",0.6307726212432629,0.3138594388122916,1.0325062899336803,15
SG-Ter-Mer,0.001,Flat-GM,"CPLEX, seed 42",1.0772,0.9889,1.1772,14
SG-Ter-Mer,0.001,Flat-L2,"CPLEX, seed 42",0.994,0.9327,1.0898,14
SG-Ter-Mer,0.001,Role-Hybrid,"CPLEX, seed 42",1.0517,0.9691,1.1563,14
SG-Ter-Mer,0.01,Flat-GM,"CPLEX, seed 42",1.078,0.9865,1.1844,14
SG-Ter-Mer,0.01,Flat-L2,"CPLEX, seed 42",0.9553,0.9176,0.9874,14
SG-Ter-Mer,0.01,Role-Hybrid,"CPLEX, seed 42",1.053,0.9768,1.1523,14
SG-Ter-Mer,0.001,Flat-GM,"Gurobi, seed 7",0.777,0.5298,1.0589,14
SG-Ter-Mer,0.001,Flat-L2,"Gurobi, seed 7",1.1102,0.9324,1.3561,14
SG-Ter-Mer,0.001,Role-Hybrid,"Gurobi, seed 7",0.7791,0.53,1.0574,14
SG-Ter-Mer,0.01,Flat-GM,"Gurobi, seed 7",0.7785,0.5333,1.0617,14
SG-Ter-Mer,0.01,Flat-L2,"Gurobi, seed 7",1.1153,0.9152,1.3763,14
SG-Ter-Mer,0.01,Role-Hybrid,"Gurobi, seed 7",0.7747,0.5263,1.0563,14
Simple,0.001,Flat-GM,"CPLEX, seed 42",0.8373,0.5311,1.1534,15
Simple,0.001,Flat-L2,"CPLEX, seed 42",1.4245,0.5239,3.6378,15
Simple,0.001,Role-Hybrid,"CPLEX, seed 42",0.8373,0.5325,1.1449,15
Simple,0.01,Flat-GM,"CPLEX, seed 42",0.6087,0.2791,1.0411,15
Simple,0.01,Flat-L2,"CPLEX, seed 42",1.306,0.3931,4.2646,15
Simple,0.01,Role-Hybrid,"CPLEX, seed 42",0.6087,0.2837,1.0412,15
Simple,0.001,Flat-GM,"Gurobi, seed 7",1.0019,0.9126,1.0986,15
Simple,0.001,Flat-L2,"Gurobi, seed 7",1.5241,1.0493,2.4054,15
Simple,0.001,Role-Hybrid,"Gurobi, seed 7",1.0019,0.9116,1.0953,15
Simple,0.01,Flat-GM,"Gurobi, seed 7",0.7826,0.4725,1.0296,15
Simple,0.01,Flat-L2,"Gurobi, seed 7",2.2261,1.1555,4.6985,15
Simple,0.01,Role-Hybrid,"Gurobi, seed 7",0.7826,0.4713,1.0354,15
