cell,variant,n_assigned,n_completed,n_stopped,n_other_failures,mean_par10_seconds,work_common_completed_n,recorded_work_zeros,work_rounding_mismatches,max_absolute_row_residual,max_activity_normalized_residual,absolute_1e6_failures,activity_1e8_failures,activity_1e6_failures
gurobi_sgtm_01pct,base,15,15,0,0,134.0754739866,14,0,0,2.38418579101562e-07,8.14419439058229e-11,0,0,0
gurobi_sgtm_01pct,matricial_plano,15,14,1,0,1216.2436666291333,14,5,15,5.7220458984375e-06,1.74751695604419e-13,1,0,0
gurobi_sgtm_01pct,matricial_plano_l2,15,14,1,0,1216.0472931218667,14,4,14,0.00100316293537617,4.42056381795001e-11,3,0,0
gurobi_sgtm_01pct,role_hybrid,15,14,1,0,1216.9061605064,14,5,15,0.000553131103515625,7.20560259774396e-11,3,0,0
gurobi_sgtm_1pct,base,15,15,0,0,116.1521410082,14,0,0,2.38418579101562e-07,8.14419439058229e-11,0,0,0
gurobi_sgtm_1pct,matricial_plano,15,14,1,0,1216.5121214770002,14,5,15,4.9591064453125e-05,1.74751695604419e-13,2,0,0
gurobi_sgtm_1pct,matricial_plano_l2,15,14,1,0,1217.5961727472668,14,4,15,0.00100316293537617,4.42056381795001e-11,3,0,0
gurobi_sgtm_1pct,role_hybrid,15,14,1,0,1217.3351888421334,14,5,15,1.9073486328125e-06,1.2732954592612e-11,2,0,0
gurobi_simple_01pct,base,15,15,0,0,52.003119553933324,15,0,0,9.00498501898994e-06,1.25003231901445e-07,4,3,0
gurobi_simple_01pct,matricial_plano,15,15,0,0,72.984103813,15,0,15,0.00189978629350662,1.18547985649628e-06,11,2,1
gurobi_simple_01pct,matricial_plano_l2,15,15,0,0,33.1714467666,15,0,15,0.000428764149546623,4.01626954037259e-07,14,2,0
gurobi_simple_01pct,role_hybrid,15,15,0,0,72.62886880033332,15,0,15,0.00189978629350662,1.18547985649628e-06,11,2,1
gurobi_simple_1pct,base,15,15,0,0,11.902769620533336,15,0,0,9.00498501898994e-06,1.25003231901445e-07,4,3,0
gurobi_simple_1pct,matricial_plano,15,15,0,0,2.1170371587333334,15,0,15,6.26853434368968e-05,1.37988752306994e-07,10,1,0
gurobi_simple_1pct,matricial_plano_l2,15,15,0,0,20.442722821666667,15,0,14,4.97043290548027,4.01626954037259e-07,14,3,0
gurobi_simple_1pct,role_hybrid,15,15,0,0,2.111891991733333,15,0,15,6.26853434368968e-05,1.37988752306994e-07,10,1,0
