stage,family,solver,gap,seed,policy,n,completed,censored,failed,censored_without_incumbent,completion_rate,par10_mean_s,median_time_completed_s,median_final_gap_censored_pct,verified_rate,median_nonsolver_overhead_s,infrastructure_failures,optimality_claims_contradicted,invalid_dual_bounds
i077,SG-Ter-Mer,cplex,0.01,1,Role-Hybrid,1,1,0,0,0,1.0,718.63,718.63,,1.0,3.52,0,0,0
i077,SG-Ter-Mer,cplex,0.01,2,Flat-GM,1,1,0,0,0,1.0,834.04,834.04,,1.0,2.96,0,0,0
multiseed,Simple,cplex,0.001,2,Base,32,32,0,0,0,1.0,41.76,13.21,,1.0,3.58,0,0,0
multiseed,Simple,cplex,0.001,2,Flat-GM,31,31,0,0,0,1.0,25.17,12.78,,1.0,3.34,0,3,3
multiseed,Simple,cplex,0.001,2,Flat-L2,30,30,0,0,0,1.0,32.01,12.64,,1.0,3.35,0,1,1
multiseed,Simple,cplex,0.001,2,Role-Hybrid,31,31,0,0,0,1.0,25.19,12.73,,1.0,3.56,0,3,3
multiseed,Simple,cplex,0.01,2,Base,36,36,0,0,0,1.0,26.05,10.44,,1.0,3.24,0,0,0
multiseed,Simple,cplex,0.01,2,Flat-GM,38,38,0,0,0,1.0,28.02,11.4,,1.0,3.51,0,2,3
multiseed,Simple,cplex,0.01,2,Flat-L2,37,37,0,0,0,1.0,21.39,10.0,,0.9459,3.39,0,0,1
multiseed,Simple,cplex,0.01,2,Role-Hybrid,37,37,0,0,0,1.0,26.08,10.98,,1.0,3.61,0,2,3
multiseed,Simple,cplex,0.01,3,Base,31,31,0,0,0,1.0,19.1,9.17,,1.0,3.49,0,0,0
multiseed,Simple,cplex,0.01,3,Flat-GM,29,29,0,0,0,1.0,16.42,9.3,,1.0,3.23,0,0,1
multiseed,Simple,cplex,0.01,3,Flat-L2,30,30,0,0,0,1.0,14.93,8.87,,1.0,3.17,0,0,1
multiseed,Simple,cplex,0.01,3,Role-Hybrid,31,31,0,0,0,1.0,25.39,9.45,,1.0,3.32,0,1,2
pilot,Full,cplex,0.001,1,Base,30,26,4,0,0,0.8667,9960.79,61.77,4.7892,1.0,10.61,0,0,0
pilot,Full,cplex,0.01,1,Base,30,27,3,0,0,0.9,7430.33,21.6,7.4301,1.0,9.13,0,0,0
pilot,Full,highs,0.001,1,Base,6,2,2,2,0,0.3333,48000.39,1.18,65.8414,0.6667,0.89,0,0,0
pilot,Full,highs,0.01,1,Base,9,2,5,2,2,0.2222,56000.26,1.17,32.118,0.5556,0.9,0,0,0
pilot,SG-Ter-Mer,cplex,0.001,1,Base,10,10,0,0,0,1.0,472.35,4.44,,1.0,3.31,0,0,0
pilot,SG-Ter-Mer,cplex,0.01,1,Base,10,10,0,0,0,1.0,655.85,2.8,,1.0,3.69,0,0,0
pilot,SG-Ter-Mer,highs,0.001,1,Base,10,10,0,0,0,1.0,645.3,95.66,,1.0,2.05,0,0,0
pilot,SG-Ter-Mer,highs,0.01,1,Base,10,10,0,0,0,1.0,615.95,70.0,,1.0,1.96,0,0,0
pilot,Simple,cplex,0.001,1,Base,10,10,0,0,0,1.0,70.24,10.6,,1.0,3.46,0,0,0
pilot,Simple,cplex,0.01,1,Base,10,10,0,0,0,1.0,19.53,9.97,,1.0,3.68,0,0,0
pilot,Simple,highs,0.001,1,Base,10,5,3,2,2,0.5,37673.8,2086.94,5.7303,0.6,0.54,0,0,0
pilot,Simple,highs,0.01,1,Base,10,2,3,5,0,0.2,58028.41,2142.05,5.2159,0.5,1.07,0,0,0
primary,Simple,cplex,0.001,1,Base,15,15,0,0,0,1.0,19.08,10.85,,1.0,2.87,0,0,0
primary,Simple,cplex,0.001,1,Flat-GM,17,17,0,0,0,1.0,15.94,11.02,,1.0,3.52,0,0,1
primary,Simple,cplex,0.001,1,Flat-L2,16,16,0,0,0,1.0,18.79,12.68,,1.0,3.31,0,0,0
primary,Simple,cplex,0.001,1,Role-Hybrid,17,17,0,0,0,1.0,15.97,11.0,,1.0,3.84,0,0,1
primary,Simple,cplex,0.01,1,Base,412,412,0,0,0,1.0,28.15,10.57,,0.9879,3.25,0,2,3
primary,Simple,cplex,0.01,1,Flat-GM,414,414,0,0,0,1.0,29.78,11.34,,0.9855,3.36,0,4,20
primary,Simple,cplex,0.01,1,Flat-L2,417,417,0,0,0,1.0,27.58,10.35,,0.9712,3.3,0,0,8
primary,Simple,cplex,0.01,1,Role-Hybrid,417,417,0,0,0,1.0,29.42,11.4,,0.9856,3.41,0,4,21
primary,Simple,gurobi,0.001,1,Base,71,71,0,0,0,1.0,19.35,7.04,,1.0,0.56,0,1,1
primary,Simple,gurobi,0.001,1,Flat-GM,73,73,0,0,0,1.0,24.33,4.68,,1.0,0.57,0,0,0
primary,Simple,gurobi,0.001,1,Flat-L2,72,72,0,0,0,1.0,27.38,9.27,,1.0,0.64,0,0,2
primary,Simple,gurobi,0.001,1,Role-Hybrid,73,73,0,0,0,1.0,22.56,4.73,,0.9863,0.62,0,0,0
primary,Simple,gurobi,0.01,1,Base,490,490,0,0,0,1.0,5.43,1.84,,0.9755,0.61,0,2,2
primary,Simple,gurobi,0.01,1,Flat-GM,490,490,0,0,0,1.0,4.96,1.84,,0.9918,0.6,0,0,0
primary,Simple,gurobi,0.01,1,Flat-L2,490,490,0,0,0,1.0,8.52,2.7,,0.9857,0.62,0,0,0
primary,Simple,gurobi,0.01,1,Role-Hybrid,490,490,0,0,0,1.0,4.96,1.85,,0.9918,0.58,0,0,0
smoke,Full,cplex,0.01,1,Base,1,0,1,0,0,0.0,3000.0,,43.2924,1.0,7.91,0,0,0
smoke,Full,gurobi,0.01,1,Base,1,0,1,0,0,0.0,3000.0,,43.4877,1.0,0.79,0,0,0
smoke,Full,highs,0.01,1,Base,1,0,1,0,1,0.0,3000.0,,,0.0,0.33,0,0,0
