stage,family,solver,gap,seed,instance,policy,outcome,objective,best_known,relative_excess,best_bound,bound_relative_excess,optimality_claim_contradicted,dual_bound_invalid,optimality_claim_contradicted_strict,dual_bound_invalid_strict,best_known_strict,best_known_from
primary,Simple,cplex,0.01,1,v1_simple_000023,Flat-L2,COMPLETED,-316732289.719799,-319699711.119846,0.009281902037548622,-319690013.61663884,3.033316224521646e-05,False,True,False,False,-319520664.305798,gurobi/Flat-L2/primary
multiseed,Simple,cplex,0.001,2,v1_simple_000047,Flat-GM,COMPLETED,-563526524.77297,-568940016.411052,0.009515048127974967,-564089243.319097,0.00852598332343409,True,True,True,True,-568940016.411052,cplex/Flat-L2/multiseed
multiseed,Simple,cplex,0.01,2,v1_simple_000047,Flat-GM,COMPLETED,-559848553.976905,-568940016.411052,0.015979650177354608,-564455916.4104778,0.007881498701498482,True,True,True,True,-568940016.411052,cplex/Flat-L2/multiseed
multiseed,Simple,cplex,0.001,2,v1_simple_000047,Role-Hybrid,COMPLETED,-563526524.77297,-568940016.411052,0.009515048127974967,-564089243.319097,0.00852598332343409,True,True,True,True,-568940016.411052,cplex/Flat-L2/multiseed
multiseed,Simple,cplex,0.01,2,v1_simple_000047,Role-Hybrid,COMPLETED,-559848553.976905,-568940016.411052,0.015979650177354608,-564455916.4104778,0.007881498701498482,True,True,True,True,-568940016.411052,cplex/Flat-L2/multiseed
primary,Simple,cplex,0.01,1,v1_simple_000047,Flat-GM,COMPLETED,-559826096.574176,-568940016.411052,0.016019122533106094,-564671496.3069991,0.007502583718718336,True,True,True,True,-568940016.411052,cplex/Flat-L2/multiseed
primary,Simple,cplex,0.01,1,v1_simple_000047,Role-Hybrid,COMPLETED,-559826096.574176,-568940016.411052,0.016019122533106094,-564671496.3069991,0.007502583718718336,True,True,True,True,-568940016.411052,cplex/Flat-L2/multiseed
primary,Simple,cplex,0.01,1,v1_simple_000069,Base,COMPLETED,-293712383.214816,-296410046.755394,0.009101120458323049,-296402967.87660867,2.388204739616626e-05,False,True,False,True,-296410046.755394,gurobi/Flat-GM/primary
primary,Simple,cplex,0.01,1,v1_simple_000069,Role-Hybrid,COMPLETED,-295149130.947032,-296410046.755394,0.004253957725672338,-296327467.7407794,0.0002785972186790572,False,True,False,True,-296410046.755394,gurobi/Flat-GM/primary
primary,Simple,cplex,0.01,1,v1_simple_000074,Flat-GM,COMPLETED,-430973292.778178,-432221880.960407,0.0028887667127232204,-431287453.3103677,0.0021619165785012905,False,True,False,True,-432221880.960407,gurobi/Flat-L2/primary
primary,Simple,cplex,0.01,1,v1_simple_000074,Flat-L2,COMPLETED,-430160680.763253,-432221880.960407,0.004768847409052986,-431792885.3663968,0.000992535576998082,False,True,False,True,-432221880.960407,gurobi/Flat-L2/primary
primary,Simple,cplex,0.01,1,v1_simple_000074,Role-Hybrid,COMPLETED,-430973292.778178,-432221880.960407,0.0028887667127232204,-431287453.3103677,0.0021619165785012905,False,True,False,True,-432221880.960407,gurobi/Flat-L2/primary
primary,Simple,gurobi,0.001,1,v1_simple_000101,Flat-L2,COMPLETED,-675043130.763855,-675092808.71762,7.358685076115828e-05,-675043130.7638547,7.358685076151145e-05,False,True,False,True,-675092808.71762,cplex/Flat-GM/primary
primary,Simple,cplex,0.01,1,v1_simple_000104,Flat-GM,COMPLETED,-469144984.597255,-469641544.831023,0.0010573175206351232,-469312171.5362565,0.0007013291272708725,False,True,False,True,-469641544.831023,cplex/Base/primary
primary,Simple,cplex,0.01,1,v1_simple_000104,Flat-L2,COMPLETED,-469287528.247333,-469641544.831023,0.0007538016761642389,-469454536.62735206,0.0003981934854979759,False,True,False,True,-469641544.831023,cplex/Base/primary
primary,Simple,cplex,0.01,1,v1_simple_000104,Role-Hybrid,COMPLETED,-469144984.597255,-469641544.831023,0.0010573175206351232,-469312171.5362565,0.0007013291272708725,False,True,False,True,-469641544.831023,cplex/Base/primary
primary,Simple,cplex,0.01,1,v1_simple_000123,Flat-GM,COMPLETED,-267989161.13361,-272114712.654855,0.015161074831252406,-270423213.2902187,0.00621612608937381,True,True,True,True,-272114712.654855,gurobi/Flat-L2/primary
primary,Simple,cplex,0.01,1,v1_simple_000123,Role-Hybrid,COMPLETED,-267989161.13361,-272114712.654855,0.015161074831252406,-270423213.2902187,0.00621612608937381,True,True,True,True,-272114712.654855,gurobi/Flat-L2/primary
primary,Simple,cplex,0.01,1,v1_simple_000132,Base,COMPLETED,-176380674.985766,-179602882.439492,0.01794073352253437,-177584663.16747987,0.011237120722113412,True,True,True,True,-179602882.439492,gurobi/Base/primary
primary,Simple,cplex,0.01,1,v1_simple_000145,Flat-GM,COMPLETED,-224493230.51691,-224959360.215873,0.002072061809367319,-224508410.44062603,0.002004583293685768,False,True,False,True,-224959251.196461,gurobi/Flat-GM/primary
primary,Simple,cplex,0.01,1,v1_simple_000145,Flat-L2,COMPLETED,-224743362.341062,-224959360.215873,0.0009601639807462121,-224755958.9041689,0.0009041691419681913,False,True,False,True,-224959251.196461,gurobi/Flat-GM/primary
primary,Simple,cplex,0.01,1,v1_simple_000145,Role-Hybrid,COMPLETED,-224493230.51691,-224959360.215873,0.002072061809367319,-224508410.44062603,0.002004583293685768,False,True,False,True,-224959251.196461,gurobi/Flat-GM/primary
multiseed,Simple,cplex,0.001,2,v1_simple_000179,Flat-GM,COMPLETED,-289247599.173212,-291889217.993867,0.009050073307985266,-289536060.1000708,0.008061818487059186,True,True,True,True,-291888116.132724,gurobi/Flat-GM/primary
multiseed,Simple,cplex,0.01,2,v1_simple_000179,Flat-GM,COMPLETED,-288369561.81685,-291889217.993867,0.012058191807177087,-289945326.5490295,0.006659689104646185,True,True,True,True,-291888116.132724,gurobi/Flat-GM/primary
multiseed,Simple,cplex,0.001,2,v1_simple_000179,Role-Hybrid,COMPLETED,-289247599.173212,-291889217.993867,0.009050073307985266,-289536060.1000708,0.008061818487059186,True,True,True,True,-291888116.132724,gurobi/Flat-GM/primary
multiseed,Simple,cplex,0.01,2,v1_simple_000179,Role-Hybrid,COMPLETED,-288369561.81685,-291889217.993867,0.012058191807177087,-289945326.5490295,0.006659689104646185,True,True,True,True,-291888116.132724,gurobi/Flat-GM/primary
multiseed,Simple,cplex,0.01,3,v1_simple_000179,Role-Hybrid,COMPLETED,-288424513.427585,-291889217.993867,0.011869929934701366,-289582570.38622004,0.007902476232251265,True,True,True,True,-291888116.132724,gurobi/Flat-GM/primary
primary,Simple,cplex,0.01,1,v1_simple_000179,Flat-GM,COMPLETED,-287615828.127782,-291889217.993867,0.014640451248784336,-290026370.68684894,0.006382035348277862,True,True,True,True,-291888116.132724,gurobi/Flat-GM/primary
primary,Simple,cplex,0.01,1,v1_simple_000179,Role-Hybrid,COMPLETED,-287615828.127782,-291889217.993867,0.014640451248784336,-290026370.68684894,0.006382035348277862,True,True,True,True,-291888116.132724,gurobi/Flat-GM/primary
multiseed,Simple,cplex,0.001,2,v1_simple_000189,Flat-GM,COMPLETED,-240435706.394029,-241093603.455706,0.0027288034698850004,-240645194.90697417,0.0018598940092337034,True,True,True,True,-241093494.40543,gurobi/Base/primary
multiseed,Simple,cplex,0.01,2,v1_simple_000189,Flat-GM,COMPLETED,-239825921.743077,-241093603.455706,0.005258047888698509,-240800114.8782903,0.0012173221238929502,False,True,False,True,-241093494.40543,gurobi/Base/primary
multiseed,Simple,cplex,0.01,3,v1_simple_000189,Flat-GM,COMPLETED,-240354301.489427,-241093603.455706,0.003066452015657999,-240800123.14662242,0.0012172878287809886,False,True,False,True,-241093494.40543,gurobi/Base/primary
multiseed,Simple,cplex,0.001,2,v1_simple_000189,Flat-L2,COMPLETED,-240400920.99815,-241093603.455706,0.0028730851736730946,-240601886.55751872,0.002039526935344921,True,True,True,True,-241093494.40543,gurobi/Base/primary
multiseed,Simple,cplex,0.01,2,v1_simple_000189,Flat-L2,COMPLETED,-240325449.078597,-241093603.455706,0.0031861250821203033,-240775646.84777603,0.0013188098040452167,False,True,False,True,-241093494.40543,gurobi/Base/primary
multiseed,Simple,cplex,0.01,3,v1_simple_000189,Flat-L2,COMPLETED,-239370177.371576,-241093603.455706,0.007148369178722815,-240775644.51572734,0.001318819476838899,False,True,False,True,-241093494.40543,gurobi/Base/primary
multiseed,Simple,cplex,0.001,2,v1_simple_000189,Role-Hybrid,COMPLETED,-240435706.394029,-241093603.455706,0.0027288034698850004,-240645194.90697417,0.0018598940092337034,True,True,True,True,-241093494.40543,gurobi/Base/primary
multiseed,Simple,cplex,0.01,2,v1_simple_000189,Role-Hybrid,COMPLETED,-239825921.743077,-241093603.455706,0.005258047888698509,-240800114.8782903,0.0012173221238929502,False,True,False,True,-241093494.40543,gurobi/Base/primary
multiseed,Simple,cplex,0.01,3,v1_simple_000189,Role-Hybrid,COMPLETED,-240354301.489427,-241093603.455706,0.003066452015657999,-240800123.14662242,0.0012172878287809886,False,True,False,True,-241093494.40543,gurobi/Base/primary
primary,Simple,cplex,0.01,1,v1_simple_000189,Flat-GM,COMPLETED,-240354301.489427,-241093603.455706,0.003066452015657999,-240800109.42063537,0.001217344760971848,False,True,False,True,-241093494.40543,gurobi/Base/primary
primary,Simple,cplex,0.01,1,v1_simple_000189,Flat-L2,COMPLETED,-240172905.767642,-241093603.455706,0.003818839134955153,-240775640.43473294,0.001318836403851225,False,True,False,True,-241093494.40543,gurobi/Base/primary
primary,Simple,cplex,0.01,1,v1_simple_000189,Role-Hybrid,COMPLETED,-240354301.489427,-241093603.455706,0.003066452015657999,-240800109.42063537,0.001217344760971848,False,True,False,True,-241093494.40543,gurobi/Base/primary
primary,Simple,cplex,0.01,1,v1_simple_000191,Flat-GM,COMPLETED,-598851032.285797,-604224243.791055,0.008892743977873319,-603237398.6830637,0.001633243151250443,False,True,False,True,-604224243.791055,gurobi/Base/primary
primary,Simple,cplex,0.01,1,v1_simple_000191,Role-Hybrid,COMPLETED,-598851032.285797,-604224243.791055,0.008892743977873319,-603237398.6830637,0.001633243151250443,False,True,False,True,-604224243.791055,gurobi/Base/primary
primary,Simple,cplex,0.01,1,v1_simple_000194,Flat-GM,COMPLETED,-136574650.595383,-136577494.187363,2.082035548338079e-05,-136576318.170432,8.610620204995561e-06,False,True,False,True,-136577494.187363,cplex/Flat-L2/primary
primary,Simple,cplex,0.01,1,v1_simple_000194,Role-Hybrid,COMPLETED,-136574650.595383,-136577494.187363,2.082035548338079e-05,-136576318.170432,8.610620204995561e-06,False,True,False,True,-136577494.187363,cplex/Flat-L2/primary
primary,Simple,cplex,0.01,1,v1_simple_000278,Flat-GM,COMPLETED,-196018861.383828,-197238938.901563,0.006185784229674267,-197234858.48679578,2.0687673488459335e-05,False,True,False,True,-197238938.901563,gurobi/Flat-L2/primary
primary,Simple,cplex,0.01,1,v1_simple_000278,Flat-L2,COMPLETED,-195522126.182428,-197238938.901563,0.008704228124000426,-197234751.34722888,2.123087032116901e-05,False,True,False,True,-197238938.901563,gurobi/Flat-L2/primary
primary,Simple,cplex,0.01,1,v1_simple_000278,Role-Hybrid,COMPLETED,-196018861.383828,-197238938.901563,0.006185784229674267,-197234858.48679578,2.0687673488459335e-05,False,True,False,True,-197238938.901563,gurobi/Flat-L2/primary
primary,Simple,gurobi,0.01,1,v1_simple_000293,Base,COMPLETED,-131722097.600422,-291278309.367585,0.5477792428608461,-131722097.60042198,0.5477792428608462,True,True,True,True,-290877651.525555,gurobi/Flat-L2/primary
primary,Simple,cplex,0.01,1,v1_simple_000313,Base,COMPLETED,-541387084.844035,-548650290.551091,0.013238315612227982,-546800307.6245371,0.003371879972387571,True,True,True,True,-548650290.551091,gurobi/Flat-L2/primary
primary,Simple,cplex,0.01,1,v1_simple_000313,Flat-GM,COMPLETED,-544296550.422453,-548650290.551091,0.007935364664192198,-548452232.4278048,0.0003609915581876187,False,True,False,True,-548650290.551091,gurobi/Flat-L2/primary
primary,Simple,cplex,0.01,1,v1_simple_000313,Role-Hybrid,COMPLETED,-544296550.422453,-548650290.551091,0.007935364664192198,-548452232.4278048,0.0003609915581876187,False,True,False,True,-548650290.551091,gurobi/Flat-L2/primary
primary,Simple,cplex,0.001,1,v1_simple_000343,Flat-GM,COMPLETED,-469523961.814339,-469633162.050231,0.00023252241263217692,-469545818.3275279,0.00018598286867518344,False,True,False,True,-469630611.120404,gurobi/Flat-GM/primary
primary,Simple,cplex,0.01,1,v1_simple_000343,Flat-GM,COMPLETED,-464964942.361505,-469633162.050231,0.009940140658607717,-469557864.3433766,0.0001603330278587723,False,True,False,True,-469630611.120404,gurobi/Flat-GM/primary
primary,Simple,cplex,0.001,1,v1_simple_000343,Role-Hybrid,COMPLETED,-469523961.814339,-469633162.050231,0.00023252241263217692,-469545818.3275279,0.00018598286867518344,False,True,False,True,-469630611.120404,gurobi/Flat-GM/primary
primary,Simple,cplex,0.01,1,v1_simple_000343,Role-Hybrid,COMPLETED,-464964942.361505,-469633162.050231,0.009940140658607717,-469557864.3433766,0.0001603330278587723,False,True,False,True,-469630611.120404,gurobi/Flat-GM/primary
primary,Simple,gurobi,0.001,1,v1_simple_000344,Base,COMPLETED,-242057372.737091,-455295593.907547,0.4683511635602528,-242057372.73709083,0.4683511635602532,True,True,True,True,-455079141.616638,gurobi/Flat-L2/primary
primary,Simple,gurobi,0.01,1,v1_simple_000344,Base,COMPLETED,-242057372.737091,-455295593.907547,0.4683511635602528,-242057372.73709083,0.4683511635602532,True,True,True,True,-455079141.616638,gurobi/Flat-L2/primary
primary,Simple,cplex,0.01,1,v1_simple_000346,Flat-GM,COMPLETED,-371288625.247751,-372086438.670479,0.002144161516820419,-371586505.3596027,0.001343594549327428,False,True,False,True,-372086438.670479,gurobi/Flat-L2/primary
primary,Simple,cplex,0.01,1,v1_simple_000346,Flat-L2,COMPLETED,-370633815.554697,-372086438.670479,0.003903993709022194,-371288830.185871,0.002143610735876239,False,True,False,True,-372086438.670479,gurobi/Flat-L2/primary
primary,Simple,cplex,0.01,1,v1_simple_000346,Role-Hybrid,COMPLETED,-371288625.247751,-372086438.670479,0.002144161516820419,-371586505.3596027,0.001343594549327428,False,True,False,True,-372086438.670479,gurobi/Flat-L2/primary
primary,Simple,cplex,0.01,1,v1_simple_000373,Flat-GM,COMPLETED,-252337640.382789,-252613275.14214,0.001091133311168708,-252338835.14722618,0.001086403692598479,False,True,False,True,-252613275.14214,gurobi/Flat-L2/primary
primary,Simple,cplex,0.01,1,v1_simple_000373,Role-Hybrid,COMPLETED,-252337640.382789,-252613275.14214,0.001091133311168708,-252338835.14722618,0.001086403692598479,False,True,False,True,-252613275.14214,gurobi/Flat-L2/primary
primary,Simple,cplex,0.01,1,v1_simple_000375,Flat-GM,COMPLETED,-308077119.830706,-311051070.324858,0.009560971743469815,-310582812.0456647,0.0015054064231453657,False,True,False,True,-311051070.324858,gurobi/Base/primary
primary,Simple,cplex,0.01,1,v1_simple_000375,Role-Hybrid,COMPLETED,-308077119.830706,-311051070.324858,0.009560971743469815,-310582812.0456647,0.0015054064231453657,False,True,False,True,-311051070.324858,gurobi/Base/primary
primary,Simple,cplex,0.01,1,v1_simple_000401,Flat-GM,COMPLETED,-291281309.049981,-291775410.517232,0.0016934308013657018,-291698508.7125263,0.00026356506385975136,False,True,False,True,-291775410.517232,gurobi/Base/primary
