stage,family,solver,gap,seed,instance,policies,max_rel_objective_gap,worst_policy,above_target_gap
multiseed,Simple,cplex,0.001,2,v1_simple_000012,4,2.2094050316444363e-06,Flat-GM,False
multiseed,Simple,cplex,0.001,2,v1_simple_000013,4,0.00022368431676549093,Flat-L2,False
multiseed,Simple,cplex,0.001,2,v1_simple_000032,4,1.9610834083487694e-16,Flat-GM,False
multiseed,Simple,cplex,0.001,2,v1_simple_000047,4,0.00948785017589275,Flat-GM,True
multiseed,Simple,cplex,0.001,2,v1_simple_000063,4,2.347932706689001e-06,Flat-GM,False
multiseed,Simple,cplex,0.001,2,v1_simple_000076,3,2.164302479860144e-05,Flat-GM,False
multiseed,Simple,cplex,0.001,2,v1_simple_000079,4,1.3973117940079064e-06,Flat-GM,False
multiseed,Simple,cplex,0.001,2,v1_simple_000084,4,2.5026745812601283e-05,Flat-L2,False
multiseed,Simple,cplex,0.001,2,v1_simple_000094,4,1.6929753754002135e-08,Flat-GM,False
multiseed,Simple,cplex,0.001,2,v1_simple_000097,4,0.0008836339244275702,Flat-L2,False
multiseed,Simple,cplex,0.001,2,v1_simple_000113,4,5.731346686998554e-07,Flat-L2,False
multiseed,Simple,cplex,0.001,2,v1_simple_000126,4,1.0332350128848159e-07,Flat-GM,False
multiseed,Simple,cplex,0.001,2,v1_simple_000175,4,0.00011912477936331086,Flat-L2,False
multiseed,Simple,cplex,0.001,2,v1_simple_000176,4,7.165671677937845e-16,Flat-GM,False
multiseed,Simple,cplex,0.001,2,v1_simple_000179,4,0.008856441161566463,Flat-GM,True
multiseed,Simple,cplex,0.001,2,v1_simple_000189,4,0.002415871759078856,Flat-L2,True
multiseed,Simple,cplex,0.001,2,v1_simple_000229,4,6.129318323889251e-05,Flat-GM,False
multiseed,Simple,cplex,0.001,2,v1_simple_000234,4,4.2582442765782154e-05,Flat-L2,False
multiseed,Simple,cplex,0.001,2,v1_simple_000257,4,7.718243556927152e-05,Flat-L2,False
multiseed,Simple,cplex,0.001,2,v1_simple_000295,4,0.0004105737527588717,Flat-L2,False
multiseed,Simple,cplex,0.001,2,v1_simple_000311,4,1.8810515784900382e-07,Flat-GM,False
multiseed,Simple,cplex,0.001,2,v1_simple_000329,4,0.00012692898651239069,Flat-GM,False
multiseed,Simple,cplex,0.001,2,v1_simple_000335,4,1.188518188149676e-08,Flat-L2,False
multiseed,Simple,cplex,0.001,2,v1_simple_000343,4,0.00016673007462114785,Flat-GM,False
multiseed,Simple,cplex,0.001,2,v1_simple_000348,4,1.5983412440646709e-06,Flat-L2,False
multiseed,Simple,cplex,0.001,2,v1_simple_000359,4,9.471993325073267e-05,Flat-L2,False
multiseed,Simple,cplex,0.001,2,v1_simple_000366,4,1.946863744454916e-07,Flat-GM,False
multiseed,Simple,cplex,0.001,2,v1_simple_000381,4,1.826508153459079e-05,Flat-L2,False
multiseed,Simple,cplex,0.001,2,v1_simple_000439,4,0.00010338233786082738,Flat-GM,False
multiseed,Simple,cplex,0.001,2,v1_simple_000450,4,1.1258002855107638e-05,Flat-GM,False
multiseed,Simple,cplex,0.001,2,v1_simple_000479,4,1.993494585704363e-14,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000012,4,2.2094050316444363e-06,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000013,4,0.00022368431676549093,Flat-L2,False
multiseed,Simple,cplex,0.01,2,v1_simple_000032,4,1.9610834083487694e-16,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000047,4,0.012222167369463256,Flat-GM,True
multiseed,Simple,cplex,0.01,2,v1_simple_000055,4,0.005725509933016661,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000063,4,8.949076487345434e-06,Flat-L2,False
multiseed,Simple,cplex,0.01,2,v1_simple_000076,4,0.001063158035403797,Flat-L2,False
multiseed,Simple,cplex,0.01,2,v1_simple_000079,4,1.3973117940079064e-06,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000084,4,0.0021699304934090237,Flat-L2,False
multiseed,Simple,cplex,0.01,2,v1_simple_000094,4,1.6929753754002135e-08,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000097,4,0.0076970457811694,Flat-L2,False
multiseed,Simple,cplex,0.01,2,v1_simple_000113,4,5.731346686998554e-07,Flat-L2,False
multiseed,Simple,cplex,0.01,2,v1_simple_000126,4,1.0332350128848159e-07,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000175,4,0.00011912477936331086,Flat-L2,False
multiseed,Simple,cplex,0.01,2,v1_simple_000176,4,7.165671677937845e-16,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000179,4,0.0045247100586203026,Flat-L2,False
multiseed,Simple,cplex,0.01,2,v1_simple_000189,4,0.0034416402861250327,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000226,4,0.009437757213495266,Flat-L2,False
multiseed,Simple,cplex,0.01,2,v1_simple_000229,4,0.002262144064380806,Flat-L2,False
multiseed,Simple,cplex,0.01,2,v1_simple_000234,4,4.2582442765782154e-05,Flat-L2,False
multiseed,Simple,cplex,0.01,2,v1_simple_000257,4,0.004705952699896719,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000283,4,0.003081935855790458,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000289,4,2.5601282867041785e-06,Flat-L2,False
multiseed,Simple,cplex,0.01,2,v1_simple_000295,4,0.008667420406332284,Flat-L2,False
multiseed,Simple,cplex,0.01,2,v1_simple_000311,4,1.8810515784900382e-07,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000329,4,0.0056960784700170975,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000335,4,0.0006736422416221858,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000343,4,0.005636099861704955,Flat-L2,False
multiseed,Simple,cplex,0.01,2,v1_simple_000348,4,1.5983412440646709e-06,Flat-L2,False
multiseed,Simple,cplex,0.01,2,v1_simple_000359,4,9.471993325073267e-05,Flat-L2,False
multiseed,Simple,cplex,0.01,2,v1_simple_000366,4,0.005692826610318902,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000381,4,0.008102055621137694,Flat-L2,False
multiseed,Simple,cplex,0.01,2,v1_simple_000407,4,1.693365036495363e-08,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000439,4,0.007803530992767978,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000450,4,0.0030190908648468615,Flat-GM,False
multiseed,Simple,cplex,0.01,2,v1_simple_000479,4,1.993494585704363e-14,Flat-GM,False
multiseed,Simple,cplex,0.01,3,v1_simple_000012,4,2.2094050314029324e-06,Flat-GM,False
multiseed,Simple,cplex,0.01,3,v1_simple_000013,4,0.00022373436263197253,Flat-GM,False
multiseed,Simple,cplex,0.01,3,v1_simple_000032,4,1.9610834083487694e-16,Flat-L2,False
multiseed,Simple,cplex,0.01,3,v1_simple_000063,4,0.0006130371539549498,Flat-L2,False
multiseed,Simple,cplex,0.01,3,v1_simple_000076,4,0.005243826794756689,Flat-GM,False
multiseed,Simple,cplex,0.01,3,v1_simple_000079,4,1.3973117940079064e-06,Flat-GM,False
multiseed,Simple,cplex,0.01,3,v1_simple_000084,4,0.001898754722996684,Flat-GM,False
multiseed,Simple,cplex,0.01,3,v1_simple_000094,4,7.302668349057138e-09,Flat-L2,False
multiseed,Simple,cplex,0.01,3,v1_simple_000097,4,0.009251669491392788,Flat-GM,False
multiseed,Simple,cplex,0.01,3,v1_simple_000113,4,0.0031177092042399025,Flat-L2,False
multiseed,Simple,cplex,0.01,3,v1_simple_000126,4,1.2014178913766188e-07,Flat-GM,False
multiseed,Simple,cplex,0.01,3,v1_simple_000175,4,0.00011905619247352405,Flat-L2,False
multiseed,Simple,cplex,0.01,3,v1_simple_000176,4,7.165671677937845e-16,Flat-GM,False
multiseed,Simple,cplex,0.01,3,v1_simple_000179,2,0.004764326902430336,Role-Hybrid,False
multiseed,Simple,cplex,0.01,3,v1_simple_000189,4,0.005239656958115726,Flat-L2,False
multiseed,Simple,cplex,0.01,3,v1_simple_000229,4,0.007558833306914426,Flat-L2,False
multiseed,Simple,cplex,0.01,3,v1_simple_000234,4,4.2513135511266844e-05,Flat-L2,False
multiseed,Simple,cplex,0.01,3,v1_simple_000257,4,7.239762452544239e-07,Flat-L2,False
multiseed,Simple,cplex,0.01,3,v1_simple_000295,4,0.009057425562317041,Flat-GM,False
multiseed,Simple,cplex,0.01,3,v1_simple_000311,4,1.8810515784900382e-07,Flat-GM,False
multiseed,Simple,cplex,0.01,3,v1_simple_000329,4,1.282778684012711e-06,Flat-GM,False
multiseed,Simple,cplex,0.01,3,v1_simple_000335,4,0.0006736422416221858,Flat-GM,False
multiseed,Simple,cplex,0.01,3,v1_simple_000343,4,0.004387711547239472,Flat-GM,False
multiseed,Simple,cplex,0.01,3,v1_simple_000348,4,1.5983412440646709e-06,Flat-L2,False
multiseed,Simple,cplex,0.01,3,v1_simple_000359,4,9.471993325073267e-05,Flat-L2,False
multiseed,Simple,cplex,0.01,3,v1_simple_000366,4,1.9468637428120851e-07,Flat-GM,False
multiseed,Simple,cplex,0.01,3,v1_simple_000381,4,0.00420015537316838,Flat-GM,False
multiseed,Simple,cplex,0.01,3,v1_simple_000439,4,0.002631912393904174,Flat-L2,False
multiseed,Simple,cplex,0.01,3,v1_simple_000450,4,0.00019016543959153682,Flat-GM,False
multiseed,Simple,cplex,0.01,3,v1_simple_000479,4,1.8867002328987716e-14,Flat-GM,False
primary,Simple,cplex,0.001,1,v1_simple_000012,4,2.2094050316444363e-06,Flat-GM,False
primary,Simple,cplex,0.001,1,v1_simple_000063,4,4.007458178219426e-06,Flat-GM,False
primary,Simple,cplex,0.001,1,v1_simple_000079,4,1.397311793849056e-06,Flat-GM,False
primary,Simple,cplex,0.001,1,v1_simple_000084,3,0.0001248998345470305,Flat-GM,False
primary,Simple,cplex,0.001,1,v1_simple_000094,4,7.302668595827196e-09,Flat-GM,False
primary,Simple,cplex,0.001,1,v1_simple_000113,4,5.0621145409949186e-05,Flat-L2,False
primary,Simple,cplex,0.001,1,v1_simple_000160,4,8.19722714313445e-05,Flat-GM,False
primary,Simple,cplex,0.001,1,v1_simple_000176,4,7.165671677937845e-16,Flat-GM,False
primary,Simple,cplex,0.001,1,v1_simple_000234,4,4.3309638279878924e-05,Flat-GM,False
primary,Simple,cplex,0.001,1,v1_simple_000257,4,9.659980108340754e-07,Flat-L2,False
primary,Simple,cplex,0.001,1,v1_simple_000359,4,9.471993325073267e-05,Flat-L2,False
primary,Simple,cplex,0.001,1,v1_simple_000366,4,3.592839150053045e-07,Flat-GM,False
primary,Simple,cplex,0.001,1,v1_simple_000439,4,0.00031867268777671973,Flat-L2,False
primary,Simple,cplex,0.001,1,v1_simple_000470,4,6.679606272124857e-06,Flat-L2,False
primary,Simple,cplex,0.001,1,v1_simple_000479,4,0.0008259964432390374,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000001,4,0.0013242669565304201,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000005,4,0.00795869111270612,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000006,4,0.0029994021086558373,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000009,4,0.006427275625474862,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000010,4,0.0016222318166469827,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000011,4,0.0040749795097754305,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000012,4,2.2094050316444363e-06,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000013,4,0.000223734362631861,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000014,4,6.588983484632096e-05,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000015,4,0.0003392389833244937,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000016,4,0.009755681419303872,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000017,4,0.0,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000018,4,1.6713547734958877e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000019,4,0.00786816538999079,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000020,4,0.005060396267073637,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000021,4,4.397677801926785e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000023,4,0.004314873370574978,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000025,4,2.1877370102599553e-16,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000026,4,9.28888813344057e-15,Flat-GM,False
