stage,family,solver,gap,seed,policy,endpoint,n_pairs,geometric_mean_ratio,median_ratio,ci_low,ci_high
multiseed,Simple,cplex,0.001,2,Flat-GM,time,30,0.8926,0.9438,0.7772,1.0084
multiseed,Simple,cplex,0.001,2,Flat-GM,effort,30,0.8971,0.9503,0.7914,1.0186
multiseed,Simple,cplex,0.001,2,Flat-L2,time,30,0.9915,0.9679,0.8942,1.1138
multiseed,Simple,cplex,0.001,2,Flat-L2,effort,30,1.0007,0.9739,0.8973,1.1304
multiseed,Simple,cplex,0.001,2,Role-Hybrid,time,30,0.8929,0.9472,0.7796,1.0134
multiseed,Simple,cplex,0.001,2,Role-Hybrid,effort,30,0.8971,0.9503,0.7926,1.0194
multiseed,Simple,cplex,0.01,2,Flat-GM,time,36,0.9428,0.9804,0.8334,1.0544
multiseed,Simple,cplex,0.01,2,Flat-GM,effort,36,0.941,0.9817,0.8317,1.05
multiseed,Simple,cplex,0.01,2,Flat-L2,time,36,0.827,0.992,0.6477,1.011
multiseed,Simple,cplex,0.01,2,Flat-L2,effort,36,0.83,0.9987,0.6595,1.0286
multiseed,Simple,cplex,0.01,2,Role-Hybrid,time,36,0.942,0.9789,0.8336,1.0467
multiseed,Simple,cplex,0.01,2,Role-Hybrid,effort,36,0.941,0.9817,0.8302,1.0532
multiseed,Simple,cplex,0.01,3,Flat-GM,time,29,1.0012,0.9761,0.7613,1.3694
multiseed,Simple,cplex,0.01,3,Flat-GM,effort,29,0.9957,0.989,0.7683,1.3602
multiseed,Simple,cplex,0.01,3,Flat-L2,time,29,0.9948,0.9684,0.9192,1.091
multiseed,Simple,cplex,0.01,3,Flat-L2,effort,29,0.9983,0.971,0.9129,1.0987
multiseed,Simple,cplex,0.01,3,Role-Hybrid,time,29,0.9987,0.9847,0.761,1.3656
multiseed,Simple,cplex,0.01,3,Role-Hybrid,effort,29,0.9957,0.989,0.7461,1.3612
primary,Simple,cplex,0.001,1,Flat-GM,time,14,0.9517,0.948,0.8584,1.0585
primary,Simple,cplex,0.001,1,Flat-GM,effort,14,0.9482,0.9388,0.8448,1.0622
primary,Simple,cplex,0.001,1,Flat-L2,time,14,1.0037,0.9783,0.8419,1.2686
primary,Simple,cplex,0.001,1,Flat-L2,effort,14,1.0021,0.99,0.834,1.2552
primary,Simple,cplex,0.001,1,Role-Hybrid,time,14,0.9535,0.9469,0.8585,1.0596
primary,Simple,cplex,0.001,1,Role-Hybrid,effort,14,0.9482,0.9388,0.8522,1.0603
primary,Simple,cplex,0.01,1,Flat-GM,time,408,1.0624,1.0091,0.9924,1.1383
primary,Simple,cplex,0.01,1,Flat-GM,effort,408,1.0581,1.0034,0.9848,1.1374
primary,Simple,cplex,0.01,1,Flat-L2,time,408,0.9645,0.9862,0.8962,1.0351
primary,Simple,cplex,0.01,1,Flat-L2,effort,408,0.9677,0.9873,0.9014,1.0348
primary,Simple,cplex,0.01,1,Role-Hybrid,time,408,1.0624,1.0068,0.9904,1.141
primary,Simple,cplex,0.01,1,Role-Hybrid,effort,408,1.0581,1.0034,0.9902,1.1361
primary,Simple,gurobi,0.001,1,Flat-GM,time,69,0.8433,1.0169,0.7259,0.9593
primary,Simple,gurobi,0.001,1,Flat-GM,effort,69,0.831,0.989,0.7103,0.9437
primary,Simple,gurobi,0.001,1,Flat-L2,time,69,1.4326,1.134,1.1623,1.7803
primary,Simple,gurobi,0.001,1,Flat-L2,effort,69,1.3963,1.1077,1.1443,1.718
primary,Simple,gurobi,0.001,1,Role-Hybrid,time,69,0.8433,1.02,0.7211,0.9622
primary,Simple,gurobi,0.001,1,Role-Hybrid,effort,69,0.831,0.989,0.7182,0.9409
primary,Simple,gurobi,0.01,1,Flat-GM,time,490,0.8988,1.0382,0.8446,0.9547
primary,Simple,gurobi,0.01,1,Flat-GM,effort,490,0.8961,1.0005,0.8405,0.9511
primary,Simple,gurobi,0.01,1,Flat-L2,time,490,1.5889,1.1151,1.4481,1.7437
primary,Simple,gurobi,0.01,1,Flat-L2,effort,490,1.5374,1.0728,1.4037,1.6862
primary,Simple,gurobi,0.01,1,Role-Hybrid,time,490,0.902,1.0363,0.8487,0.9599
primary,Simple,gurobi,0.01,1,Role-Hybrid,effort,490,0.8961,1.0005,0.8452,0.9485
