stage,family,solver,gap,seed,policy,endpoint,n_pairs,geometric_mean_ratio,median_ratio,ci_low,ci_high
primary,Simple,cplex,0.001,1,Flat-GM,time,14,0.9517,0.948,0.8584,1.0585
primary,Simple,cplex,0.001,1,Flat-GM,effort,14,0.9482,0.9388,0.8448,1.0622
primary,Simple,cplex,0.001,1,Flat-L2,time,14,1.0037,0.9783,0.8419,1.2686
primary,Simple,cplex,0.001,1,Flat-L2,effort,14,1.0021,0.99,0.834,1.2552
primary,Simple,cplex,0.001,1,Role-Hybrid,time,14,0.9535,0.9469,0.8585,1.0596
primary,Simple,cplex,0.001,1,Role-Hybrid,effort,14,0.9482,0.9388,0.8522,1.0603
primary,Simple,cplex,0.01,1,Flat-GM,time,382,1.0565,1.0052,0.9873,1.1341
primary,Simple,cplex,0.01,1,Flat-GM,effort,382,1.0515,1.0012,0.9832,1.1224
primary,Simple,cplex,0.01,1,Flat-L2,time,382,0.9598,0.985,0.8901,1.0289
primary,Simple,cplex,0.01,1,Flat-L2,effort,382,0.9632,0.9839,0.896,1.0314
primary,Simple,cplex,0.01,1,Role-Hybrid,time,382,1.0564,1.0042,0.9866,1.1355
primary,Simple,cplex,0.01,1,Role-Hybrid,effort,382,1.0515,1.0012,0.9808,1.1272
primary,Simple,gurobi,0.001,1,Flat-GM,time,61,0.8362,1.018,0.7155,0.9582
primary,Simple,gurobi,0.001,1,Flat-GM,effort,61,0.8193,0.9925,0.6954,0.9404
primary,Simple,gurobi,0.001,1,Flat-L2,time,61,1.5481,1.233,1.2359,1.9688
primary,Simple,gurobi,0.001,1,Flat-L2,effort,61,1.5007,1.1948,1.1884,1.8959
primary,Simple,gurobi,0.001,1,Role-Hybrid,time,61,0.8361,1.023,0.7179,0.9569
primary,Simple,gurobi,0.001,1,Role-Hybrid,effort,61,0.8193,0.9925,0.6983,0.9364
primary,Simple,gurobi,0.01,1,Flat-GM,time,463,0.8969,1.0382,0.8419,0.9513
primary,Simple,gurobi,0.01,1,Flat-GM,effort,463,0.893,1.0005,0.8381,0.946
primary,Simple,gurobi,0.01,1,Flat-L2,time,463,1.5953,1.1137,1.4625,1.7552
primary,Simple,gurobi,0.01,1,Flat-L2,effort,463,1.5432,1.0674,1.4067,1.698
primary,Simple,gurobi,0.01,1,Role-Hybrid,time,463,0.9003,1.0363,0.8454,0.9533
primary,Simple,gurobi,0.01,1,Role-Hybrid,effort,463,0.893,1.0005,0.8402,0.9476
