stage,family,solver,gap,seed,policy,endpoint,n_pairs,geometric_mean_ratio,median_ratio,ci_low,ci_high
primary,Simple,cplex,0.001,1,Flat-GM,time,14,0.9517,0.948,0.8584,1.0585
primary,Simple,cplex,0.001,1,Flat-GM,effort,14,0.9482,0.9388,0.8448,1.0622
primary,Simple,cplex,0.001,1,Flat-L2,time,14,1.0037,0.9783,0.8419,1.2686
primary,Simple,cplex,0.001,1,Flat-L2,effort,14,1.0021,0.99,0.834,1.2552
primary,Simple,cplex,0.001,1,Role-Hybrid,time,14,0.9535,0.9469,0.8585,1.0596
primary,Simple,cplex,0.001,1,Role-Hybrid,effort,14,0.9482,0.9388,0.8522,1.0603
primary,Simple,cplex,0.01,1,Flat-GM,time,408,1.0624,1.0091,0.9924,1.1383
primary,Simple,cplex,0.01,1,Flat-GM,effort,408,1.0581,1.0034,0.9848,1.1374
primary,Simple,cplex,0.01,1,Flat-L2,time,408,0.9645,0.9862,0.8962,1.0351
primary,Simple,cplex,0.01,1,Flat-L2,effort,408,0.9677,0.9873,0.9014,1.0348
primary,Simple,cplex,0.01,1,Role-Hybrid,time,408,1.0624,1.0068,0.9904,1.141
primary,Simple,cplex,0.01,1,Role-Hybrid,effort,408,1.0581,1.0034,0.9902,1.1361
primary,Simple,gurobi,0.001,1,Flat-GM,time,69,0.8433,1.0169,0.7259,0.9593
primary,Simple,gurobi,0.001,1,Flat-GM,effort,69,0.831,0.989,0.7103,0.9437
primary,Simple,gurobi,0.001,1,Flat-L2,time,69,1.4326,1.134,1.1623,1.7803
primary,Simple,gurobi,0.001,1,Flat-L2,effort,69,1.3963,1.1077,1.1443,1.718
primary,Simple,gurobi,0.001,1,Role-Hybrid,time,69,0.8433,1.02,0.7211,0.9622
primary,Simple,gurobi,0.001,1,Role-Hybrid,effort,69,0.831,0.989,0.7182,0.9409
primary,Simple,gurobi,0.01,1,Flat-GM,time,490,0.8988,1.0382,0.8446,0.9547
primary,Simple,gurobi,0.01,1,Flat-GM,effort,490,0.8961,1.0005,0.8405,0.9511
primary,Simple,gurobi,0.01,1,Flat-L2,time,490,1.5889,1.1151,1.4481,1.7437
primary,Simple,gurobi,0.01,1,Flat-L2,effort,490,1.5374,1.0728,1.4037,1.6862
primary,Simple,gurobi,0.01,1,Role-Hybrid,time,490,0.902,1.0363,0.8487,0.9599
primary,Simple,gurobi,0.01,1,Role-Hybrid,effort,490,0.8961,1.0005,0.8452,0.9485
