family,solver,gap,n,completed_by_1800s,completed_by_3600s,completed_by_7200s,completed_at_cap_7200
Full,gurobi,0.01,500,0.828,0.864,,
Full,gurobi,0.001,500,0.676,0.758,,
SG-Ter-Mer,gurobi,0.01,500,0.982,0.986,,
SG-Ter-Mer,gurobi,0.001,500,0.966,0.972,,
Simple,gurobi,0.01,500,1.0,1.0,,
Simple,gurobi,0.001,500,1.0,1.0,,
Full,cplex,0.001,30,0.8,0.8333,0.8667,0.8667
Full,cplex,0.01,30,0.8667,0.8667,0.9,0.9
Full,highs,0.001,4,0.5,0.5,0.5,0.5
Full,highs,0.01,8,0.25,0.25,0.25,0.25
SG-Ter-Mer,cplex,0.001,10,0.9,0.9,1.0,1.0
SG-Ter-Mer,cplex,0.01,10,0.9,0.9,1.0,1.0
SG-Ter-Mer,highs,0.001,10,0.9,0.9,1.0,1.0
SG-Ter-Mer,highs,0.01,10,0.9,0.9,1.0,1.0
Simple,cplex,0.001,10,1.0,1.0,1.0,1.0
Simple,cplex,0.01,10,1.0,1.0,1.0,1.0
Simple,highs,0.001,10,0.2,0.3,0.5,0.5
Simple,highs,0.01,10,0.1,0.1,0.2,0.2
Full,gurobi-calibration-subset,0.01,30,0.8667,0.8667,,
Full,gurobi-calibration-subset,0.001,30,0.8333,0.8333,,
SG-Ter-Mer,gurobi-calibration-subset,0.01,10,1.0,1.0,,
SG-Ter-Mer,gurobi-calibration-subset,0.001,10,1.0,1.0,,
Simple,gurobi-calibration-subset,0.01,10,1.0,1.0,,
Simple,gurobi-calibration-subset,0.001,10,1.0,1.0,,
