family,instance,sha256,order,role,multiseed
Simple,v1_simple_000361,8507d0caf93eae536099b676f2c93503b59c41a1783ad0e885b66af2fc8a23de,0,calibration,False
Simple,v1_simple_000046,b96d47c31bcf44febfa276c8ede161e736947ab75523b5d7c2078d3cbb4b9539,1,calibration,False
Simple,v1_simple_000147,a784159ae2df778dc0abe13b2030b09d98b021a86cb2792dbad0e57e31f67fc8,2,calibration,False
Simple,v1_simple_000095,93e7eb55973d6f3e541ec0de2eecf0b25f0fcaef52d45fdc77b3f1cb47688bbd,3,calibration,False
Simple,v1_simple_000034,3d2d4428bd18744a94466f659b3917d5bbceb77bcde3f64da262e99e0cd561e1,4,calibration,False
Simple,v1_simple_000431,969d4dc8170d30b7a76e9476e1bd360f43a61c751033eb1b22d5704cd9b52904,5,calibration,False
Simple,v1_simple_000305,59aba46064b5088f1c428b20c8df3cdea34572bd61da96ade0d551c364d68ffd,6,calibration,False
Simple,v1_simple_000272,fef2c94ad70fb96fc2388fc4b5a8ba960b528a6f82234e6853e46e87973bd212,7,calibration,False
Simple,v1_simple_000265,c9c7080a3ae59d9afd6b95299d9de4159be42d4e5e892d8506f699570062dadf,8,calibration,False
Simple,v1_simple_000204,be8c5deec6ebf3ffc3c1c30ed11e92a3192fd7ec28296c46490c18d9a9ac703d,9,calibration,False
Simple,v1_simple_000359,ad9a154c0636b92ac21f08bf44303026231c77a880bdd9e8180d11e3c21fbbbb,10,evaluation,True
Simple,v1_simple_000012,0c2c72b533324dfea3d052c3ed42b04e87fe636e372c4f4d5986f5b09a968a8b,11,evaluation,True
Simple,v1_simple_000234,937a17bc28995fa5baccd671c9c1ca8eb0aa68eed027687d937bcb99a016be15,12,evaluation,True
Simple,v1_simple_000366,827fab57b30d95353d93e4bf17699ba1c8963f2d44ef3420286b29c52c3ac7ee,13,evaluation,True
Simple,v1_simple_000113,b040cf40dae5fef473217ee10af2ce20f4820660339a94463b5b0e443ff50ce2,14,evaluation,True
Simple,v1_simple_000094,d31b717dc907b584d86079494de4ddbbde292dcde63c338aed5a23ef08c8508e,15,evaluation,True
Simple,v1_simple_000176,4a2b20fe869007f63e01ac1e225bb484fe4193af301d12c97a2947a8e810f3ad,16,evaluation,True
