family,pool_version,instance,log,threads,mipgap,timelimit,status,time,work,final_gap_pct,t_gap1,integer_vars,t_gap01
Simple,sealed release,v1_simple_000001,hist_banco_base/simple/part_000_of_100/logs/v1_simple_000001_base.log,1,0.001,3600.0,OPTIMAL,18.4,19.9,0.0998,17.0,2160,18.4
Simple,sealed release,v1_simple_000101,hist_banco_base/simple/part_000_of_100/logs/v1_simple_000101_base.log,1,0.001,3600.0,OPTIMAL,178.75,216.86,0.0999,5.0,2160,178.75
Simple,sealed release,v1_simple_000201,hist_banco_base/simple/part_000_of_100/logs/v1_simple_000201_base.log,1,0.001,3600.0,OPTIMAL,17.35,18.65,0.005,17.0,2160,17.35
Simple,sealed release,v1_simple_000301,hist_banco_base/simple/part_000_of_100/logs/v1_simple_000301_base.log,1,0.001,3600.0,OPTIMAL,2.4,2.58,0.0,2.0,2160,2.4
Simple,sealed release,v1_simple_000401,hist_banco_base/simple/part_000_of_100/logs/v1_simple_000401_base.log,1,0.001,3600.0,OPTIMAL,13.39,15.62,0.0892,13.0,2160,13.39
Simple,sealed release,v1_simple_000002,hist_banco_base/simple/part_001_of_100/logs/v1_simple_000002_base.log,1,0.001,3600.0,OPTIMAL,976.54,1187.97,0.0999,20.0,2160,976.54
Simple,sealed release,v1_simple_000102,hist_banco_base/simple/part_001_of_100/logs/v1_simple_000102_base.log,1,0.001,3600.0,OPTIMAL,1.5,1.82,0.0216,1.0,2160,1.5
Simple,sealed release,v1_simple_000202,hist_banco_base/simple/part_001_of_100/logs/v1_simple_000202_base.log,1,0.001,3600.0,OPTIMAL,15.01,16.76,0.0975,14.0,2160,15.01
Simple,sealed release,v1_simple_000302,hist_banco_base/simple/part_001_of_100/logs/v1_simple_000302_base.log,1,0.001,3600.0,OPTIMAL,0.5,0.54,0.0608,0.5,2160,0.5
Simple,sealed release,v1_simple_000402,hist_banco_base/simple/part_001_of_100/logs/v1_simple_000402_base.log,1,0.001,3600.0,OPTIMAL,40.89,46.55,0.0817,1.0,2160,40.89
Simple,sealed release,v1_simple_000003,hist_banco_base/simple/part_002_of_100/logs/v1_simple_000003_base.log,1,0.001,3600.0,OPTIMAL,13.97,16.36,0.0156,2.0,2160,13.97
Simple,sealed release,v1_simple_000103,hist_banco_base/simple/part_002_of_100/logs/v1_simple_000103_base.log,1,0.001,3600.0,OPTIMAL,1.52,1.88,0.0171,1.0,2160,1.52
Simple,sealed release,v1_simple_000203,hist_banco_base/simple/part_002_of_100/logs/v1_simple_000203_base.log,1,0.001,3600.0,OPTIMAL,3.72,3.78,0.0022,1.0,2160,3.72
Simple,sealed release,v1_simple_000303,hist_banco_base/simple/part_002_of_100/logs/v1_simple_000303_base.log,1,0.001,3600.0,OPTIMAL,1.71,1.54,0.0206,1.0,2160,1.71
Simple,sealed release,v1_simple_000403,hist_banco_base/simple/part_002_of_100/logs/v1_simple_000403_base.log,1,0.001,3600.0,OPTIMAL,33.88,37.93,0.0983,18.0,2160,33.88
Simple,sealed release,v1_simple_000004,hist_banco_base/simple/part_003_of_100/logs/v1_simple_000004_base.log,1,0.001,3600.0,OPTIMAL,16.03,19.11,0.0169,2.0,2160,16.03
Simple,sealed release,v1_simple_000104,hist_banco_base/simple/part_003_of_100/logs/v1_simple_000104_base.log,1,0.001,3600.0,OPTIMAL,3.93,3.98,0.0836,1.0,2160,3.93
Simple,sealed release,v1_simple_000204,hist_banco_base/simple/part_003_of_100/logs/v1_simple_000204_base.log,1,0.001,3600.0,OPTIMAL,208.22,216.08,0.0852,2.0,2160,208.22
Simple,sealed release,v1_simple_000304,hist_banco_base/simple/part_003_of_100/logs/v1_simple_000304_base.log,1,0.001,3600.0,OPTIMAL,20.02,23.67,0.0817,14.0,2160,20.02
Simple,sealed release,v1_simple_000404,hist_banco_base/simple/part_003_of_100/logs/v1_simple_000404_base.log,1,0.001,3600.0,OPTIMAL,2.88,3.13,0.0171,2.0,2160,2.88
Simple,sealed release,v1_simple_000005,hist_banco_base/simple/part_004_of_100/logs/v1_simple_000005_base.log,1,0.001,3600.0,OPTIMAL,12.13,12.85,0.0807,2.0,2160,12.13
Simple,sealed release,v1_simple_000105,hist_banco_base/simple/part_004_of_100/logs/v1_simple_000105_base.log,1,0.001,3600.0,OPTIMAL,3.46,3.22,0.001,3.0,2160,3.46
Simple,sealed release,v1_simple_000205,hist_banco_base/simple/part_004_of_100/logs/v1_simple_000205_base.log,1,0.001,3600.0,OPTIMAL,2.44,2.74,0.0178,2.0,2160,2.44
Simple,sealed release,v1_simple_000305,hist_banco_base/simple/part_004_of_100/logs/v1_simple_000305_base.log,1,0.001,3600.0,OPTIMAL,2.08,2.31,0.0236,2.0,2160,2.08
Simple,sealed release,v1_simple_000405,hist_banco_base/simple/part_004_of_100/logs/v1_simple_000405_base.log,1,0.001,3600.0,OPTIMAL,1.35,1.59,0.0084,1.0,2160,1.35
Simple,sealed release,v1_simple_000006,hist_banco_base/simple/part_005_of_100/logs/v1_simple_000006_base.log,1,0.001,3600.0,OPTIMAL,15.07,17.25,0.0999,15.0,2160,15.07
Simple,sealed release,v1_simple_000106,hist_banco_base/simple/part_005_of_100/logs/v1_simple_000106_base.log,1,0.001,3600.0,OPTIMAL,8.42,8.67,0.0676,8.0,2160,8.42
Simple,sealed release,v1_simple_000206,hist_banco_base/simple/part_005_of_100/logs/v1_simple_000206_base.log,1,0.001,3600.0,OPTIMAL,161.48,188.91,0.0531,1.0,2160,161.48
Simple,sealed release,v1_simple_000306,hist_banco_base/simple/part_005_of_100/logs/v1_simple_000306_base.log,1,0.001,3600.0,OPTIMAL,566.41,614.17,0.1,1.0,2160,566.41
Simple,sealed release,v1_simple_000406,hist_banco_base/simple/part_005_of_100/logs/v1_simple_000406_base.log,1,0.001,3600.0,OPTIMAL,5.78,6.02,0.0574,1.0,2160,5.78
Simple,sealed release,v1_simple_000007,hist_banco_base/simple/part_006_of_100/logs/v1_simple_000007_base.log,1,0.001,3600.0,OPTIMAL,1.2,1.53,0.0012,1.0,2160,1.2
Simple,sealed release,v1_simple_000107,hist_banco_base/simple/part_006_of_100/logs/v1_simple_000107_base.log,1,0.001,3600.0,OPTIMAL,12.33,17.96,0.0995,1.0,2160,12.33
Simple,sealed release,v1_simple_000207,hist_banco_base/simple/part_006_of_100/logs/v1_simple_000207_base.log,1,0.001,3600.0,OPTIMAL,1.4,1.75,0.0592,1.0,2160,1.4
Simple,sealed release,v1_simple_000307,hist_banco_base/simple/part_006_of_100/logs/v1_simple_000307_base.log,1,0.001,3600.0,OPTIMAL,1.43,1.72,0.066,1.0,2160,1.43
Simple,sealed release,v1_simple_000407,hist_banco_base/simple/part_006_of_100/logs/v1_simple_000407_base.log,1,0.001,3600.0,OPTIMAL,3.22,3.55,0.0,1.0,2160,3.22
Simple,sealed release,v1_simple_000008,hist_banco_base/simple/part_007_of_100/logs/v1_simple_000008_base.log,1,0.001,3600.0,OPTIMAL,2.14,1.92,0.0367,2.0,2160,2.14
Simple,sealed release,v1_simple_000108,hist_banco_base/simple/part_007_of_100/logs/v1_simple_000108_base.log,1,0.001,3600.0,OPTIMAL,1.92,2.26,0.0534,1.0,2160,1.92
Simple,sealed release,v1_simple_000208,hist_banco_base/simple/part_007_of_100/logs/v1_simple_000208_base.log,1,0.001,3600.0,OPTIMAL,1.49,1.58,0.0,1.0,2160,1.49
Simple,sealed release,v1_simple_000308,hist_banco_base/simple/part_007_of_100/logs/v1_simple_000308_base.log,1,0.001,3600.0,OPTIMAL,7.63,8.66,0.0672,1.0,2160,7.63
Simple,sealed release,v1_simple_000408,hist_banco_base/simple/part_007_of_100/logs/v1_simple_000408_base.log,1,0.001,3600.0,OPTIMAL,20.32,25.15,0.0952,1.0,2160,20.32
Simple,sealed release,v1_simple_000009,hist_banco_base/simple/part_008_of_100/logs/v1_simple_000009_base.log,1,0.001,3600.0,OPTIMAL,1318.63,1419.08,0.1,1.0,2160,1318.63
Simple,sealed release,v1_simple_000109,hist_banco_base/simple/part_008_of_100/logs/v1_simple_000109_base.log,1,0.001,3600.0,OPTIMAL,1.75,2.2,0.0244,1.0,2160,1.75
Simple,sealed release,v1_simple_000209,hist_banco_base/simple/part_008_of_100/logs/v1_simple_000209_base.log,1,0.001,3600.0,OPTIMAL,1.61,1.99,0.0106,1.0,2160,1.61
Simple,sealed release,v1_simple_000309,hist_banco_base/simple/part_008_of_100/logs/v1_simple_000309_base.log,1,0.001,3600.0,OPTIMAL,10.82,13.22,0.0457,10.0,2160,10.82
Simple,sealed release,v1_simple_000409,hist_banco_base/simple/part_008_of_100/logs/v1_simple_000409_base.log,1,0.001,3600.0,OPTIMAL,7.94,9.61,0.0982,1.0,2160,7.94
Simple,sealed release,v1_simple_000010,hist_banco_base/simple/part_009_of_100/logs/v1_simple_000010_base.log,1,0.001,3600.0,OPTIMAL,289.29,295.01,0.1,26.0,2160,289.29
