run_id,stage,shard,order,family,instance,instance_path,instance_sha256,policy,solver,gap,seed,cap_s,threads
pilot-highs-simple-v1_simple_000361-Base-g0.01-s1,pilot,0,0,Simple,v1_simple_000361,data/benchmark-v1/simple/v1_simple_000361.txt,8507d0caf93eae536099b676f2c93503b59c41a1783ad0e885b66af2fc8a23de,Base,highs,0.01,1,7200.0,1
pilot-highs-simple-v1_simple_000361-Base-g0.001-s1,pilot,0,1,Simple,v1_simple_000361,data/benchmark-v1/simple/v1_simple_000361.txt,8507d0caf93eae536099b676f2c93503b59c41a1783ad0e885b66af2fc8a23de,Base,highs,0.001,1,7200.0,1
pilot-highs-simple-v1_simple_000046-Base-g0.01-s1,pilot,1,2,Simple,v1_simple_000046,data/benchmark-v1/simple/v1_simple_000046.txt,b96d47c31bcf44febfa276c8ede161e736947ab75523b5d7c2078d3cbb4b9539,Base,highs,0.01,1,7200.0,1
pilot-highs-simple-v1_simple_000046-Base-g0.001-s1,pilot,1,3,Simple,v1_simple_000046,data/benchmark-v1/simple/v1_simple_000046.txt,b96d47c31bcf44febfa276c8ede161e736947ab75523b5d7c2078d3cbb4b9539,Base,highs,0.001,1,7200.0,1
pilot-highs-simple-v1_simple_000147-Base-g0.01-s1,pilot,2,4,Simple,v1_simple_000147,data/benchmark-v1/simple/v1_simple_000147.txt,a784159ae2df778dc0abe13b2030b09d98b021a86cb2792dbad0e57e31f67fc8,Base,highs,0.01,1,7200.0,1
pilot-highs-simple-v1_simple_000147-Base-g0.001-s1,pilot,2,5,Simple,v1_simple_000147,data/benchmark-v1/simple/v1_simple_000147.txt,a784159ae2df778dc0abe13b2030b09d98b021a86cb2792dbad0e57e31f67fc8,Base,highs,0.001,1,7200.0,1
pilot-highs-simple-v1_simple_000095-Base-g0.01-s1,pilot,3,6,Simple,v1_simple_000095,data/benchmark-v1/simple/v1_simple_000095.txt,93e7eb55973d6f3e541ec0de2eecf0b25f0fcaef52d45fdc77b3f1cb47688bbd,Base,highs,0.01,1,7200.0,1
pilot-highs-simple-v1_simple_000095-Base-g0.001-s1,pilot,3,7,Simple,v1_simple_000095,data/benchmark-v1/simple/v1_simple_000095.txt,93e7eb55973d6f3e541ec0de2eecf0b25f0fcaef52d45fdc77b3f1cb47688bbd,Base,highs,0.001,1,7200.0,1
pilot-highs-simple-v1_simple_000034-Base-g0.01-s1,pilot,4,8,Simple,v1_simple_000034,data/benchmark-v1/simple/v1_simple_000034.txt,3d2d4428bd18744a94466f659b3917d5bbceb77bcde3f64da262e99e0cd561e1,Base,highs,0.01,1,7200.0,1
pilot-highs-simple-v1_simple_000034-Base-g0.001-s1,pilot,4,9,Simple,v1_simple_000034,data/benchmark-v1/simple/v1_simple_000034.txt,3d2d4428bd18744a94466f659b3917d5bbceb77bcde3f64da262e99e0cd561e1,Base,highs,0.001,1,7200.0,1
pilot-highs-simple-v1_simple_000431-Base-g0.01-s1,pilot,5,10,Simple,v1_simple_000431,data/benchmark-v1/simple/v1_simple_000431.txt,969d4dc8170d30b7a76e9476e1bd360f43a61c751033eb1b22d5704cd9b52904,Base,highs,0.01,1,7200.0,1
pilot-highs-simple-v1_simple_000431-Base-g0.001-s1,pilot,5,11,Simple,v1_simple_000431,data/benchmark-v1/simple/v1_simple_000431.txt,969d4dc8170d30b7a76e9476e1bd360f43a61c751033eb1b22d5704cd9b52904,Base,highs,0.001,1,7200.0,1
pilot-highs-simple-v1_simple_000305-Base-g0.01-s1,pilot,6,12,Simple,v1_simple_000305,data/benchmark-v1/simple/v1_simple_000305.txt,59aba46064b5088f1c428b20c8df3cdea34572bd61da96ade0d551c364d68ffd,Base,highs,0.01,1,7200.0,1
pilot-highs-simple-v1_simple_000305-Base-g0.001-s1,pilot,6,13,Simple,v1_simple_000305,data/benchmark-v1/simple/v1_simple_000305.txt,59aba46064b5088f1c428b20c8df3cdea34572bd61da96ade0d551c364d68ffd,Base,highs,0.001,1,7200.0,1
pilot-highs-simple-v1_simple_000272-Base-g0.01-s1,pilot,7,14,Simple,v1_simple_000272,data/benchmark-v1/simple/v1_simple_000272.txt,fef2c94ad70fb96fc2388fc4b5a8ba960b528a6f82234e6853e46e87973bd212,Base,highs,0.01,1,7200.0,1
