run_id,stage,shard,order,family,instance,instance_path,instance_sha256,policy,solver,gap,seed,cap_s,threads
primary-highs-simple-v1_simple_000359-Base-g0.01-s1,primary,0,0,Simple,v1_simple_000359,data/benchmark-v1/simple/v1_simple_000359.txt,ad9a154c0636b92ac21f08bf44303026231c77a880bdd9e8180d11e3c21fbbbb,Base,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000359-Role-Hybrid-g0.01-s1,primary,0,1,Simple,v1_simple_000359,data/benchmark-v1/simple/v1_simple_000359.txt,ad9a154c0636b92ac21f08bf44303026231c77a880bdd9e8180d11e3c21fbbbb,Role-Hybrid,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000359-Flat-L2-g0.01-s1,primary,0,2,Simple,v1_simple_000359,data/benchmark-v1/simple/v1_simple_000359.txt,ad9a154c0636b92ac21f08bf44303026231c77a880bdd9e8180d11e3c21fbbbb,Flat-L2,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000359-Flat-GM-g0.01-s1,primary,0,3,Simple,v1_simple_000359,data/benchmark-v1/simple/v1_simple_000359.txt,ad9a154c0636b92ac21f08bf44303026231c77a880bdd9e8180d11e3c21fbbbb,Flat-GM,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000012-Flat-L2-g0.01-s1,primary,0,4,Simple,v1_simple_000012,data/benchmark-v1/simple/v1_simple_000012.txt,0c2c72b533324dfea3d052c3ed42b04e87fe636e372c4f4d5986f5b09a968a8b,Flat-L2,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000012-Base-g0.01-s1,primary,0,5,Simple,v1_simple_000012,data/benchmark-v1/simple/v1_simple_000012.txt,0c2c72b533324dfea3d052c3ed42b04e87fe636e372c4f4d5986f5b09a968a8b,Base,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000012-Role-Hybrid-g0.01-s1,primary,0,6,Simple,v1_simple_000012,data/benchmark-v1/simple/v1_simple_000012.txt,0c2c72b533324dfea3d052c3ed42b04e87fe636e372c4f4d5986f5b09a968a8b,Role-Hybrid,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000012-Flat-GM-g0.01-s1,primary,0,7,Simple,v1_simple_000012,data/benchmark-v1/simple/v1_simple_000012.txt,0c2c72b533324dfea3d052c3ed42b04e87fe636e372c4f4d5986f5b09a968a8b,Flat-GM,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000234-Role-Hybrid-g0.01-s1,primary,0,8,Simple,v1_simple_000234,data/benchmark-v1/simple/v1_simple_000234.txt,937a17bc28995fa5baccd671c9c1ca8eb0aa68eed027687d937bcb99a016be15,Role-Hybrid,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000234-Flat-L2-g0.01-s1,primary,0,9,Simple,v1_simple_000234,data/benchmark-v1/simple/v1_simple_000234.txt,937a17bc28995fa5baccd671c9c1ca8eb0aa68eed027687d937bcb99a016be15,Flat-L2,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000234-Flat-GM-g0.01-s1,primary,0,10,Simple,v1_simple_000234,data/benchmark-v1/simple/v1_simple_000234.txt,937a17bc28995fa5baccd671c9c1ca8eb0aa68eed027687d937bcb99a016be15,Flat-GM,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000234-Base-g0.01-s1,primary,0,11,Simple,v1_simple_000234,data/benchmark-v1/simple/v1_simple_000234.txt,937a17bc28995fa5baccd671c9c1ca8eb0aa68eed027687d937bcb99a016be15,Base,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000366-Base-g0.01-s1,primary,0,12,Simple,v1_simple_000366,data/benchmark-v1/simple/v1_simple_000366.txt,827fab57b30d95353d93e4bf17699ba1c8963f2d44ef3420286b29c52c3ac7ee,Base,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000366-Role-Hybrid-g0.01-s1,primary,0,13,Simple,v1_simple_000366,data/benchmark-v1/simple/v1_simple_000366.txt,827fab57b30d95353d93e4bf17699ba1c8963f2d44ef3420286b29c52c3ac7ee,Role-Hybrid,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000366-Flat-GM-g0.01-s1,primary,0,14,Simple,v1_simple_000366,data/benchmark-v1/simple/v1_simple_000366.txt,827fab57b30d95353d93e4bf17699ba1c8963f2d44ef3420286b29c52c3ac7ee,Flat-GM,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000366-Flat-L2-g0.01-s1,primary,0,15,Simple,v1_simple_000366,data/benchmark-v1/simple/v1_simple_000366.txt,827fab57b30d95353d93e4bf17699ba1c8963f2d44ef3420286b29c52c3ac7ee,Flat-L2,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000113-Role-Hybrid-g0.01-s1,primary,0,16,Simple,v1_simple_000113,data/benchmark-v1/simple/v1_simple_000113.txt,b040cf40dae5fef473217ee10af2ce20f4820660339a94463b5b0e443ff50ce2,Role-Hybrid,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000113-Base-g0.01-s1,primary,0,17,Simple,v1_simple_000113,data/benchmark-v1/simple/v1_simple_000113.txt,b040cf40dae5fef473217ee10af2ce20f4820660339a94463b5b0e443ff50ce2,Base,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000113-Flat-L2-g0.01-s1,primary,0,18,Simple,v1_simple_000113,data/benchmark-v1/simple/v1_simple_000113.txt,b040cf40dae5fef473217ee10af2ce20f4820660339a94463b5b0e443ff50ce2,Flat-L2,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000113-Flat-GM-g0.01-s1,primary,0,19,Simple,v1_simple_000113,data/benchmark-v1/simple/v1_simple_000113.txt,b040cf40dae5fef473217ee10af2ce20f4820660339a94463b5b0e443ff50ce2,Flat-GM,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000094-Base-g0.01-s1,primary,0,20,Simple,v1_simple_000094,data/benchmark-v1/simple/v1_simple_000094.txt,d31b717dc907b584d86079494de4ddbbde292dcde63c338aed5a23ef08c8508e,Base,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000094-Role-Hybrid-g0.01-s1,primary,0,21,Simple,v1_simple_000094,data/benchmark-v1/simple/v1_simple_000094.txt,d31b717dc907b584d86079494de4ddbbde292dcde63c338aed5a23ef08c8508e,Role-Hybrid,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000094-Flat-L2-g0.01-s1,primary,0,22,Simple,v1_simple_000094,data/benchmark-v1/simple/v1_simple_000094.txt,d31b717dc907b584d86079494de4ddbbde292dcde63c338aed5a23ef08c8508e,Flat-L2,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000094-Flat-GM-g0.01-s1,primary,0,23,Simple,v1_simple_000094,data/benchmark-v1/simple/v1_simple_000094.txt,d31b717dc907b584d86079494de4ddbbde292dcde63c338aed5a23ef08c8508e,Flat-GM,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000176-Flat-GM-g0.01-s1,primary,0,24,Simple,v1_simple_000176,data/benchmark-v1/simple/v1_simple_000176.txt,4a2b20fe869007f63e01ac1e225bb484fe4193af301d12c97a2947a8e810f3ad,Flat-GM,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000176-Role-Hybrid-g0.01-s1,primary,0,25,Simple,v1_simple_000176,data/benchmark-v1/simple/v1_simple_000176.txt,4a2b20fe869007f63e01ac1e225bb484fe4193af301d12c97a2947a8e810f3ad,Role-Hybrid,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000176-Flat-L2-g0.01-s1,primary,0,26,Simple,v1_simple_000176,data/benchmark-v1/simple/v1_simple_000176.txt,4a2b20fe869007f63e01ac1e225bb484fe4193af301d12c97a2947a8e810f3ad,Flat-L2,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000176-Base-g0.01-s1,primary,0,27,Simple,v1_simple_000176,data/benchmark-v1/simple/v1_simple_000176.txt,4a2b20fe869007f63e01ac1e225bb484fe4193af301d12c97a2947a8e810f3ad,Base,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000329-Flat-L2-g0.01-s1,primary,0,28,Simple,v1_simple_000329,data/benchmark-v1/simple/v1_simple_000329.txt,bca2eebaec089992ea1dcb315e87639e749cef6425f131e040570ae1312bc1c6,Flat-L2,highs,0.01,1,1800.0,1
